Repository,Test,Situation,Total,% com/sem,% total,,
cachethq_Cachet.csv,TRUE,Open,2,22.22,5.41,,
cachethq_Cachet.csv,TRUE,Closed,2,22.22,5.41,,
cachethq_Cachet.csv,TRUE,Merged,5,55.56,13.51,,
cachethq_Cachet.csv,FALSE,Open,1,3.57,2.7,,
cachethq_Cachet.csv,FALSE,Closed,4,14.29,10.81,,
cachethq_Cachet.csv,FALSE,Merged,23,82.14,62.16,,
civicrm_civicrm-core.csv,TRUE,Open,0,0,0,,
civicrm_civicrm-core.csv,TRUE,Closed,2,50,20,,
civicrm_civicrm-core.csv,TRUE,Merged,2,50,20,,
civicrm_civicrm-core.csv,FALSE,Open,0,0,0,,
civicrm_civicrm-core.csv,FALSE,Closed,2,33.33,20,,
civicrm_civicrm-core.csv,FALSE,Merged,4,66.67,40,,
DHBW-Projekt_BeePublished.csv,TRUE,Open,0,NA,0,,
DHBW-Projekt_BeePublished.csv,TRUE,Closed,0,NA,0,,
DHBW-Projekt_BeePublished.csv,TRUE,Merged,0,NA,0,,
DHBW-Projekt_BeePublished.csv,FALSE,Open,0,0,0,,
DHBW-Projekt_BeePublished.csv,FALSE,Closed,0,0,0,,
DHBW-Projekt_BeePublished.csv,FALSE,Merged,2,100,100,,
Elgg_Elgg.csv,TRUE,Open,0,0,0,,
Elgg_Elgg.csv,TRUE,Closed,0,0,0,,
Elgg_Elgg.csv,TRUE,Merged,1,100,11.11,,
Elgg_Elgg.csv,FALSE,Open,0,0,0,,
Elgg_Elgg.csv,FALSE,Closed,3,37.5,33.33,,
Elgg_Elgg.csv,FALSE,Merged,5,62.5,55.56,,
laravel_framework.csv,TRUE,Open,0,0,0,,
laravel_framework.csv,TRUE,Closed,123,51.04,30.52,,
laravel_framework.csv,TRUE,Merged,118,48.96,29.28,,
laravel_framework.csv,FALSE,Open,0,0,0,,
laravel_framework.csv,FALSE,Closed,83,51.23,20.6,,
laravel_framework.csv,FALSE,Merged,79,48.77,19.6,,
owncloud_core.csv,TRUE,Open,0,0,0,,
owncloud_core.csv,TRUE,Closed,3,11.11,5.56,,
owncloud_core.csv,TRUE,Merged,24,88.89,44.44,,
owncloud_core.csv,FALSE,Open,0,0,0,,
owncloud_core.csv,FALSE,Closed,3,11.11,5.56,,
owncloud_core.csv,FALSE,Merged,24,88.89,44.44,,
symfony_symfony.csv,TRUE,Open,0,0,0,,
symfony_symfony.csv,TRUE,Closed,45,40.54,31.69,,
symfony_symfony.csv,TRUE,Merged,66,59.46,46.48,,
symfony_symfony.csv,FALSE,Open,0,0,0,,
symfony_symfony.csv,FALSE,Closed,9,29.03,6.34,,
symfony_symfony.csv,FALSE,Merged,22,70.97,15.49,,
Wikia_app.csv,TRUE,Open,0,0,0,,
Wikia_app.csv,TRUE,Closed,1,25,11.11,,
Wikia_app.csv,TRUE,Merged,3,75,33.33,,
Wikia_app.csv,FALSE,Open,0,0,0,,
Wikia_app.csv,FALSE,Closed,0,0,0,,
Wikia_app.csv,FALSE,Merged,5,100,55.56,,
woothemes_woocommerce.csv,TRUE,Open,0,0,0,,
woothemes_woocommerce.csv,TRUE,Closed,1,8.33,2.86,,
woothemes_woocommerce.csv,TRUE,Merged,11,91.67,31.43,,
woothemes_woocommerce.csv,FALSE,Open,0,0,0,,
woothemes_woocommerce.csv,FALSE,Closed,6,26.09,17.14,,
woothemes_woocommerce.csv,FALSE,Merged,17,73.91,48.57,,
YetiForceCompany_YetiForceCRM.csv,TRUE,Open,0,NA,0,,
YetiForceCompany_YetiForceCRM.csv,TRUE,Closed,0,NA,0,,
YetiForceCompany_YetiForceCRM.csv,TRUE,Merged,0,NA,0,,
YetiForceCompany_YetiForceCRM.csv,FALSE,Open,0,0,0,,
YetiForceCompany_YetiForceCRM.csv,FALSE,Closed,0,0,0,,
YetiForceCompany_YetiForceCRM.csv,FALSE,Merged,3,100,100,,
