Repository,Test,Situation,Total,% com/sem,% total,,
cachethq_Cachet.csv,TRUE,Open,2,15.38,1.23,,
cachethq_Cachet.csv,TRUE,Closed,2,15.38,1.23,,
cachethq_Cachet.csv,TRUE,Merged,9,69.23,5.56,,
cachethq_Cachet.csv,FALSE,Open,3,2.01,1.85,,
cachethq_Cachet.csv,FALSE,Closed,37,24.83,22.84,,
cachethq_Cachet.csv,FALSE,Merged,109,73.15,67.28,,
civicrm_civicrm-core.csv,TRUE,Open,0,0,0,,
civicrm_civicrm-core.csv,TRUE,Closed,0,0,0,,
civicrm_civicrm-core.csv,TRUE,Merged,7,100,23.33,,
civicrm_civicrm-core.csv,FALSE,Open,0,0,0,,
civicrm_civicrm-core.csv,FALSE,Closed,0,0,0,,
civicrm_civicrm-core.csv,FALSE,Merged,23,100,76.67,,
DHBW-Projekt_BeePublished.csv,TRUE,Open,0,NA,0,,
DHBW-Projekt_BeePublished.csv,TRUE,Closed,0,NA,0,,
DHBW-Projekt_BeePublished.csv,TRUE,Merged,0,NA,0,,
DHBW-Projekt_BeePublished.csv,FALSE,Open,0,0,0,,
DHBW-Projekt_BeePublished.csv,FALSE,Closed,0,0,0,,
DHBW-Projekt_BeePublished.csv,FALSE,Merged,2,100,100,,
Elgg_Elgg.csv,TRUE,Open,0,0,0,,
Elgg_Elgg.csv,TRUE,Closed,0,0,0,,
Elgg_Elgg.csv,TRUE,Merged,2,100,8.7,,
Elgg_Elgg.csv,FALSE,Open,0,0,0,,
Elgg_Elgg.csv,FALSE,Closed,7,33.33,30.43,,
Elgg_Elgg.csv,FALSE,Merged,14,66.67,60.87,,
laravel_framework.csv,TRUE,Open,0,0,0,,
laravel_framework.csv,TRUE,Closed,228,46.72,17.73,,
laravel_framework.csv,TRUE,Merged,260,53.28,20.22,,
laravel_framework.csv,FALSE,Open,0,0,0,,
laravel_framework.csv,FALSE,Closed,402,50.38,31.26,,
laravel_framework.csv,FALSE,Merged,396,49.62,30.79,,
owncloud_core.csv,TRUE,Open,0,0,0,,
owncloud_core.csv,TRUE,Closed,14,24.56,7.18,,
owncloud_core.csv,TRUE,Merged,43,75.44,22.05,,
owncloud_core.csv,FALSE,Open,0,0,0,,
owncloud_core.csv,FALSE,Closed,24,17.39,12.31,,
owncloud_core.csv,FALSE,Merged,114,82.61,58.46,,
symfony_symfony.csv,TRUE,Open,0,0,0,,
symfony_symfony.csv,TRUE,Closed,78,31.08,16.99,,
symfony_symfony.csv,TRUE,Merged,173,68.92,37.69,,
symfony_symfony.csv,FALSE,Open,0,0,0,,
symfony_symfony.csv,FALSE,Closed,79,37.98,17.21,,
symfony_symfony.csv,FALSE,Merged,129,62.02,28.1,,
Wikia_app.csv,TRUE,Open,0,0,0,,
Wikia_app.csv,TRUE,Closed,0,0,0,,
Wikia_app.csv,TRUE,Merged,3,100,10.71,,
Wikia_app.csv,FALSE,Open,4,16,14.29,,
Wikia_app.csv,FALSE,Closed,3,12,10.71,,
Wikia_app.csv,FALSE,Merged,18,72,64.29,,
woothemes_woocommerce.csv,TRUE,Open,0,0,0,,
woothemes_woocommerce.csv,TRUE,Closed,4,17.39,1.92,,
woothemes_woocommerce.csv,TRUE,Merged,19,82.61,9.13,,
woothemes_woocommerce.csv,FALSE,Open,1,0.54,0.48,,
woothemes_woocommerce.csv,FALSE,Closed,41,22.16,19.71,,
woothemes_woocommerce.csv,FALSE,Merged,143,77.3,68.75,,
YetiForceCompany_YetiForceCRM.csv,TRUE,Open,0,0,0,,
YetiForceCompany_YetiForceCRM.csv,TRUE,Closed,0,0,0,,
YetiForceCompany_YetiForceCRM.csv,TRUE,Merged,3,100,27.27,,
YetiForceCompany_YetiForceCRM.csv,FALSE,Open,1,12.5,9.09,,
YetiForceCompany_YetiForceCRM.csv,FALSE,Closed,0,0,0,,
YetiForceCompany_YetiForceCRM.csv,FALSE,Merged,7,87.5,63.64,,
