Repository,Test,Situation,Total,% com/sem,% total,,
cachethq_Cachet.csv,TRUE,Open,0,0,0,,
cachethq_Cachet.csv,TRUE,Closed,5,23.81,9.62,,
cachethq_Cachet.csv,TRUE,Merged,16,76.19,30.77,,
cachethq_Cachet.csv,FALSE,Open,0,0,0,,
cachethq_Cachet.csv,FALSE,Closed,6,19.35,11.54,,
cachethq_Cachet.csv,FALSE,Merged,25,80.65,48.08,,
civicrm_civicrm-core.csv,TRUE,Open,0,0,0,,
civicrm_civicrm-core.csv,TRUE,Closed,0,0,0,,
civicrm_civicrm-core.csv,TRUE,Merged,16,100,69.57,,
civicrm_civicrm-core.csv,FALSE,Open,0,0,0,,
civicrm_civicrm-core.csv,FALSE,Closed,0,0,0,,
civicrm_civicrm-core.csv,FALSE,Merged,7,100,30.43,,
DHBW-Projekt_BeePublished.csv,TRUE,Open,0,0,0,,
DHBW-Projekt_BeePublished.csv,TRUE,Closed,3,37.5,17.65,,
DHBW-Projekt_BeePublished.csv,TRUE,Merged,5,62.5,29.41,,
DHBW-Projekt_BeePublished.csv,FALSE,Open,0,0,0,,
DHBW-Projekt_BeePublished.csv,FALSE,Closed,1,11.11,5.88,,
DHBW-Projekt_BeePublished.csv,FALSE,Merged,8,88.89,47.06,,
Elgg_Elgg.csv,TRUE,Open,0,0,0,,
Elgg_Elgg.csv,TRUE,Closed,9,52.94,39.13,,
Elgg_Elgg.csv,TRUE,Merged,8,47.06,34.78,,
Elgg_Elgg.csv,FALSE,Open,0,0,0,,
Elgg_Elgg.csv,FALSE,Closed,0,0,0,,
Elgg_Elgg.csv,FALSE,Merged,6,100,26.09,,
laravel_framework.csv,TRUE,Open,0,0,0,,
laravel_framework.csv,TRUE,Closed,237,51.52,44.13,,
laravel_framework.csv,TRUE,Merged,223,48.48,41.53,,
laravel_framework.csv,FALSE,Open,0,0,0,,
laravel_framework.csv,FALSE,Closed,37,48.05,6.89,,
laravel_framework.csv,FALSE,Merged,40,51.95,7.45,,
owncloud_core.csv,TRUE,Open,0,0,0,,
owncloud_core.csv,TRUE,Closed,16,18.18,14.41,,
owncloud_core.csv,TRUE,Merged,72,81.82,64.86,,
owncloud_core.csv,FALSE,Open,0,0,0,,
owncloud_core.csv,FALSE,Closed,3,13.04,2.7,,
owncloud_core.csv,FALSE,Merged,20,86.96,18.02,,
symfony_symfony.csv,TRUE,Open,0,0,0,,
symfony_symfony.csv,TRUE,Closed,58,38.67,36.94,,
symfony_symfony.csv,TRUE,Merged,92,61.33,58.6,,
symfony_symfony.csv,FALSE,Open,0,0,0,,
symfony_symfony.csv,FALSE,Closed,3,42.86,1.91,,
symfony_symfony.csv,FALSE,Merged,4,57.14,2.55,,
Wikia_app.csv,TRUE,Open,0,0,0,,
Wikia_app.csv,TRUE,Closed,18,18.75,15.38,,
Wikia_app.csv,TRUE,Merged,78,81.25,66.67,,
Wikia_app.csv,FALSE,Open,0,0,0,,
Wikia_app.csv,FALSE,Closed,1,4.76,0.85,,
Wikia_app.csv,FALSE,Merged,20,95.24,17.09,,
woothemes_woocommerce.csv,TRUE,Open,0,0,0,,
woothemes_woocommerce.csv,TRUE,Closed,2,8.7,4,,
woothemes_woocommerce.csv,TRUE,Merged,21,91.3,42,,
woothemes_woocommerce.csv,FALSE,Open,0,0,0,,
woothemes_woocommerce.csv,FALSE,Closed,6,22.22,12,,
woothemes_woocommerce.csv,FALSE,Merged,21,77.78,42,,
YetiForceCompany_YetiForceCRM.csv,TRUE,Open,0,0,0,,
YetiForceCompany_YetiForceCRM.csv,TRUE,Closed,2,13.33,7.69,,
YetiForceCompany_YetiForceCRM.csv,TRUE,Merged,13,86.67,50,,
YetiForceCompany_YetiForceCRM.csv,FALSE,Open,0,0,0,,
YetiForceCompany_YetiForceCRM.csv,FALSE,Closed,0,0,0,,
YetiForceCompany_YetiForceCRM.csv,FALSE,Merged,11,100,42.31,,
