Repository,User,Frequency,,
cachethq_Cachet.csv,abhimanyu003,5,NA,NA
cachethq_Cachet.csv,adammbalogh,3,NA,NA
cachethq_Cachet.csv,agilmore,3,NA,NA
cachethq_Cachet.csv,anarcat,4,NA,NA
cachethq_Cachet.csv,anlutro,3,NA,NA
cachethq_Cachet.csv,anthonybocci,10,NA,NA
cachethq_Cachet.csv,AntoineAugusti,6,NA,NA
cachethq_Cachet.csv,billmn,23,NA,NA
cachethq_Cachet.csv,CachetBot,34,NA,NA
cachethq_Cachet.csv,chaseconey,5,NA,NA
cachethq_Cachet.csv,clesauln,3,NA,NA
cachethq_Cachet.csv,ConnorVG,11,NA,NA
cachethq_Cachet.csv,Crash--,6,NA,NA
cachethq_Cachet.csv,demlasjr,8,NA,NA
cachethq_Cachet.csv,dependabot[bot],60,NA,NA
cachethq_Cachet.csv,djdefi,5,NA,NA
cachethq_Cachet.csv,EdeMeijer,3,NA,NA
cachethq_Cachet.csv,Ehesp,8,NA,NA
cachethq_Cachet.csv,Finkregh,3,NA,NA
cachethq_Cachet.csv,foxted,5,NA,NA
cachethq_Cachet.csv,GrahamCampbell,209,NA,NA
cachethq_Cachet.csv,greenkeeperio-bot,13,NA,NA
cachethq_Cachet.csv,jaxxstorm,3,NA,NA
cachethq_Cachet.csv,jbrooksuk,543,NA,NA
cachethq_Cachet.csv,jmarcher,3,NA,NA
cachethq_Cachet.csv,joecohens,111,NA,NA
cachethq_Cachet.csv,JordyvanDortmont,7,NA,NA
cachethq_Cachet.csv,ldidry,9,NA,NA
cachethq_Cachet.csv,lenovouser,4,NA,NA
cachethq_Cachet.csv,lianguan,52,NA,NA
cachethq_Cachet.csv,manavo,9,NA,NA
cachethq_Cachet.csv,mmollick,4,NA,NA
cachethq_Cachet.csv,n0mer,10,NA,NA
cachethq_Cachet.csv,nicolasfagotti,5,NA,NA
cachethq_Cachet.csv,noahbass,5,NA,NA
cachethq_Cachet.csv,nstapelbroek,18,NA,NA
cachethq_Cachet.csv,NULL,17,NA,NA
cachethq_Cachet.csv,odannyc,3,NA,NA
cachethq_Cachet.csv,PeterDaveHello,6,NA,NA
cachethq_Cachet.csv,pgrabowski-wikia,3,NA,NA
cachethq_Cachet.csv,rafaelmilanibarbosa,3,NA,NA
cachethq_Cachet.csv,sammcj,6,NA,NA
cachethq_Cachet.csv,SamuelMoraesF,4,NA,NA
cachethq_Cachet.csv,shuichiro-makigaki,7,NA,NA
cachethq_Cachet.csv,TakeMeNL,3,NA,NA
cachethq_Cachet.csv,thehereward,6,NA,NA
cachethq_Cachet.csv,TheoBearman,5,NA,NA
cachethq_Cachet.csv,tmdvs,3,NA,NA
cachethq_Cachet.csv,uxen-ab,9,NA,NA
cachethq_Cachet.csv,VeekeeFr,3,NA,NA
cachethq_Cachet.csv,vinkla,3,NA,NA
cachethq_Cachet.csv,wfjsw,3,NA,NA
civicrm_civicrm-core.csv,agh1,5,NA,NA
civicrm_civicrm-core.csv,christianwach,3,NA,NA
civicrm_civicrm-core.csv,colemanw,35,NA,NA
civicrm_civicrm-core.csv,davejenx,3,NA,NA
civicrm_civicrm-core.csv,dereklewis123,3,NA,NA
civicrm_civicrm-core.csv,eileenmcnaughton,104,NA,NA
civicrm_civicrm-core.csv,highfalutin,3,NA,NA
civicrm_civicrm-core.csv,jitendrapurohit,9,NA,NA
civicrm_civicrm-core.csv,JKingsnorth,5,NA,NA
civicrm_civicrm-core.csv,jmcclelland,7,NA,NA
civicrm_civicrm-core.csv,madhavimalgaonkar,3,NA,NA
civicrm_civicrm-core.csv,mattwire,43,NA,NA
civicrm_civicrm-core.csv,MegaphoneJon,4,NA,NA
civicrm_civicrm-core.csv,mlutfy,10,NA,NA
civicrm_civicrm-core.csv,mukeshcompucorp,5,NA,NA
civicrm_civicrm-core.csv,NULL,4,NA,NA
civicrm_civicrm-core.csv,pradpnayak,12,NA,NA
civicrm_civicrm-core.csv,samuelsov,3,NA,NA
civicrm_civicrm-core.csv,seamuslee001,48,NA,NA
civicrm_civicrm-core.csv,totten,19,NA,NA
civicrm_civicrm-core.csv,twomice,4,NA,NA
civicrm_civicrm-core.csv,vingle,5,NA,NA
civicrm_civicrm-core.csv,yashodha,10,NA,NA
DHBW-Projekt_BeePublished.csv,AnneWendt,18,NA,NA
DHBW-Projekt_BeePublished.csv,bsteffan,9,NA,NA
DHBW-Projekt_BeePublished.csv,CaroOssmann,6,NA,NA
DHBW-Projekt_BeePublished.csv,cevou,91,NA,NA
