Repository,User,Pull number,Test,Situation,,
cachethq_Cachet.csv,AntonioKL,3420,TRUE,Open,NA,NA
cachethq_Cachet.csv,ATLJLawrie,2254,TRUE,Merged,NA,NA
cachethq_Cachet.csv,Diogo-Ferreira,2643,TRUE,Open,NA,NA
cachethq_Cachet.csv,easylo,1520,TRUE,Closed,NA,NA
cachethq_Cachet.csv,m1guelpf,2642,TRUE,Merged,NA,NA
cachethq_Cachet.csv,mrbase,996,TRUE,Merged,NA,NA
cachethq_Cachet.csv,mwillbanks,2263,TRUE,Merged,NA,NA
cachethq_Cachet.csv,oznorts,2595,TRUE,Merged,NA,NA
cachethq_Cachet.csv,thijskh,2271,TRUE,Closed,NA,NA
civicrm_civicrm-core.csv,agilewarealok,12766,TRUE,Merged,NA,NA
civicrm_civicrm-core.csv,alifrumin,13065,TRUE,Closed,NA,NA
civicrm_civicrm-core.csv,mfrausto-mdw,12887,TRUE,Closed,NA,NA
civicrm_civicrm-core.csv,xurizaemon,12907,TRUE,Merged,NA,NA
Elgg_Elgg.csv,jboulen,8387,TRUE,Merged,NA,NA
laravel_framework.csv,0xbb,9028,TRUE,Closed,NA,NA
laravel_framework.csv,0xMatt,6784,TRUE,Closed,NA,NA
laravel_framework.csv,36864,23909,TRUE,Merged,NA,NA
laravel_framework.csv,abhimanyu003,18047,TRUE,Closed,NA,NA
laravel_framework.csv,adamtester,6319,TRUE,Merged,NA,NA
laravel_framework.csv,adamthehutt,18393,TRUE,Closed,NA,NA
laravel_framework.csv,adelf,18732,TRUE,Merged,NA,NA
laravel_framework.csv,aejnsn,16198,TRUE,Merged,NA,NA
laravel_framework.csv,AlexVanderbist,25682,TRUE,Closed,NA,NA
laravel_framework.csv,alibo,16693,TRUE,Closed,NA,NA
laravel_framework.csv,alihamze,19375,TRUE,Closed,NA,NA
laravel_framework.csv,ameliaikeda,15959,TRUE,Merged,NA,NA
laravel_framework.csv,andkom,19259,TRUE,Closed,NA,NA
laravel_framework.csv,aocneanu,26111,TRUE,Closed,NA,NA
laravel_framework.csv,asamarcos,16152,TRUE,Merged,NA,NA
laravel_framework.csv,atefth,16599,TRUE,Closed,NA,NA
laravel_framework.csv,axlon,26259,TRUE,Closed,NA,NA
laravel_framework.csv,Bakke,18276,TRUE,Merged,NA,NA
laravel_framework.csv,bbashy,22915,TRUE,Merged,NA,NA
laravel_framework.csv,bdsoha,16816,TRUE,Closed,NA,NA
laravel_framework.csv,bencorlett,5365,TRUE,Closed,NA,NA
laravel_framework.csv,bmichotte,15723,TRUE,Merged,NA,NA
laravel_framework.csv,bohdan-shulha,18510,TRUE,Closed,NA,NA
laravel_framework.csv,bryanashley,16451,TRUE,Merged,NA,NA
laravel_framework.csv,bvangraafeiland,7685,TRUE,Merged,NA,NA
laravel_framework.csv,bweston92,5759,TRUE,Merged,NA,NA
laravel_framework.csv,canvural,25752,TRUE,Merged,NA,NA
laravel_framework.csv,CedNet,8596,TRUE,Closed,NA,NA
laravel_framework.csv,chimit,19383,TRUE,Closed,NA,NA
laravel_framework.csv,clearcodecn,23696,TRUE,Closed,NA,NA
laravel_framework.csv,CmdrSharp,23575,TRUE,Closed,NA,NA
laravel_framework.csv,comes,16628,TRUE,Merged,NA,NA
laravel_framework.csv,connectkushal,25896,TRUE,Merged,NA,NA
laravel_framework.csv,CrestApps,18490,TRUE,Closed,NA,NA
laravel_framework.csv,crhg,25911,TRUE,Closed,NA,NA
laravel_framework.csv,crissi,22739,TRUE,Closed,NA,NA
laravel_framework.csv,daison12006013,24105,TRUE,Closed,NA,NA
laravel_framework.csv,dan-har,16424,TRUE,Merged,NA,NA
laravel_framework.csv,Data33,23306,TRUE,Closed,NA,NA
laravel_framework.csv,davejamesmiller,6648,TRUE,Merged,NA,NA
laravel_framework.csv,davidstanley01,24621,TRUE,Merged,NA,NA
laravel_framework.csv,daylerees,6782,TRUE,Merged,NA,NA
laravel_framework.csv,DFurnes,18867,TRUE,Merged,NA,NA
laravel_framework.csv,dimitri-koenig,24533,TRUE,Closed,NA,NA
laravel_framework.csv,dinhquochan,23560,TRUE,Merged,NA,NA
laravel_framework.csv,djtarazona,16455,TRUE,Closed,NA,NA
laravel_framework.csv,dmartinezml,24348,TRUE,Closed,NA,NA
laravel_framework.csv,dmytrechko,17890,TRUE,Merged,NA,NA
laravel_framework.csv,donnysim,24973,TRUE,Closed,NA,NA
laravel_framework.csv,dpsarrou,26359,TRUE,Closed,NA,NA
laravel_framework.csv,drjonnicholson,22857,TRUE,Merged,NA,NA
laravel_framework.csv,dusterio,18585,TRUE,Closed,NA,NA
laravel_framework.csv,Dylan-DutchAndBold,25015,TRUE,Merged,NA,NA
laravel_framework.csv,e1himself,8514,TRUE,Merged,NA,NA
laravel_framework.csv,ebrahimradi,9126,TRUE,Closed,NA,NA
laravel_framework.csv,ebynum,9194,TRUE,Merged,NA,NA
laravel_framework.csv,eccozhou,16041,TRUE,Merged,NA,NA
laravel_framework.csv,eemrekaya,24333,TRUE,Closed,NA,NA
laravel_framework.csv,ElMatella,15823,TRUE,Closed,NA,NA
laravel_framework.csv,elpete,8128,TRUE,Closed,NA,NA
laravel_framework.csv,emiliopedrollo,26421,TRUE,Merged,NA,NA
laravel_framework.csv,erusso87,24692,TRUE,Closed,NA,NA
laravel_framework.csv,Evertt,15910,TRUE,Merged,NA,NA
laravel_framework.csv,EvodiaAut,25732,TRUE,Merged,NA,NA
laravel_framework.csv,evsign,18855,TRUE,Merged,NA,NA
laravel_framework.csv,FatBoyXPC,23397,TRUE,Merged,NA,NA
laravel_framework.csv,findstar,6905,TRUE,Merged,NA,NA
laravel_framework.csv,fmwww,24870,TRUE,Closed,NA,NA
laravel_framework.csv,fntneves,23823,TRUE,Closed,NA,NA
laravel_framework.csv,footballencarta,18157,TRUE,Merged,NA,NA
laravel_framework.csv,forsartis,7642,TRUE,Closed,NA,NA
laravel_framework.csv,frankperez87,17258,TRUE,Merged,NA,NA
laravel_framework.csv,fureszpeter,8918,TRUE,Merged,NA,NA
laravel_framework.csv,gaohuag,19269,TRUE,Merged,NA,NA
laravel_framework.csv,georgexsh,25368,TRUE,Merged,NA,NA
laravel_framework.csv,gerrywastaken,9307,TRUE,Merged,NA,NA
laravel_framework.csv,GMiLL5,7937,TRUE,Merged,NA,NA
laravel_framework.csv,gmsantos,19245,TRUE,Merged,NA,NA
laravel_framework.csv,goncons,5382,TRUE,Merged,NA,NA
laravel_framework.csv,Grummfy,24802,TRUE,Closed,NA,NA
laravel_framework.csv,gsingh1,24265,TRUE,Closed,NA,NA
laravel_framework.csv,guilhermeportela,23982,TRUE,Closed,NA,NA
laravel_framework.csv,Gwill,8706,TRUE,Merged,NA,NA
laravel_framework.csv,hezhiying,19568,TRUE,Merged,NA,NA
laravel_framework.csv,hichxm,26342,TRUE,Closed,NA,NA
laravel_framework.csv,HolgerW1,8381,TRUE,Closed,NA,NA
laravel_framework.csv,hosmelq,7911,TRUE,Merged,NA,NA
laravel_framework.csv,HSPDev,16849,TRUE,Merged,NA,NA
laravel_framework.csv,Hugome,17941,TRUE,Merged,NA,NA
laravel_framework.csv,hz61p1,18298,TRUE,Closed,NA,NA
laravel_framework.csv,iamalirezaj,16506,TRUE,Merged,NA,NA
laravel_framework.csv,initx,18949,TRUE,Merged,NA,NA
laravel_framework.csv,insign,5926,TRUE,Closed,NA,NA
laravel_framework.csv,ioluas,24168,TRUE,Merged,NA,NA
laravel_framework.csv,Ismaile7,25909,TRUE,Merged,NA,NA
laravel_framework.csv,IsraelOrtuno,7519,TRUE,Closed,NA,NA
laravel_framework.csv,j3j5,25144,TRUE,Closed,NA,NA
laravel_framework.csv,Jalle19,23409,TRUE,Closed,NA,NA
laravel_framework.csv,jamiehd,24106,TRUE,Closed,NA,NA
laravel_framework.csv,janakaonline,19084,TRUE,Closed,NA,NA
laravel_framework.csv,jasonvarga,9318,TRUE,Merged,NA,NA
laravel_framework.csv,Jaspaul,18657,TRUE,Closed,NA,NA
laravel_framework.csv,JayPHP,18882,TRUE,Merged,NA,NA
laravel_framework.csv,jbaron-mx,17408,TRUE,Closed,NA,NA
laravel_framework.csv,jdavidbakr,16365,TRUE,Closed,NA,NA
laravel_framework.csv,JeffreyWay,5768,TRUE,Closed,NA,NA
laravel_framework.csv,jenssegers,5372,TRUE,Closed,NA,NA
laravel_framework.csv,jeremeamia,8934,TRUE,Merged,NA,NA
laravel_framework.csv,jirehstudios,23260,TRUE,Closed,NA,NA
laravel_framework.csv,jitendra-1217,25949,TRUE,Merged,NA,NA
laravel_framework.csv,jonnsl,24190,TRUE,Closed,NA,NA
laravel_framework.csv,joshhornby,5998,TRUE,Merged,NA,NA
laravel_framework.csv,joshwhatk,17804,TRUE,Merged,NA,NA
laravel_framework.csv,jpuck,25110,TRUE,Merged,NA,NA
laravel_framework.csv,jrhenderson1988,22964,TRUE,Closed,NA,NA
laravel_framework.csv,jtgrimes,23880,TRUE,Merged,NA,NA
laravel_framework.csv,JuaumCruz,18359,TRUE,Closed,NA,NA
laravel_framework.csv,judahnator,26143,TRUE,Closed,NA,NA
laravel_framework.csv,juliusza,23217,TRUE,Closed,NA,NA
laravel_framework.csv,justin-lau,8176,TRUE,Closed,NA,NA
laravel_framework.csv,KaneCohen,16777,TRUE,Merged,NA,NA
laravel_framework.csv,kduma,16017,TRUE,Merged,NA,NA
laravel_framework.csv,kendugu,18652,TRUE,Closed,NA,NA
laravel_framework.csv,kirba,25557,TRUE,Closed,NA,NA
laravel_framework.csv,kirkbushell,7979,TRUE,Closed,NA,NA
laravel_framework.csv,letungit90,18796,TRUE,Merged,NA,NA
