Repository,User,Pull number,Test,Situation,,
cachethq_Cachet.csv,alexstojda,3226,TRUE,Open,NA,NA
cachethq_Cachet.csv,andygrunwald,802,TRUE,Merged,NA,NA
cachethq_Cachet.csv,blaskovicz,738,TRUE,Merged,NA,NA
cachethq_Cachet.csv,DavidBrockway,3120,TRUE,Open,NA,NA
cachethq_Cachet.csv,duck-rh,2476,TRUE,Merged,NA,NA
cachethq_Cachet.csv,essmd,2081,TRUE,Merged,NA,NA
cachethq_Cachet.csv,ghost,2931,TRUE,Merged,NA,NA
cachethq_Cachet.csv,harnash,2270,TRUE,Closed,NA,NA
cachethq_Cachet.csv,MattG401,2115,TRUE,Closed,NA,NA
cachethq_Cachet.csv,mukulkhandelwal,2212,TRUE,Merged,NA,NA
cachethq_Cachet.csv,phelipealves,1093,TRUE,Merged,NA,NA
cachethq_Cachet.csv,sharkcus,997,TRUE,Merged,NA,NA
cachethq_Cachet.csv,TobiasGrave,2028,TRUE,Merged,NA,NA
civicrm_civicrm-core.csv,jackrabbithanna,12928,TRUE,Merged,NA,NA
civicrm_civicrm-core.csv,KarinG,12644,TRUE,Merged,NA,NA
civicrm_civicrm-core.csv,laryn,12945,TRUE,Merged,NA,NA
civicrm_civicrm-core.csv,mecachisenros,12930,TRUE,Merged,NA,NA
civicrm_civicrm-core.csv,mmyriam,12846,TRUE,Merged,NA,NA
civicrm_civicrm-core.csv,monishdeb,12909,TRUE,Merged,NA,NA
civicrm_civicrm-core.csv,omarabuhussein,13072,TRUE,Merged,NA,NA
Elgg_Elgg.csv,gcaldeira,8303,TRUE,Merged,NA,NA
Elgg_Elgg.csv,socialatm,8181,TRUE,Merged,NA,NA
laravel_framework.csv,ababkov,8528,TRUE,Merged,NA,NA
laravel_framework.csv,abarta,24997,TRUE,Closed,NA,NA
laravel_framework.csv,abdala,26358,TRUE,Closed,NA,NA
laravel_framework.csv,AbdelkaderBah,26242,TRUE,Merged,NA,NA
laravel_framework.csv,acacha,8822,TRUE,Merged,NA,NA
laravel_framework.csv,acarpio89,23680,TRUE,Closed,NA,NA
laravel_framework.csv,adam-mospan,25050,TRUE,Merged,NA,NA
laravel_framework.csv,adamschoenemann,23389,TRUE,Merged,NA,NA
laravel_framework.csv,adevade,17495,TRUE,Merged,NA,NA
laravel_framework.csv,AhsanAbrar,24022,TRUE,Closed,NA,NA
laravel_framework.csv,akalongman,16121,TRUE,Closed,NA,NA
laravel_framework.csv,aleemb,24149,TRUE,Closed,NA,NA
laravel_framework.csv,aleksandrlat,22938,TRUE,Merged,NA,NA
laravel_framework.csv,Alexander--,22991,TRUE,Closed,NA,NA
laravel_framework.csv,alexhouse,8053,TRUE,Merged,NA,NA
laravel_framework.csv,alfa6661,25539,TRUE,Merged,NA,NA
laravel_framework.csv,alidrus,6100,TRUE,Merged,NA,NA
laravel_framework.csv,aliusa,19248,TRUE,Closed,NA,NA
laravel_framework.csv,almeidafranci,17653,TRUE,Closed,NA,NA
laravel_framework.csv,alpha-hawk,17436,TRUE,Merged,NA,NA
laravel_framework.csv,AlShahawi,25159,TRUE,Closed,NA,NA
laravel_framework.csv,amad,5192,TRUE,Merged,NA,NA
laravel_framework.csv,AminulBD,24925,TRUE,Merged,NA,NA
laravel_framework.csv,Anahkiasen,6718,TRUE,Closed,NA,NA
laravel_framework.csv,andrewpillar,6856,TRUE,Merged,NA,NA
laravel_framework.csv,andreybolonin,26327,TRUE,Merged,NA,NA
laravel_framework.csv,andyvenus,17809,TRUE,Merged,NA,NA
laravel_framework.csv,andzandz,15848,TRUE,Merged,NA,NA
laravel_framework.csv,AnewG,5577,TRUE,Closed,NA,NA
laravel_framework.csv,anmartini,25972,TRUE,Closed,NA,NA
laravel_framework.csv,anneheijink,26207,TRUE,Closed,NA,NA
laravel_framework.csv,anouarabdsslm,9252,TRUE,Closed,NA,NA
laravel_framework.csv,AnthonyConklin,6556,TRUE,Merged,NA,NA
laravel_framework.csv,AntoineAugusti,5537,TRUE,Closed,NA,NA
laravel_framework.csv,anyday,6433,TRUE,Closed,NA,NA
laravel_framework.csv,apollopy,24957,TRUE,Merged,NA,NA
laravel_framework.csv,arekpietrzyk,26369,TRUE,Merged,NA,NA
laravel_framework.csv,Arekusei,19106,TRUE,Closed,NA,NA
laravel_framework.csv,arkin-,18888,TRUE,Closed,NA,NA
laravel_framework.csv,armandsar,23323,TRUE,Merged,NA,NA
laravel_framework.csv,arnold-martinez,26149,TRUE,Merged,NA,NA
laravel_framework.csv,arsi-d,18814,TRUE,Closed,NA,NA
laravel_framework.csv,asapo,9207,TRUE,Closed,NA,NA
laravel_framework.csv,asutoshpalai,16800,TRUE,Merged,NA,NA
laravel_framework.csv,avengerandy,23201,TRUE,Merged,NA,NA
laravel_framework.csv,BackSlasher,6107,TRUE,Closed,NA,NA
laravel_framework.csv,balticer,19325,TRUE,Closed,NA,NA
laravel_framework.csv,bambamboole,23107,TRUE,Closed,NA,NA
laravel_framework.csv,barryo,24875,TRUE,Closed,NA,NA
laravel_framework.csv,benargo,23963,TRUE,Merged,NA,NA
laravel_framework.csv,bencomeau,23357,TRUE,Merged,NA,NA
laravel_framework.csv,benperiton,6442,TRUE,Closed,NA,NA
