Repository,User,Pull Number,Test,Situation,,
cachethq_Cachet.csv,ajtrichards,248,FALSE,Closed,,
cachethq_Cachet.csv,amondnet,727,FALSE,Merged,,
cachethq_Cachet.csv,andreyev,2825,FALSE,Merged,,
cachethq_Cachet.csv,AntonioKL,3420,TRUE,Open,,
cachethq_Cachet.csv,ATLJLawrie,2254,TRUE,Merged,,
cachethq_Cachet.csv,bnahin,3330,FALSE,Merged,,
cachethq_Cachet.csv,byxorna,369,FALSE,Merged,,
cachethq_Cachet.csv,DanielRuf,3489,FALSE,Merged,,
cachethq_Cachet.csv,danijelk,3005,FALSE,Merged,,
cachethq_Cachet.csv,Diogo-Ferreira,2643,TRUE,Open,,
cachethq_Cachet.csv,easylo,1520,TRUE,Closed,,
cachethq_Cachet.csv,fabian,1624,FALSE,Merged,,
cachethq_Cachet.csv,farhank3389,3022,FALSE,Closed,,
cachethq_Cachet.csv,frconil,455,FALSE,Merged,,
cachethq_Cachet.csv,gitter-badger,30,FALSE,Merged,,
cachethq_Cachet.csv,gm-ah,631,FALSE,Closed,,
cachethq_Cachet.csv,gregkare,831,FALSE,Merged,,
cachethq_Cachet.csv,ILoveYaToo,559,FALSE,Merged,,
cachethq_Cachet.csv,Jamesking56,169,FALSE,Merged,,
cachethq_Cachet.csv,JMousqueton,418,FALSE,Merged,,
cachethq_Cachet.csv,karaktaka,2093,FALSE,Closed,,
cachethq_Cachet.csv,kerrinhardy,3273,FALSE,Merged,,
cachethq_Cachet.csv,krollebol,3140,FALSE,Merged,,
cachethq_Cachet.csv,Lavoaster,593,FALSE,Merged,,
cachethq_Cachet.csv,m1guelpf,2642,TRUE,Merged,,
cachethq_Cachet.csv,manuelgu,984,FALSE,Merged,,
cachethq_Cachet.csv,mbabker,929,FALSE,Merged,,
cachethq_Cachet.csv,mrbase,996,TRUE,Merged,,
cachethq_Cachet.csv,mwillbanks,2263,TRUE,Merged,,
cachethq_Cachet.csv,Naugrimm,3402,FALSE,Open,,
cachethq_Cachet.csv,opengd,3069,FALSE,Merged,,
cachethq_Cachet.csv,oznorts,2595,TRUE,Merged,,
cachethq_Cachet.csv,splitice,1843,FALSE,Merged,,
cachethq_Cachet.csv,tejaswivinod,3460,FALSE,Merged,,
cachethq_Cachet.csv,thijskh,2271,TRUE,Closed,,
cachethq_Cachet.csv,willdurand,311,FALSE,Merged,,
cachethq_Cachet.csv,ZengineChris,1328,FALSE,Merged,,
civicrm_civicrm-core.csv,agilewarealok,12766,TRUE,Merged,,
civicrm_civicrm-core.csv,alifrumin,13065,TRUE,Closed,,
civicrm_civicrm-core.csv,andrewpthompson,12690,FALSE,Merged,,
civicrm_civicrm-core.csv,calbasi,12715,FALSE,Merged,,
civicrm_civicrm-core.csv,jusfreeman,12710,FALSE,Closed,,
civicrm_civicrm-core.csv,kainuk,12725,FALSE,Merged,,
civicrm_civicrm-core.csv,mfrausto-mdw,12887,TRUE,Closed,,
civicrm_civicrm-core.csv,scardinius,12932,FALSE,Closed,,
civicrm_civicrm-core.csv,vinuvarshith,12680,FALSE,Merged,,
civicrm_civicrm-core.csv,xurizaemon,12907,TRUE,Merged,,
DHBW-Projekt_BeePublished.csv,AnniRoc,233,FALSE,Merged,,
DHBW-Projekt_BeePublished.csv,VanessaKohl,101,FALSE,Merged,,
Elgg_Elgg.csv,feroda,9644,FALSE,Merged,,
Elgg_Elgg.csv,jboulen,8387,TRUE,Merged,,
Elgg_Elgg.csv,nirajkaushal,9394,FALSE,Closed,,
Elgg_Elgg.csv,PerJensen,8237,FALSE,Merged,,
Elgg_Elgg.csv,piet0024,10756,FALSE,Merged,,
Elgg_Elgg.csv,propertunist,9852,FALSE,Merged,,
