Repository,User,Pull number,Test,Situation,,
cachethq_Cachet.csv,harnash,2270,TRUE,Closed,NA,NA
cachethq_Cachet.csv,MattG401,2115,TRUE,Closed,NA,NA
laravel_framework.csv,abarta,24997,TRUE,Closed,NA,NA
laravel_framework.csv,abdala,26358,TRUE,Closed,NA,NA
laravel_framework.csv,acarpio89,23680,TRUE,Closed,NA,NA
laravel_framework.csv,AhsanAbrar,24022,TRUE,Closed,NA,NA
laravel_framework.csv,akalongman,16121,TRUE,Closed,NA,NA
laravel_framework.csv,aleemb,24149,TRUE,Closed,NA,NA
laravel_framework.csv,Alexander--,22991,TRUE,Closed,NA,NA
laravel_framework.csv,aliusa,19248,TRUE,Closed,NA,NA
laravel_framework.csv,almeidafranci,17653,TRUE,Closed,NA,NA
laravel_framework.csv,AlShahawi,25159,TRUE,Closed,NA,NA
laravel_framework.csv,Anahkiasen,6718,TRUE,Closed,NA,NA
laravel_framework.csv,AnewG,5577,TRUE,Closed,NA,NA
laravel_framework.csv,anmartini,25972,TRUE,Closed,NA,NA
laravel_framework.csv,anneheijink,26207,TRUE,Closed,NA,NA
laravel_framework.csv,anouarabdsslm,9252,TRUE,Closed,NA,NA
laravel_framework.csv,AntoineAugusti,5537,TRUE,Closed,NA,NA
laravel_framework.csv,anyday,6433,TRUE,Closed,NA,NA
laravel_framework.csv,Arekusei,19106,TRUE,Closed,NA,NA
laravel_framework.csv,arkin-,18888,TRUE,Closed,NA,NA
laravel_framework.csv,arsi-d,18814,TRUE,Closed,NA,NA
laravel_framework.csv,asapo,9207,TRUE,Closed,NA,NA
laravel_framework.csv,BackSlasher,6107,TRUE,Closed,NA,NA
laravel_framework.csv,balticer,19325,TRUE,Closed,NA,NA
laravel_framework.csv,bambamboole,23107,TRUE,Closed,NA,NA
laravel_framework.csv,barryo,24875,TRUE,Closed,NA,NA
laravel_framework.csv,benperiton,6442,TRUE,Closed,NA,NA
laravel_framework.csv,bishopb,5835,TRUE,Closed,NA,NA
laravel_framework.csv,bordeux,22799,TRUE,Closed,NA,NA
laravel_framework.csv,bpraveen428,26248,TRUE,Closed,NA,NA
laravel_framework.csv,brianwozeniak,17990,TRUE,Closed,NA,NA
laravel_framework.csv,brunodevel,15766,TRUE,Closed,NA,NA
laravel_framework.csv,brunogoncalves,5708,TRUE,Closed,NA,NA
laravel_framework.csv,Byorun,23355,TRUE,Closed,NA,NA
laravel_framework.csv,c4pone,8330,TRUE,Closed,NA,NA
laravel_framework.csv,Calytic,24758,TRUE,Closed,NA,NA
laravel_framework.csv,Cannonb4ll,25555,TRUE,Closed,NA,NA
laravel_framework.csv,carragom,24059,TRUE,Closed,NA,NA
laravel_framework.csv,CarterZhou,8003,TRUE,Closed,NA,NA
laravel_framework.csv,chadanuk,16091,TRUE,Closed,NA,NA
laravel_framework.csv,chrishubert,24815,TRUE,Closed,NA,NA
laravel_framework.csv,cmgmyr,17844,TRUE,Closed,NA,NA
laravel_framework.csv,codedeep,26408,TRUE,Closed,NA,NA
laravel_framework.csv,CodeDestroyer,23577,TRUE,Closed,NA,NA
laravel_framework.csv,cranesandcaff,6472,TRUE,Closed,NA,NA
