Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
DHBW-Projekt/BeePublished,closed,398,d98596121b631080919e05f8e5b39bc46397f39b,plugins/Guestbook/Locale/deu/LC_MESSAGES/guestbook.po,renamed,0,0,NULL,2012-04-16 18:09:43,2012-04-16 18:09:43,2012-04-19 12:00:42,2012-04-19 12:00:42,,
DHBW-Projekt/BeePublished,closed,397,4f39b19cc27746b1ad58bb18ad59350eee6e65b3,app/Locale/deu/LC_MESSAGES/core.po,modified,656,650,SebastianHaase,2012-03-10 08:30:22,2012-03-10 08:30:22,2012-03-11 11:41:41,2012-03-11 11:41:41,,
DHBW-Projekt/BeePublished,closed,397,edd9af617c85bf7d9cba115610e64296aceefb9d,app/View/Plugins/index.ctp,modified,8,0,SebastianHaase,2012-03-10 08:30:22,2012-03-10 08:30:22,2012-03-11 11:41:41,2012-03-11 11:41:41,,
DHBW-Projekt/BeePublished,closed,396,fd74a2577abcb12b71fb6e05db38ba6bd6cb730c,plugins/Impressum/Controller/ShowController.php,modified,7,22,SebastianHaase,2012-03-09 17:54:11,2012-03-09 17:54:11,2012-03-11 11:41:50,2012-03-11 11:41:50,,
DHBW-Projekt/BeePublished,closed,396,6989a622e20b7268335bf5fed368e4ac8ffbc27d,plugins/Impressum/View/Elements/Show.ctp,modified,23,7,SebastianHaase,2012-03-09 17:54:11,2012-03-09 17:54:11,2012-03-11 11:41:50,2012-03-11 11:41:50,,
DHBW-Projekt/BeePublished,closed,395,148dc28af10a30414af6f8b5c94980762d8c53a0,plugins/StaticText/Controller/DisplayTextController.php,modified,0,2,AnneWendt,2012-03-09 11:09:04,2012-03-09 11:09:04,2012-03-09 13:37:54,2012-03-09 13:37:54,,
DHBW-Projekt/BeePublished,closed,394,bdc4a594756c95fa2a72365e85687a50395200f9,app/webroot/services/installation/index.php,modified,2,1,VieneS,2012-03-08 19:26:08,2012-03-08 19:26:08,2012-03-08 20:15:34,2012-03-08 20:15:34,,
DHBW-Projekt/BeePublished,closed,394,5f301e74b8c5c6d37d827c1ffe269634ceea9206,plugins/Gallery/Controller/Component/DisplayGalleryComponent.php,modified,6,3,VieneS,2012-03-08 19:26:08,2012-03-08 19:26:08,2012-03-08 20:15:34,2012-03-08 20:15:34,,
DHBW-Projekt/BeePublished,closed,394,10fc90c9d5c3a7835bc9c077062ad1294063c163,plugins/Gallery/View/Elements/DisplayGallery.ctp,modified,19,4,VieneS,2012-03-08 19:26:08,2012-03-08 19:26:08,2012-03-08 20:15:34,2012-03-08 20:15:34,,
DHBW-Projekt/BeePublished,closed,394,57493e8cda54e6cef07b5f4aff3c676964aca87f,plugins/Gallery/View/ManageImages/index.ctp,modified,3,3,VieneS,2012-03-08 19:26:08,2012-03-08 19:26:08,2012-03-08 20:15:34,2012-03-08 20:15:34,,
DHBW-Projekt/BeePublished,closed,394,4906e21692d7e467e0b1715bb6506e7216a37535,plugins/Gallery/webroot/js/imageoverlay.js,modified,3,4,VieneS,2012-03-08 19:26:08,2012-03-08 19:26:08,2012-03-08 20:15:34,2012-03-08 20:15:34,,
DHBW-Projekt/BeePublished,closed,394,6719b32f1d8e3877332fdd90951dbbb77074c911,plugins/Gallery/webroot/js/imageoverlay2.js,added,67,0,VieneS,2012-03-08 19:26:08,2012-03-08 19:26:08,2012-03-08 20:15:34,2012-03-08 20:15:34,,
DHBW-Projekt/BeePublished,closed,393,c191a647100ebdbf04882d00979e3534820d3a2a,app/Controller/EmailTemplatesController.php,modified,1,1,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,3c4450ea37c11da46309d06ada5ee93484931b2a,app/Controller/UsersController.php,modified,1,1,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,0ea1581d3e6ad8a2fa21fd50f707eba0bcccb48e,app/Locale/deu/LC_MESSAGES/core.po,modified,72,2,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,8adb9abbccd5dea42656ce01994ac5df69aecd2b,app/View/Elements/login.ctp,modified,6,4,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,a799af8b31234fc67286e75d76477f21f350d6fb,app/View/Emails/html/user_confirmation.ctp,modified,3,3,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,a1ae5bebf204b1b28e3e773f030be9f80d20dca0,app/View/Layouts/Emails/html/email.ctp,modified,1,1,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,862758aa305d898d8d16cdb1661dcc6e0c857e74,app/View/Layouts/default.ctp,modified,4,4,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,636f69316e31af6722016500714f56d8c80e7a73,app/View/Layouts/overlay.ctp,modified,1,1,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,4872cbdb0d36f9a73a925a943b2d7a5bd008a0c5,plugins/Newsletter/Config/Schema/schema.php,modified,1,0,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,ce31775c43fd517bc100b2c20d5c0d5e77853d8f,plugins/Newsletter/Config/routes.php,modified,3,1,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,2bb0ded6c0e2d4da8427b583fd92ac281c9e10b3,plugins/Newsletter/Controller/Component/SubscriptionComponent.php,modified,4,4,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,5309c6df28da1b6ccff792a59c0eab59ee649745,plugins/Newsletter/Controller/NewsletterLettersController.php,modified,10,5,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,9093afc5518b3aa9b8d05f6478c360504bcd32d4,plugins/Newsletter/Controller/NewsletterRecipientsController.php,modified,101,12,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,04dd81338e27427dff14bde2a7fed9710e179320,plugins/Newsletter/Controller/SubscriptionController.php,modified,150,10,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,816bb59cf581922fcedbcfd19bb11e257cc13dba,plugins/Newsletter/Locale/deu/LC_MESSAGES/newsletter.po,modified,54,7,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,986b892bf7bd90ec17a52234ca172f2932705677,plugins/Newsletter/Model/NewsletterLetter.php,modified,12,8,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,72831dceb700965e6ab52b47285cbee74d0fae7e,plugins/Newsletter/Model/NewsletterRecipient.php,modified,20,18,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,49c8bb27819a3cb7120ba218e5098f6bbe99e890,plugins/Newsletter/View/Elements/Subscription.ctp,modified,3,3,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,2c3c5a031ac23c6e44ef296e12bf92877b5fa8cb,plugins/Newsletter/View/Subscription/activate_recipient.ctp,added,28,0,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,195f4c0a7ae4b0b533d95ce6974666dff07a0476,plugins/Newsletter/View/Subscription/subscribe_per_mail.ctp,added,41,0,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,393,46ea8cd378721c7af96435f8408608ad964e4d49,plugins/Newsletter/View/Subscription/un_subscribe_per_mail.ctp,modified,1,0,dice89,2012-03-08 16:36:12,2012-03-08 16:36:12,2012-03-08 20:15:20,2012-03-08 20:15:20,,
DHBW-Projekt/BeePublished,closed,392,f2ccee461f16f63d5d4ea46995296f52a22ed3fd,plugins/StaticText/Controller/DisplayTextController.php,modified,1,1,ghost,2012-03-08 07:15:09,2012-03-08 07:15:09,2012-03-08 07:30:19,2012-03-08 07:30:19,,
DHBW-Projekt/BeePublished,closed,392,cf6ea75f3883ad64611b1815d0a6dfab96414d46,plugins/StaticText/View/DisplayText/close.ctp,removed,0,3,ghost,2012-03-08 07:15:09,2012-03-08 07:15:09,2012-03-08 07:30:19,2012-03-08 07:30:19,,
DHBW-Projekt/BeePublished,closed,392,875e29e50186335298077bab43a46d2b8846303f,plugins/StaticText/webroot/js/editText.js,modified,1,5,ghost,2012-03-08 07:15:09,2012-03-08 07:15:09,2012-03-08 07:30:19,2012-03-08 07:30:19,,
DHBW-Projekt/BeePublished,closed,391,63250abba4c198ea2699095166a039ab04475f64,plugins/WebShop/Controller/Component/WebShopComponent.php,modified,16,10,VieneS,2012-03-07 21:00:02,2012-03-07 21:00:02,2012-03-08 07:30:37,2012-03-08 07:30:37,,
DHBW-Projekt/BeePublished,closed,390,f777e89c25eb37162ab58b7e13d1088c4fd96011,app/Controller/Component/BeeEmailComponent.php,modified,71,66,PatrickZamzow,2012-03-07 19:20:05,2012-03-07 19:20:05,2012-03-08 07:31:06,2012-03-08 07:31:06,,
DHBW-Projekt/BeePublished,closed,390,a52ea516c7d6ea63f32f73a833b948488cf78e2a,plugins/Guestbook/Controller/GuestbookController.php,modified,1,1,PatrickZamzow,2012-03-07 19:20:05,2012-03-07 19:20:05,2012-03-08 07:31:06,2012-03-08 07:31:06,,
DHBW-Projekt/BeePublished,closed,390,d98596121b631080919e05f8e5b39bc46397f39b,plugins/Guestbook/Locale/deu/LC_MESSAGES/Guestbook.po,modified,3,0,PatrickZamzow,2012-03-07 19:20:05,2012-03-07 19:20:05,2012-03-08 07:31:06,2012-03-08 07:31:06,,
DHBW-Projekt/BeePublished,closed,390,ee9972ee3e87f2df6ac1bdc0fc968004558b7599,plugins/Guestbook/View/Guestbook/admin.ctp,modified,8,1,PatrickZamzow,2012-03-07 19:20:05,2012-03-07 19:20:05,2012-03-08 07:31:06,2012-03-08 07:31:06,,
DHBW-Projekt/BeePublished,closed,389,9648f8245da3c000de37aad3645c3aed4f8aafd3,app/View/Configurations/layout.ctp,modified,1,1,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,389,d970ca5064772deb0989c9769096a798b01c6500,app/View/Themed/BeeColourful/webroot/img/preview-default.jpg,added,0,0,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,389,d93a6fbd7cc39137036e9f014d0fd5b05f4ed91c,app/View/Themed/BeeColourful/webroot/img/preview-green.jpg,added,0,0,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,389,f3055a41ef5a57ad1f2392c14bca00ca13b88b23,app/View/Themed/BeeColourful/webroot/img/preview-orange.jpg,added,0,0,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,389,e566ab5104555172e42a729404679296d40aec0c,app/View/Themed/BlackQueen/webroot/img/preview-default.jpg,added,0,0,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,389,4dbc460297df8b49d00b55b5b1aeed14b23d1e8d,app/View/Themed/FlyingBee/webroot/img/preview-default.jpg,added,0,0,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,389,4426198210418bcef57831592ed49b3dbdd8224b,app/View/Themed/FlyingBee/webroot/img/preview-green.jpg,added,0,0,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,389,285cf80c7b9dc97d35b7a24c6f2c07bb3b0e6d3a,app/View/Themed/FlyingBee/webroot/img/preview-orange.jpg,added,0,0,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,389,4ee875ae0e0f9100e2f1d64f6c190669b5d904e9,app/View/Themed/HoneyPot/webroot/img/preview-default.jpg,added,0,0,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,389,283ba5c04e6beab976b7e84db53063b0f7a02fc0,app/View/Themed/SilverWing/webroot/img/preview-default.jpg,added,0,0,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,389,57e593291dd46fabf50b5f3269559b23d9a7bab7,app/webroot/js/admin/configuration.js,modified,10,6,SebastianHaase,2012-03-07 15:13:45,2012-03-07 15:13:45,2012-03-07 15:13:50,2012-03-07 15:13:50,,
DHBW-Projekt/BeePublished,closed,388,81c4e312c6591ad4f4c4ce61258f6dd59fa5b82c,plugins/StaticText/Controller/DisplayTextController.php,modified,2,0,cevou,2012-03-07 09:07:11,2012-03-07 09:07:11,2012-03-07 15:14:00,2012-03-07 15:14:00,,
DHBW-Projekt/BeePublished,closed,388,cf6ea75f3883ad64611b1815d0a6dfab96414d46,plugins/StaticText/View/DisplayText/close.ctp,added,3,0,cevou,2012-03-07 09:07:11,2012-03-07 09:07:11,2012-03-07 15:14:00,2012-03-07 15:14:00,,
DHBW-Projekt/BeePublished,closed,388,8c5f283648c9ee450c94c4f469472471eb1914b8,plugins/StaticText/webroot/js/editText.js,modified,5,1,cevou,2012-03-07 09:07:11,2012-03-07 09:07:11,2012-03-07 15:14:00,2012-03-07 15:14:00,,
DHBW-Projekt/BeePublished,closed,387,09aa78fc96dfc5e9dfc860262a69bb0963dc6a9f,app/Config/routes.php,modified,1,1,VieneS,2012-03-07 08:29:18,2012-03-07 08:29:18,2012-03-07 08:29:27,2012-03-07 08:29:27,,
DHBW-Projekt/BeePublished,closed,387,c291f3dd160bfe1fd319d0ce0bf64f63d2a83617,app/Controller/ConfigurationsController.php,modified,138,54,VieneS,2012-03-07 08:29:18,2012-03-07 08:29:18,2012-03-07 08:29:27,2012-03-07 08:29:27,,
DHBW-Projekt/BeePublished,closed,387,b77a896639174b5ff3363d029f22721841cfa2f1,app/View/Configurations/index.ctp,modified,3,21,VieneS,2012-03-07 08:29:18,2012-03-07 08:29:18,2012-03-07 08:29:27,2012-03-07 08:29:27,,
DHBW-Projekt/BeePublished,closed,387,6155b87ee2878e12407458c9ab18226985ee6f05,app/View/Configurations/layout.ctp,added,15,0,VieneS,2012-03-07 08:29:18,2012-03-07 08:29:18,2012-03-07 08:29:27,2012-03-07 08:29:27,,
DHBW-Projekt/BeePublished,closed,387,9e3c86cf6fb3af5ea01e5141a75bd2b8740b9b7f,app/View/Configurations/offline.ctp,added,12,0,VieneS,2012-03-07 08:29:18,2012-03-07 08:29:18,2012-03-07 08:29:27,2012-03-07 08:29:27,,
DHBW-Projekt/BeePublished,closed,387,ce82f69c424a3a9c1b3af8d986a33b9514cfd2ff,app/View/Configurations/social.ctp,added,13,0,VieneS,2012-03-07 08:29:18,2012-03-07 08:29:18,2012-03-07 08:29:27,2012-03-07 08:29:27,,
DHBW-Projekt/BeePublished,closed,387,a3a246a863a5a71a0aaa7cee7924437385310340,app/View/Elements/config-menu.ctp,modified,3,0,VieneS,2012-03-07 08:29:18,2012-03-07 08:29:18,2012-03-07 08:29:27,2012-03-07 08:29:27,,
DHBW-Projekt/BeePublished,closed,387,ec6e289465466cd858e89884bab32d957c6ab621,app/View/Helper/BBCodeHelper.php,modified,2,0,VieneS,2012-03-07 08:29:18,2012-03-07 08:29:18,2012-03-07 08:29:27,2012-03-07 08:29:27,,
DHBW-Projekt/BeePublished,closed,387,fd7315e4c1a7dad0b4fdcb796dfbf496eb51fcea,app/webroot/js/admin/configuration.js,modified,5,2,VieneS,2012-03-07 08:29:18,2012-03-07 08:29:18,2012-03-07 08:29:27,2012-03-07 08:29:27,,
DHBW-Projekt/BeePublished,closed,386,ce3e00d598a5be455df89bf7cac0a75631e218a5,plugins/GoogleMaps/Config/Schema/schema.php,modified,0,1,cevou,2012-03-06 23:03:40,2012-03-06 23:03:40,2012-03-07 06:52:15,2012-03-07 06:52:15,,
DHBW-Projekt/BeePublished,closed,386,542af6fea30998d1a689d3d5c5d4f75f57ec5a4a,plugins/GoogleMaps/View/Elements/Location.ctp,modified,7,7,cevou,2012-03-06 23:03:40,2012-03-06 23:03:40,2012-03-07 06:52:15,2012-03-07 06:52:15,,
DHBW-Projekt/BeePublished,closed,386,626d59532eac02e402c02e21f22ab7f858854aba,plugins/GoogleMaps/View/Elements/Route.ctp,modified,9,10,cevou,2012-03-06 23:03:40,2012-03-06 23:03:40,2012-03-07 06:52:15,2012-03-07 06:52:15,,
DHBW-Projekt/BeePublished,closed,386,96fbb44569250f29756534793e902e0a22a8e412,plugins/GoogleMaps/webroot/js/googlemaps.js,modified,30,10,cevou,2012-03-06 23:03:40,2012-03-06 23:03:40,2012-03-07 06:52:15,2012-03-07 06:52:15,,
DHBW-Projekt/BeePublished,closed,385,eb09d7052258cc60a76a4f8b167c7e879df5a2ac,plugins/Impressum/Controller/ShowController.php,modified,1,0,PatrickZamzow,2012-02-10 16:02:14,2012-02-10 16:02:14,2012-03-07 06:50:29,2012-03-07 06:50:29,,
DHBW-Projekt/BeePublished,closed,385,aa894a9e66cb98cd15748cffa396898402af2bea,plugins/Impressum/View/Elements/Show.ctp,modified,12,3,PatrickZamzow,2012-02-10 16:02:14,2012-02-10 16:02:14,2012-03-07 06:50:29,2012-03-07 06:50:29,,
DHBW-Projekt/BeePublished,closed,384,f1957a6fa90922e43caa32cb147ff1125d3ca5b1,app/View/Themed/BeeColourful/webroot/js/menu.js,modified,2,2,AnneWendt,2012-02-09 10:16:13,2012-02-09 10:16:13,2012-02-09 10:16:58,2012-02-09 10:16:58,,
DHBW-Projekt/BeePublished,closed,384,99ee398627e433db8e2987d3d6bfc5b37e41e5c6,plugins/Newsletter/Controller/SubscriptionController.php,modified,8,5,AnneWendt,2012-02-09 10:16:13,2012-02-09 10:16:13,2012-02-09 10:16:58,2012-02-09 10:16:58,,
DHBW-Projekt/BeePublished,closed,384,079a8da0ef41fa45b6e15c2a9b4de0dea17d56fa,plugins/Newsletter/Locale/deu/LC_MESSAGES/newsletter.po,modified,5,0,AnneWendt,2012-02-09 10:16:13,2012-02-09 10:16:13,2012-02-09 10:16:58,2012-02-09 10:16:58,,
DHBW-Projekt/BeePublished,closed,384,e574f7e65aa5bef30abdf6e9eeeb5ba64e48a654,plugins/Newsletter/View/Elements/Subscription.ctp,modified,0,1,AnneWendt,2012-02-09 10:16:13,2012-02-09 10:16:13,2012-02-09 10:16:58,2012-02-09 10:16:58,,
DHBW-Projekt/BeePublished,closed,383,c1741fec080b26a6ea6e6ae4301ec5f89be92dc3,plugins/Guestbook/Locale/deu/LC_MESSAGES/Guestbook.po,modified,1,1,ghost,2012-02-09 10:14:16,2012-02-09 10:14:16,2012-02-09 10:17:26,2012-02-09 10:17:26,,
DHBW-Projekt/BeePublished,closed,383,610271a23ea6e92485ae54f994b160972d3cb854,plugins/Guestbook/View/Elements/writePost.ctp,modified,1,1,ghost,2012-02-09 10:14:16,2012-02-09 10:14:16,2012-02-09 10:17:26,2012-02-09 10:17:26,,
DHBW-Projekt/BeePublished,closed,383,7d93642518f15609ac2309be9bdc60da715cab74,plugins/Guestbook/webroot/js/write.js,modified,2,2,ghost,2012-02-09 10:14:16,2012-02-09 10:14:16,2012-02-09 10:17:26,2012-02-09 10:17:26,,
DHBW-Projekt/BeePublished,closed,382,f2bc9a03bb290ab3dff7883543e1c11e72e7b61e,app/Controller/PagesController.php,modified,224,224,SebastianHaase,2012-02-09 07:57:23,2012-02-09 07:57:23,2012-02-09 08:00:46,2012-02-09 08:00:46,,
DHBW-Projekt/BeePublished,closed,382,9db8db581cea70bf89996f688ccda94a27f486c7,app/View/Themed/BlackQueen/webroot/css/template.css,modified,0,1,SebastianHaase,2012-02-09 07:57:23,2012-02-09 07:57:23,2012-02-09 08:00:46,2012-02-09 08:00:46,,
DHBW-Projekt/BeePublished,closed,382,c8823032f6d721760efe906cb98be98a2454d151,plugins/StaticText/View/Elements/DisplayText.ctp,modified,4,0,SebastianHaase,2012-02-09 07:57:23,2012-02-09 07:57:23,2012-02-09 08:00:46,2012-02-09 08:00:46,,
DHBW-Projekt/BeePublished,closed,381,1e30affa40e4bb1fab3852a7e75fe25529622f0e,app/Model/User.php,modified,0,23,SebastianHaase,2012-02-09 00:09:36,2012-02-09 00:09:36,2012-02-09 05:26:39,2012-02-09 05:26:39,,
DHBW-Projekt/BeePublished,closed,381,2c661bdf1412d3a8c0e15c0e94f9bddbb920cf72,plugins/Guestbook/Controller/Component/GuestbookComponent.php,modified,0,3,SebastianHaase,2012-02-09 00:09:36,2012-02-09 00:09:36,2012-02-09 05:26:39,2012-02-09 05:26:39,,
DHBW-Projekt/BeePublished,closed,381,d9bac1627611010689bfebac2c3e88567a03ede8,plugins/Guestbook/Controller/GuestbookController.php,modified,9,9,SebastianHaase,2012-02-09 00:09:36,2012-02-09 00:09:36,2012-02-09 05:26:39,2012-02-09 05:26:39,,
DHBW-Projekt/BeePublished,closed,381,3e72c8927df8cc23135b914ca119ac308b5e65e5,plugins/Guestbook/Controller/GuestbookPostController.php,modified,18,18,SebastianHaase,2012-02-09 00:09:36,2012-02-09 00:09:36,2012-02-09 05:26:39,2012-02-09 05:26:39,,
