Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
Elgg/Elgg,open,12436,2f9b532b0152e6f4fe62146087e1017dee351b1f,views/default/elements/z-index.css,modified,5,0,NULL,2019-03-04 10:00:34,2019-03-04 10:00:34,0,0,,
Elgg/Elgg,open,12434,b9859740f51baef473bdb3e15056b88e1b6e119e,views/default/elements/layout/shell.css,modified,0,1,jdalsem,2019-02-28 15:17:05,2019-02-28 15:17:05,0,0,,
Elgg/Elgg,open,12432,71c156240d68dc1d77dbbdda102f0e4d9bd83aa8,mod/search/views/default/resources/search/index.php,modified,30,1,jdalsem,2019-02-28 09:25:57,2019-02-28 09:25:57,0,0,,
Elgg/Elgg,closed,12433,1ba8923b0357984fc26496ab086506f445c1242d,engine/classes/ElggUser.php,modified,14,0,NULL,2019-02-28 13:45:55,2019-02-28 13:45:55,2019-02-28 15:06:10,2019-02-28 15:06:10,,
Elgg/Elgg,closed,12433,ce43bf6fedce7b2e9183d8dbc3d5cd7bf8d12d10,mod/groups/views/json/resources/livesearch/group_members.php,modified,17,8,NULL,2019-02-28 13:45:55,2019-02-28 13:45:55,2019-02-28 15:06:10,2019-02-28 15:06:10,,
Elgg/Elgg,closed,12433,0db740aeb2a0e35feb23dd6c2f9f099611a19f41,views/default/resources/livesearch.php,modified,23,3,NULL,2019-02-28 13:45:55,2019-02-28 13:45:55,2019-02-28 15:06:10,2019-02-28 15:06:10,,
Elgg/Elgg,closed,12433,be31830422c2e820f8501d67ceca6cd12fddbadd,views/json/resources/livesearch/friends.php,modified,1,1,NULL,2019-02-28 13:45:55,2019-02-28 13:45:55,2019-02-28 15:06:10,2019-02-28 15:06:10,,
Elgg/Elgg,closed,12433,11e83e333a257da855d6d235717db3d5d082922e,views/json/resources/livesearch/groups.php,modified,16,15,NULL,2019-02-28 13:45:55,2019-02-28 13:45:55,2019-02-28 15:06:10,2019-02-28 15:06:10,,
Elgg/Elgg,closed,12433,a53d43393efb4f283801baaa2f2ae458c0ce8339,views/json/resources/livesearch/objects.php,modified,4,4,NULL,2019-02-28 13:45:55,2019-02-28 13:45:55,2019-02-28 15:06:10,2019-02-28 15:06:10,,
Elgg/Elgg,closed,12433,3049631febab6408f823f3bc3ef87e20963ee07d,views/json/resources/livesearch/users.php,modified,20,13,NULL,2019-02-28 13:45:55,2019-02-28 13:45:55,2019-02-28 15:06:10,2019-02-28 15:06:10,,
Elgg/Elgg,closed,12431,fb3829fbf9cfe4464a2a651fa54e8dc5235abcb7,engine/classes/Elgg/Database/Plugins.php,modified,1,1,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,9d13c9fb9a43a2d26bb08ce8c19fe9cb95a48d10,engine/classes/Elgg/Gatekeeper.php,modified,18,0,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,e80dc824ade40ae778fce5bcd093ee8d5fc624a3,engine/classes/Elgg/GatekeeperException.php,modified,1,1,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,28fbf507241b59db71de6fc5a536c5b6215ad8a1,engine/classes/Elgg/I18n/Translator.php,modified,3,3,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,edcb46412387dfdd84121150b10678fe2f1fd7ce,engine/classes/Elgg/PasswordService.php,modified,3,2,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,5a32cfe3b9fed26e03c8ae3e6a80e7a21e298501,engine/classes/Elgg/Router/Middleware/LoggedOutGatekeeper.php,added,24,0,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,a58e6cc44223cc1362353d5a96321b7a8930c6f5,engine/lib/navigation.php,modified,14,9,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,365581eb6f45150b398f882cc5c83c6703be13c4,engine/lib/pageowner.php,modified,3,2,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,c91e6a58ef58181df8b89873f40df01fc4c55d36,engine/lib/widgets.php,modified,1,1,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,d5ff2ee5e702e3b733f33118d545794878b31818,engine/routes.php,modified,12,0,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,ab5a95883bd9259c9b981b6463e4f417f3b56791,languages/en.php,modified,1,0,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,1f9af4674c5176d2f25224b9eb8a0d09d801190e,mod/blog/actions/blog/delete.php,modified,1,4,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,0adbf66511127923d234981122d1792217d0c129,mod/bookmarks/elgg-plugin.php,modified,9,0,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,5ac293e1920fe57013314c50a64b459cb413771c,mod/bookmarks/views/default/resources/bookmarks/add.php,modified,0,1,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,0933e5e28aff0801d6ba65c20746bc1442f8d5aa,mod/bookmarks/views/default/resources/bookmarks/bookmarklet.php,modified,0,2,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,37116a7f57f18e6e20366bbddce276436338715f,mod/bookmarks/views/default/resources/bookmarks/edit.php,modified,0,1,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,1840675c6fbe1d4aff9d116d1a10422ee5c3a7d8,mod/dashboard/elgg-plugin.php,modified,3,0,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
Elgg/Elgg,closed,12431,97d4009e03d9a7b3e64654f43b6a32917ada10e1,mod/dashboard/views/default/resources/dashboard.php,modified,0,3,jeabakker,2019-02-26 16:40:59,2019-02-26 16:40:59,2019-02-27 07:47:02,2019-02-27 07:47:02,,
