Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
YetiForceCompany/YetiForceCRM,open,8634,f1de8f1e92846d3e662872c19039af86f447c5dd,tests/Gui/3_ListView.php,modified,2,6,poradz,2018-11-20 17:10:17,2018-11-20 17:10:17,0,0,,
YetiForceCompany/YetiForceCRM,open,8634,43eec9a4124a5fe0fe7874a1a78407bc1c2c5b15,tests/Gui/4_BackupManager.php,modified,2,5,poradz,2018-11-20 17:10:17,2018-11-20 17:10:17,0,0,,
YetiForceCompany/YetiForceCRM,open,8634,57f6d320e9f09190cd1c7602cb94d8d87ac7986c,tests/GuiBase.php,modified,327,23,poradz,2018-11-20 17:10:17,2018-11-20 17:10:17,0,0,,
YetiForceCompany/YetiForceCRM,open,8634,8f2911ed2a6a0524e3f475102ba339835264a517,tests/setup/php.ini,modified,2,0,poradz,2018-11-20 17:10:17,2018-11-20 17:10:17,0,0,,
YetiForceCompany/YetiForceCRM,closed,9287,54dc4226d480179e13258ba2393dc0ab6e4730b6,tests/Settings/ConfReport.php,modified,40,17,NA,2019-02-01 08:05:13,2019-02-01 08:05:13,2019-02-01 10:43:17,2019-02-01 10:43:17,,
YetiForceCompany/YetiForceCRM,closed,9282,feb4ea80761ce431298b5a130c1c06bbfc5f3c9c,tests/Integrations/Twitter.php,modified,11,11,NA,2019-01-31 13:39:23,2019-01-31 13:39:23,2019-02-01 10:42:14,2019-02-01 10:42:14,,
YetiForceCompany/YetiForceCRM,closed,9274,3b3e51b6d9be3593f1386cdc2d1fa9bee200fe0f,tests/Settings/ModuleManager.php,modified,37,15,NA,2019-01-31 10:38:12,2019-01-31 10:38:12,2019-01-31 21:28:02,2019-01-31 21:28:02,,
YetiForceCompany/YetiForceCRM,closed,9270,df5aa5ea88c0468cc8ef4e10fec0a389832bda20,tests/App/TextParser.php,modified,9,8,NA,2019-01-31 09:30:35,2019-01-31 09:30:35,2019-02-01 10:49:00,2019-02-01 10:49:00,,
YetiForceCompany/YetiForceCRM,closed,9264,d2d1eb25aee1b6df0e616a0b0db659a19ccbd172,tests/Base/Z_Authy2FA.php,modified,9,9,NA,2019-01-30 15:00:18,2019-01-30 15:00:18,2019-01-31 06:47:03,2019-01-31 06:47:03,,
YetiForceCompany/YetiForceCRM,closed,9264,aa6aa3020424fe3e701fcb3654d164b979e71b0d,tests/Init/A_LanguageFiles.php,modified,3,2,NA,2019-01-30 15:00:18,2019-01-30 15:00:18,2019-01-31 06:47:03,2019-01-31 06:47:03,,
YetiForceCompany/YetiForceCRM,closed,9264,fc1dfbd6694eb31dac23569a4f09b90723057775,tests/Settings/OSSMail.php,modified,4,5,NA,2019-01-30 15:00:18,2019-01-30 15:00:18,2019-01-31 06:47:03,2019-01-31 06:47:03,,
YetiForceCompany/YetiForceCRM,closed,9108,ea63747bbb2bece814f65541e49705622666d60b,tests/Base/G_Cron.php,modified,1,1,poradz,2019-01-17 07:10:12,2019-01-17 07:10:12,2019-01-17 07:10:59,2019-01-17 07:10:59,,
YetiForceCompany/YetiForceCRM,closed,9100,00f3188924e74e5ab91b87eb3d05a8abae4ac53a,tests/App/Language.php,modified,1,1,TomaszQr,2019-01-16 09:30:16,2019-01-16 09:30:16,2019-01-16 12:42:25,2019-01-16 12:42:25,,
YetiForceCompany/YetiForceCRM,closed,9100,173150ef56082c0751857c9032f6a3b0bbe46a49,tests/Base/Z_StringFormatting.php,modified,6,6,TomaszQr,2019-01-16 09:30:16,2019-01-16 09:30:16,2019-01-16 12:42:25,2019-01-16 12:42:25,,
YetiForceCompany/YetiForceCRM,closed,9100,70fb8c63ccdfbfa335cc837d0ce168219d2832f2,tests/Integrations/Api.php,modified,4,4,TomaszQr,2019-01-16 09:30:16,2019-01-16 09:30:16,2019-01-16 12:42:25,2019-01-16 12:42:25,,
YetiForceCompany/YetiForceCRM,closed,9072,0e04a29740dcb7d2808cb1e2b679d3cb95f14b73,tests/Settings/OSSMail.php,modified,1,1,mariuszkrzaczkowski,2019-01-11 10:33:16,2019-01-11 10:33:16,2019-01-11 11:20:14,2019-01-11 11:20:14,,
YetiForceCompany/YetiForceCRM,closed,9072,c4ff77ca4d730491f3e5c7593fbdbdecf3692f28,tests/bootstrap.php,modified,1,1,mariuszkrzaczkowski,2019-01-11 10:33:16,2019-01-11 10:33:16,2019-01-11 11:20:14,2019-01-11 11:20:14,,
YetiForceCompany/YetiForceCRM,closed,8990,23e00561da75c25df07cb1cd3f513de2f5afe5f1,tests/App/Language.php,modified,1,1,depfu[bot],2018-12-21 16:30:30,2018-12-21 16:30:30,2018-12-21 18:16:06,2018-12-21 18:16:06,,
