Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
civicrm/civicrm-core,closed,13080,404e577f12a09610952ade8d12b9f1e03977a518,templates/CRM/Custom/Page/Group.hlp,modified,5,5,NULL,2018-11-10 05:12:20,2018-11-10 05:12:20,2018-11-10 12:04:04,2018-11-10 12:04:04,,
civicrm/civicrm-core,closed,13079,c56403f914a2c25780deede07aaa59f367817175,CRM/Activity/Form/Activity.php,modified,3,1,seamuslee001,2018-11-09 21:11:24,2018-11-09 21:11:24,2018-11-11 20:16:33,2018-11-11 20:16:33,,
civicrm/civicrm-core,closed,13075,404e577f12a09610952ade8d12b9f1e03977a518,templates/CRM/Custom/Page/Group.hlp,modified,5,5,seamuslee001,2018-11-09 15:23:11,2018-11-09 15:23:11,2018-11-10 05:12:09,2018-11-10 05:12:09,,
civicrm/civicrm-core,closed,13073,36ed63cfee7c0d061f71c8720b1c26acb7154317,api/v3/Contribution.php,modified,2,1,colemanw,2018-11-08 16:26:21,2018-11-08 16:26:21,2018-11-11 00:09:26,2018-11-11 00:09:26,,
civicrm/civicrm-core,closed,13072,cc6d8e6a57c2d4a696e6345b0b3e23e31fe71646,CRM/Member/Page/DashBoard.php,modified,1,1,omarabuhussein,2018-11-08 12:52:52,2018-11-08 12:52:52,2018-11-09 01:43:27,2018-11-09 01:43:27,,
civicrm/civicrm-core,closed,13072,a9795c42f06a8a4c0dfa1f6e2083eca0ab7c3c1c,CRM/Utils/Date.php,modified,17,0,omarabuhussein,2018-11-08 12:52:52,2018-11-08 12:52:52,2018-11-09 01:43:27,2018-11-09 01:43:27,,
civicrm/civicrm-core,closed,13072,1dbf86d8530fa4cac1b4775a14dbcdf5d000030e,templates/CRM/Member/Page/DashBoard.tpl,modified,1,1,omarabuhussein,2018-11-08 12:52:52,2018-11-08 12:52:52,2018-11-09 01:43:27,2018-11-09 01:43:27,,
civicrm/civicrm-core,closed,13071,cf39cac29005ef33f4ce73b1a7c3433f636c43ec,contributor-key.yml,modified,2,0,aydun,2018-11-08 09:02:50,2018-11-08 09:02:50,2018-11-08 09:02:56,2018-11-08 09:02:56,,
civicrm/civicrm-core,closed,13071,dac4b3686c9e338663408e15b3c89b45298f0074,release-notes.md,modified,12,1,aydun,2018-11-08 09:02:50,2018-11-08 09:02:50,2018-11-08 09:02:56,2018-11-08 09:02:56,,
civicrm/civicrm-core,closed,13071,74e6dc4d74c99c1cc51f74ca9ab3d4103819d326,release-notes/5.7.0.md,added,412,0,aydun,2018-11-08 09:02:50,2018-11-08 09:02:50,2018-11-08 09:02:56,2018-11-08 09:02:56,,
civicrm/civicrm-core,closed,13070,cf39cac29005ef33f4ce73b1a7c3433f636c43ec,contributor-key.yml,modified,2,0,eileenmcnaughton,2018-11-08 07:34:13,2018-11-08 07:34:13,2018-11-08 09:02:22,2018-11-08 09:02:21,,
civicrm/civicrm-core,closed,13070,dac4b3686c9e338663408e15b3c89b45298f0074,release-notes.md,modified,12,1,eileenmcnaughton,2018-11-08 07:34:13,2018-11-08 07:34:13,2018-11-08 09:02:22,2018-11-08 09:02:21,,
civicrm/civicrm-core,closed,13070,74e6dc4d74c99c1cc51f74ca9ab3d4103819d326,release-notes/5.7.0.md,added,412,0,eileenmcnaughton,2018-11-08 07:34:13,2018-11-08 07:34:13,2018-11-08 09:02:22,2018-11-08 09:02:21,,
civicrm/civicrm-core,closed,13069,55f4e8ca35236744e01e44c219c9c5d531e9ba92,CRM/Upgrade/Incremental/sql/5.7.0.mysql.tpl,added,1,0,seamuslee001,2018-11-08 07:15:28,2018-11-08 07:15:28,2018-11-08 07:15:34,2018-11-08 07:15:34,,
civicrm/civicrm-core,closed,13069,cf39cac29005ef33f4ce73b1a7c3433f636c43ec,contributor-key.yml,modified,2,0,seamuslee001,2018-11-08 07:15:28,2018-11-08 07:15:28,2018-11-08 07:15:34,2018-11-08 07:15:34,,
civicrm/civicrm-core,closed,13069,dac4b3686c9e338663408e15b3c89b45298f0074,release-notes.md,modified,12,1,seamuslee001,2018-11-08 07:15:28,2018-11-08 07:15:28,2018-11-08 07:15:34,2018-11-08 07:15:34,,
civicrm/civicrm-core,closed,13069,74e6dc4d74c99c1cc51f74ca9ab3d4103819d326,release-notes/5.7.0.md,added,412,0,seamuslee001,2018-11-08 07:15:28,2018-11-08 07:15:28,2018-11-08 07:15:34,2018-11-08 07:15:34,,
