Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
civicrm/civicrm-core,closed,13077,dab58cbfe5967a023472a40d3260181b34785b2c,tests/phpunit/CRM/Utils/TypeTest.php,modified,2,0,seamuslee001,2018-11-09 21:02:26,2018-11-09 21:02:26,2018-11-10 00:23:29,2018-11-10 00:23:29,,
civicrm/civicrm-core,closed,13072,8730238fa9b9f59dd6c2d5471abbf0c5e4c83f45,tests/phpunit/CRM/Utils/DateTest.php,modified,44,0,omarabuhussein,2018-11-08 12:52:52,2018-11-08 12:52:52,2018-11-09 01:43:27,2018-11-09 01:43:27,,
civicrm/civicrm-core,closed,13065,df4808b5387bf4d5e693389d64f7545168e9b9d7,tests/phpunit/CRM/Contact/BAO/SavedSearchTest.php,modified,46,0,alifrumin,2018-11-05 21:38:24,2018-11-05 21:38:24,2018-11-05 21:49:55,NA,,
civicrm/civicrm-core,closed,13065,bfa0ed9e93d95a4a406ffdf23e9a88cc92c5dc62,tests/phpunit/CRM/Mailing/BAO/MailingTest.php,modified,15,0,alifrumin,2018-11-05 21:38:24,2018-11-05 21:38:24,2018-11-05 21:49:55,NA,,
civicrm/civicrm-core,closed,13065,ab370117426fc011a142308a5dab0feff80b6ac4,tests/phpunit/api/v3/MessageTemplateTest.php,modified,31,0,alifrumin,2018-11-05 21:38:24,2018-11-05 21:38:24,2018-11-05 21:49:55,NA,,
civicrm/civicrm-core,closed,13065,f7cb92702188c742b4ddc192889a74f69078342d,tests/phpunit/api/v3/ReportTemplateTest.php,modified,25,0,alifrumin,2018-11-05 21:38:24,2018-11-05 21:38:24,2018-11-05 21:49:55,NA,,
civicrm/civicrm-core,closed,13050,cb1e88fb6f0cb8de0b8b7e8be6dd5e6c21583b23,tests/phpunit/CRM/Core/I18n/LocaleTest.php,added,55,0,eileenmcnaughton,2018-11-01 17:44:40,2018-11-01 17:44:40,2018-11-08 05:56:53,2018-11-08 05:56:53,,
civicrm/civicrm-core,closed,13047,356a19a5b7fdd29408fceaff56b605e0fb3736e8,tests/phpunit/CRMTraits/ACL/PermissionTrait.php,added,83,0,eileenmcnaughton,2018-11-01 03:50:27,2018-11-01 03:50:27,2018-11-01 20:13:41,2018-11-01 20:13:41,,
civicrm/civicrm-core,closed,13047,356a19a5b7fdd29408fceaff56b605e0fb3736e8,tests/phpunit/CRMTraits/ACL/PermissionTrait.phpx,added,83,0,eileenmcnaughton,2018-11-01 03:50:27,2018-11-01 03:50:27,2018-11-01 20:13:41,2018-11-01 20:13:41,,
civicrm/civicrm-core,closed,13014,8ad353a9f8593ab737d6307f208e2e5d8b71705a,tests/phpunit/api/v3/ParticipantTest.php,modified,15,5,colemanw,2018-10-26 01:03:02,2018-10-26 01:03:02,2018-11-02 00:36:54,2018-11-02 00:36:54,,
civicrm/civicrm-core,closed,13008,8345c0bdcc7d639b888135025fd74bf51ba26ca2,tests/phpunit/api/v3/ActivityTest.php,modified,8,6,seamuslee001,2018-10-25 00:06:54,2018-10-25 00:06:54,2018-10-26 22:50:58,2018-10-26 22:50:58,,
civicrm/civicrm-core,closed,13007,17b0ece5d9f72eeb99f7a545cee4ec6b9798b7cb,Civi/Test/Api3DocTrait.php,modified,2,2,eileenmcnaughton,2018-10-25 00:06:12,2018-10-25 00:06:12,2018-10-25 03:56:25,2018-10-25 03:56:25,,
civicrm/civicrm-core,closed,12991,14b9d98c01b068a5f0e798ba1be94a35b033f4a8,tests/phpunit/CRM/Contact/BAO/QueryTest.php,modified,3,3,mattwire,2018-10-23 20:19:06,2018-10-23 20:19:06,2018-10-29 07:11:46,2018-10-29 07:11:46,,
civicrm/civicrm-core,closed,12988,14dcc53a524a5e5d8a7e42f514d2ea86bc1acf72,tests/phpunit/CRM/Contact/BAO/QueryTest.php,modified,1,1,colemanw,2018-10-23 06:09:20,2018-10-23 06:09:20,2018-10-29 07:12:50,2018-10-29 07:12:50,,
civicrm/civicrm-core,closed,12987,ebef36284e3c8d7ce55dba470d6e4eb9acb52db8,tests/phpunit/api/v3/ContactTest.php,modified,17,1,eileenmcnaughton,2018-10-23 05:59:35,2018-10-23 05:59:35,2018-10-29 07:13:54,2018-10-29 07:13:54,,
civicrm/civicrm-core,closed,12979,4ed8844c0f5ccccaa28c97e7d87e82ca1c855d80,tests/phpunit/CRM/Event/Form/ParticipantTest.php,modified,4,7,totten,2018-10-21 09:33:24,2018-10-21 09:33:24,2018-10-25 20:30:50,2018-10-25 20:30:50,,
civicrm/civicrm-core,closed,12976,bfa0ed9e93d95a4a406ffdf23e9a88cc92c5dc62,tests/phpunit/CRM/Mailing/BAO/MailingTest.php,modified,15,0,mattwire,2018-10-20 22:08:09,2018-10-20 22:08:09,2018-10-20 22:08:21,2018-10-20 22:08:21,,
civicrm/civicrm-core,closed,12965,df4808b5387bf4d5e693389d64f7545168e9b9d7,tests/phpunit/CRM/Contact/BAO/SavedSearchTest.php,modified,46,0,seamuslee001,2018-10-18 21:10:47,2018-10-18 21:10:47,2018-10-21 19:31:18,2018-10-21 19:31:18,,
civicrm/civicrm-core,closed,12965,bfa0ed9e93d95a4a406ffdf23e9a88cc92c5dc62,tests/phpunit/CRM/Mailing/BAO/MailingTest.php,modified,15,0,seamuslee001,2018-10-18 21:10:47,2018-10-18 21:10:47,2018-10-21 19:31:18,2018-10-21 19:31:18,,
civicrm/civicrm-core,closed,12965,ab370117426fc011a142308a5dab0feff80b6ac4,tests/phpunit/api/v3/MessageTemplateTest.php,modified,31,0,seamuslee001,2018-10-18 21:10:47,2018-10-18 21:10:47,2018-10-21 19:31:18,2018-10-21 19:31:18,,
civicrm/civicrm-core,closed,12964,134974e08f6c8ced661249f4b0683a49c19c71c2,tests/phpunit/api/v3/JobProcessMailingTest.php,modified,1,0,eileenmcnaughton,2018-10-18 21:09:03,2018-10-18 21:09:03,2018-10-19 00:22:47,2018-10-19 00:22:47,,
civicrm/civicrm-core,closed,12962,bfa0ed9e93d95a4a406ffdf23e9a88cc92c5dc62,tests/phpunit/CRM/Mailing/BAO/MailingTest.php,modified,15,0,eileenmcnaughton,2018-10-18 20:50:16,2018-10-18 20:50:16,2018-10-19 17:11:27,2018-10-19 17:11:27,,
civicrm/civicrm-core,closed,12961,134974e08f6c8ced661249f4b0683a49c19c71c2,tests/phpunit/api/v3/JobProcessMailingTest.php,modified,1,0,seamuslee001,2018-10-18 20:46:01,2018-10-18 20:46:01,2018-10-18 20:58:08,2018-10-18 20:58:08,,
civicrm/civicrm-core,closed,12950,873f37e829100932adba9f29766121ab0ca61793,tests/phpunit/api/v3/CaseTest.php,modified,18,25,vingle,2018-10-18 05:34:54,2018-10-18 05:34:54,2018-10-18 08:57:13,2018-10-18 08:57:13,,
civicrm/civicrm-core,closed,12945,0d00874b44f8b146f13159656f9d7fd94a95f099,tests/phpunit/CRM/Mailing/BAO/MailingTest.php,modified,15,0,laryn,2018-10-16 20:03:39,2018-10-16 20:03:39,2018-10-17 08:07:14,2018-10-17 08:07:14,,
civicrm/civicrm-core,closed,12930,986a89169ffb8501be87882874202c92d7e24852,tests/phpunit/CiviTest/CiviUnitTestCase.php,modified,39,0,mecachisenros,2018-10-12 15:29:48,2018-10-12 15:29:48,2018-10-24 22:17:25,2018-10-24 22:17:25,,
civicrm/civicrm-core,closed,12930,76a6d9957662e918f49e6efa50dac0cf833edc9c,tests/phpunit/api/v3/SyntaxConformanceTest.php,modified,21,3,mecachisenros,2018-10-12 15:29:48,2018-10-12 15:29:48,2018-10-24 22:17:25,2018-10-24 22:17:25,,
civicrm/civicrm-core,closed,12928,c9862c05ec5e3920e3e07e880fe587c4f0ed4839,tests/phpunit/CRM/Core/Payment/PayPalIPNTest.php,modified,67,0,jackrabbithanna,2018-10-12 00:49:29,2018-10-12 00:49:29,2018-10-25 00:12:54,2018-10-25 00:12:54,,
