Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
laravel/framework,closed,26479,e1642f5cbb0b4aabe436a57841195ec40f37cc65,src/Illuminate/Session/Middleware/StartSession.php,modified,0,1,NULL,2018-11-11 14:56:26,2018-11-11 14:56:26,2018-11-11 14:56:32,2018-11-11 14:56:32,,
laravel/framework,closed,26476,214bc8b80bb56c1ea70dc90fbf1def9f2f45b488,src/Illuminate/Auth/Access/Gate.php,modified,0,1,taylorotwell,2018-11-11 14:09:30,2018-11-11 14:09:30,2018-11-11 14:09:56,2018-11-11 14:09:56,,
laravel/framework,closed,26476,d77274be168460b5861a777bc90613944a201ba9,src/Illuminate/Contracts/Filesystem/Filesystem.php,modified,1,1,taylorotwell,2018-11-11 14:09:30,2018-11-11 14:09:30,2018-11-11 14:09:56,2018-11-11 14:09:56,,
laravel/framework,closed,26476,58f5430ed0ea7e94f076f9048e11dbca1e35e462,src/Illuminate/Database/Eloquent/Relations/Concerns/AsPivot.php,modified,1,1,taylorotwell,2018-11-11 14:09:30,2018-11-11 14:09:30,2018-11-11 14:09:56,2018-11-11 14:09:56,,
laravel/framework,closed,26476,ade59535241f735eacb884d29ee0500262e7525e,src/Illuminate/Database/Eloquent/Relations/MorphPivot.php,modified,1,1,taylorotwell,2018-11-11 14:09:30,2018-11-11 14:09:30,2018-11-11 14:09:56,2018-11-11 14:09:56,,
laravel/framework,closed,26476,f8675ea3cd90e6fb9d5d8cb5b2dbaf7b96903940,src/Illuminate/Database/Seeder.php,modified,1,1,taylorotwell,2018-11-11 14:09:30,2018-11-11 14:09:30,2018-11-11 14:09:56,2018-11-11 14:09:56,,
laravel/framework,closed,26476,616e7ed14d5af9ebc870293d6f4e83dbad1c8a3b,src/Illuminate/Queue/CallQueuedClosure.php,modified,1,1,taylorotwell,2018-11-11 14:09:30,2018-11-11 14:09:30,2018-11-11 14:09:56,2018-11-11 14:09:56,,
laravel/framework,closed,26476,a4dc2a792445655e78877529321d1e96ac295932,src/Illuminate/Support/Collection.php,modified,0,4,taylorotwell,2018-11-11 14:09:30,2018-11-11 14:09:30,2018-11-11 14:09:56,2018-11-11 14:09:56,,
laravel/framework,closed,26476,6915928f3895d551f0ac4dc3067e775ba07a5821,src/Illuminate/Support/Facades/URL.php,modified,1,1,taylorotwell,2018-11-11 14:09:30,2018-11-11 14:09:30,2018-11-11 14:09:56,2018-11-11 14:09:56,,
laravel/framework,closed,26475,fd18ecc7d25a997b3901e419b946d9c3ee1f273e,CHANGELOG-5.7.md,modified,1,0,carusogabriel,2018-11-11 12:50:42,2018-11-11 12:50:42,2018-11-11 12:52:00,2018-11-11 12:52:00,,
laravel/framework,closed,26474,dfc6879475da629ca9c754b140875fdfa9aac025,CHANGELOG-5.7.md,modified,16,0,TBlindaruk,2018-11-11 12:41:57,2018-11-11 12:41:57,2018-11-11 12:42:08,2018-11-11 12:42:08,,
laravel/framework,closed,26472,08e171bc558fca5c7d1903b42e07e383452cbefb,src/Illuminate/Database/Migrations/stubs/create.stub,modified,1,1,TBlindaruk,2018-11-11 07:36:44,2018-11-11 07:36:44,2018-11-11 13:50:45,2018-11-11 13:50:45,,
laravel/framework,closed,26472,6ff1af22a2c3e04db23a44ea132acaef2256ee38,src/Illuminate/Database/Schema/Blueprint.php,modified,2,2,TBlindaruk,2018-11-11 07:36:44,2018-11-11 07:36:44,2018-11-11 13:50:45,2018-11-11 13:50:45,,
laravel/framework,closed,26472,2e25cf0cd9dc3868b779ea94861b0ab3878dc4cd,src/Illuminate/Database/Schema/Builder.php,modified,0,17,TBlindaruk,2018-11-11 07:36:44,2018-11-11 07:36:44,2018-11-11 13:50:45,2018-11-11 13:50:45,,
laravel/framework,closed,26471,b2882a5a3a0fb72f7ad8b89a065e5500613b5ed1,src/Illuminate/Database/Eloquent/Relations/Relation.php,modified,1,1,sisve,2018-11-10 17:13:03,2018-11-10 17:13:03,2018-11-11 14:07:23,2018-11-11 14:07:23,,
laravel/framework,closed,26471,6c81aab80c9f7b5c53853f58690cd24fdefad9ff,src/Illuminate/Database/Query/Builder.php,modified,7,5,sisve,2018-11-10 17:13:03,2018-11-10 17:13:03,2018-11-11 14:07:23,2018-11-11 14:07:23,,
laravel/framework,closed,26470,1630d248455b66db16bd09a1103e5a7443d7acaa,src/Illuminate/Foundation/Auth/ResetsPasswords.php,modified,3,3,staudenmeir,2018-11-10 15:31:15,2018-11-10 15:31:15,2018-11-10 16:29:39,NA,,
laravel/framework,closed,26469,1ae845e8058826f3576191c69833e91c0366d4fe,src/Illuminate/Foundation/Auth/SendsPasswordResetEmails.php,modified,1,1,arcanedev-maroc,2018-11-10 15:23:12,2018-11-10 15:23:12,2018-11-10 16:29:54,NA,,
laravel/framework,closed,26468,9a31dbc8c318b273d000d444b2d7a6f7481a24bf,src/Illuminate/Foundation/Auth/AuthenticatesUsers.php,modified,2,2,arcanedev-maroc,2018-11-10 15:00:51,2018-11-10 15:00:51,2018-11-10 16:30:02,NA,,
