Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
owncloud/core,closed,31942,71c7492e2be966338de74a643bd56f839be7fdca,lib/public/Authentication/Exceptions/AccountCheckException.php,modified,1,0,NA,2018-06-28 13:22:36,2018-06-28 13:22:36,2018-06-29 08:12:46,2018-06-29 08:12:46,,
owncloud/core,closed,31941,15ef95eca53f5767554fc06ce79476c194514235,apps/files_trashbin/lib/Trashbin.php,modified,1,2,NA,2018-06-28 12:57:09,2018-06-28 12:57:09,2018-06-28 14:02:46,2018-06-28 14:02:46,,
owncloud/core,closed,31939,1aceb5e5fb4112f86bfd80dbecc0c8fdf60b3ab5,lib/private/AppFramework/Routing/RouteConfig.php,modified,1,1,NA,2018-06-28 11:51:40,2018-06-28 11:51:40,2018-08-01 09:26:26,2018-08-01 09:26:26,,
owncloud/core,closed,31938,7acca6a4d3ecd6047e568e0d26ed184f9a6ae126,apps/files_sharing/lib/Capabilities.php,modified,2,16,NA,2018-06-28 11:36:09,2018-06-28 11:36:09,2018-06-28 13:01:49,2018-06-28 13:01:49,,
owncloud/core,closed,31938,25b075487a56cd047fc3a7130e6a0192d9f92f96,lib/private/Share20/Manager.php,modified,0,2,NA,2018-06-28 11:36:09,2018-06-28 11:36:09,2018-06-28 13:01:49,2018-06-28 13:01:49,,
owncloud/core,closed,31938,5b4f964701572fdfeb3a15ac6e304ef1d23e8a30,lib/private/legacy/util.php,modified,0,26,NA,2018-06-28 11:36:09,2018-06-28 11:36:09,2018-06-28 13:01:49,2018-06-28 13:01:49,,
owncloud/core,closed,31937,94bc1a3b4283f183d49d124757d7f87f473f5c0f,apps/files_sharing/lib/Capabilities.php,modified,0,21,NA,2018-06-28 11:32:20,2018-06-28 11:32:20,2018-06-28 11:49:17,2018-06-28 11:49:17,,
owncloud/core,closed,31936,2f1708c570c0c6fd7f11e6c39ab0cf49547705c7,apps/files_sharing/lib/Capabilities.php,modified,16,2,NA,2018-06-28 11:19:01,2018-06-28 11:19:01,2018-06-28 11:24:19,2018-06-28 11:24:19,,
owncloud/core,closed,31936,b40a2e22ba5231e7fb372de2c86c27da99a44991,lib/private/Share20/Manager.php,modified,2,0,NA,2018-06-28 11:19:01,2018-06-28 11:19:01,2018-06-28 11:24:19,2018-06-28 11:24:19,,
owncloud/core,closed,31936,90d17a9b2190b1e71204c1656b849591d701b6cd,lib/private/legacy/util.php,modified,26,0,NA,2018-06-28 11:19:01,2018-06-28 11:19:01,2018-06-28 11:24:19,2018-06-28 11:24:19,,
