Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
symfony/symfony,closed,28891,caf6f6efb6db1c7542871655d74e8ed112da79b9,src/Symfony/Bundle/SecurityBundle/Tests/Functional/app/templates/base.html.twig,renamed,0,0,NA,2018-10-16 15:06:48,2018-10-16 15:06:48,2018-10-21 06:43:30,2018-10-21 06:43:30,,
symfony/symfony,closed,28891,bb07ecfe55a36694ae4cd8a2e4ed14afb19dd281,src/Symfony/Bundle/TwigBundle/Tests/DependencyInjection/Fixtures/Resources/TwigBundle/views/layout.html.twig,removed,0,1,NA,2018-10-16 15:06:48,2018-10-16 15:06:48,2018-10-21 06:43:30,2018-10-21 06:43:30,,
symfony/symfony,closed,28891,bb07ecfe55a36694ae4cd8a2e4ed14afb19dd281,src/Symfony/Bundle/TwigBundle/Tests/DependencyInjection/Fixtures/Resources/views/layout.html.twig,removed,0,1,NA,2018-10-16 15:06:48,2018-10-16 15:06:48,2018-10-21 06:43:30,2018-10-21 06:43:30,,
symfony/symfony,closed,28891,3666ef6d339ae2e47b582d17d634a5f476240e14,src/Symfony/Bundle/TwigBundle/Tests/DependencyInjection/TwigExtensionTest.php,modified,39,4,NA,2018-10-16 15:06:48,2018-10-16 15:06:48,2018-10-21 06:43:30,2018-10-21 06:43:30,,
symfony/symfony,closed,28891,1975b0e15986ad679bddf9ae9e9ae22ad2b24a51,src/Symfony/Bundle/TwigBundle/Tests/Fixtures/templates/Resources/TwigBundle/views/layout.html.twig,added,1,0,NA,2018-10-16 15:06:48,2018-10-16 15:06:48,2018-10-21 06:43:30,2018-10-21 06:43:30,,
symfony/symfony,closed,28891,8c0495028a8e57a70bc0e9f909ac9c8080013212,src/Symfony/Bundle/TwigBundle/Tests/Functional/NoTemplatingEntryTest.php,modified,3,2,NA,2018-10-16 15:06:48,2018-10-16 15:06:48,2018-10-21 06:43:30,2018-10-21 06:43:30,,
symfony/symfony,closed,28891,ddc4eb4404eb568052cecbdd024194b10167b008,src/Symfony/Bundle/TwigBundle/Tests/Functional/templates/index.html.twig,renamed,0,0,NA,2018-10-16 15:06:48,2018-10-16 15:06:48,2018-10-21 06:43:30,2018-10-21 06:43:30,,
symfony/symfony,closed,28891,e39313cd87ea11a49292f18ac67edfffa0a52fbf,src/Symfony/Bundle/TwigBundle/Tests/Loader/FilesystemLoaderTest.php,modified,6,6,NA,2018-10-16 15:06:48,2018-10-16 15:06:48,2018-10-21 06:43:30,2018-10-21 06:43:30,,
symfony/symfony,closed,28890,9d9d28fde481af51c49a30956fdd6180b3568742,src/Symfony/Bundle/FrameworkBundle/Tests/Command/CacheClearCommand/CacheClearCommandTest.php,modified,2,5,NA,2018-10-16 13:49:45,2018-10-16 13:49:45,2018-10-16 19:57:05,2018-10-16 19:57:05,,
symfony/symfony,closed,28890,5d014e745b4c622283fae36abe25badbc30260ee,src/Symfony/Bundle/FrameworkBundle/Tests/Command/CacheClearCommand/Fixture/TestAppKernel.php,modified,2,12,NA,2018-10-16 13:49:45,2018-10-16 13:49:45,2018-10-16 19:57:05,2018-10-16 19:57:05,,
symfony/symfony,closed,28890,b6138947f37c703b204b131ab30b015ba53e67e5,src/Symfony/Bundle/FrameworkBundle/Tests/Command/TranslationDebugCommandTest.php,modified,5,6,NA,2018-10-16 13:49:45,2018-10-16 13:49:45,2018-10-16 19:57:05,2018-10-16 19:57:05,,
symfony/symfony,closed,28890,0d0881d629771ad4e4f203718c69277f49ca664d,src/Symfony/Component/HttpKernel/Tests/Fixtures/KernelWithoutBundles.php,modified,5,0,NA,2018-10-16 13:49:45,2018-10-16 13:49:45,2018-10-16 19:57:05,2018-10-16 19:57:05,,
symfony/symfony,closed,28890,063663bfaa772e0380a41bbb2f45eb0aa5d6ed96,src/Symfony/Component/HttpKernel/Tests/KernelTest.php,modified,1,1,NA,2018-10-16 13:49:45,2018-10-16 13:49:45,2018-10-16 19:57:05,2018-10-16 19:57:05,,
symfony/symfony,closed,28888,5361bab661c105587c83027b5b837763f1a49951,src/Symfony/Bridge/Doctrine/Tests/DependencyInjection/DoctrineExtensionTest.php,modified,0,2,NA,2018-10-16 11:36:08,2018-10-16 11:36:08,2018-10-16 13:30:04,2018-10-16 13:30:04,,
symfony/symfony,closed,28888,67aa34cf5bac46544f61290f64e7585b85eb048d,src/Symfony/Bundle/FrameworkBundle/Tests/DependencyInjection/Compiler/CachePoolClearerPassTest.php,modified,0,2,NA,2018-10-16 11:36:08,2018-10-16 11:36:08,2018-10-16 13:30:04,2018-10-16 13:30:04,,
