Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
woothemes/woocommerce,open,22773,0f03c8d045d5b9e11963a1d0e32aa48fc0f00df3,tests/unit-tests/api/system-status.php,modified,9,0,mikejolley,2019-02-19 15:40:49,2019-02-19 15:40:49,0,0,,
woothemes/woocommerce,open,22773,84d97d5e73082d7e0b11d91f62c4804361731c79,tests/unit-tests/api/v2/system-status.php,modified,9,1,mikejolley,2019-02-19 15:40:49,2019-02-19 15:40:49,0,0,,
woothemes/woocommerce,open,22718,440bd37541c13289c4bfaeb68971893ad39fb742,tests/unit-tests/product/functions.php,modified,29,16,Tofandel,2019-02-12 14:17:10,2019-02-12 14:17:10,0,0,,
woothemes/woocommerce,open,22718,f5cba195d1500af8a448ab7459c20dcd0348e512,tests/unit-tests/util/class-wc-tests-wc-query.php,modified,3,6,Tofandel,2019-02-12 14:17:10,2019-02-12 14:17:10,0,0,,
woothemes/woocommerce,open,22675,b70ec3d8f95746bd90b7b3006400b4705b2dc626,tests/unit-tests/product/factory.php,modified,37,0,mikejolley,2019-02-06 19:19:47,2019-02-06 19:19:47,0,0,,
woothemes/woocommerce,open,22570,6b8cff59db2d382afb1820730ee4b18453cd3bdd,tests/unit-tests/api/products.php,modified,23,14,claudiulodro,2019-01-25 21:34:29,2019-01-25 21:34:29,0,0,,
woothemes/woocommerce,open,22570,e45f51d7f4b8f62d09249ab3d30935e3ae8535e4,tests/unit-tests/api/v2/products.php,modified,40,32,claudiulodro,2019-01-25 21:34:29,2019-01-25 21:34:29,0,0,,
woothemes/woocommerce,closed,22899,aab7c5abeba59502a95ed443b5bf5b4f4b9a15db,tests/unit-tests/api/system-status.php,modified,8,8,mihaigrigori,2019-02-28 00:54:36,2019-02-28 00:54:36,2019-03-04 22:13:27,2019-03-04 22:13:27,,
woothemes/woocommerce,closed,22899,50a0f1017204985037096e8255a29fd5c84454be,tests/unit-tests/api/v2/system-status.php,modified,5,5,mihaigrigori,2019-02-28 00:54:36,2019-02-28 00:54:36,2019-03-04 22:13:27,2019-03-04 22:13:27,,
woothemes/woocommerce,closed,22883,b70ec3d8f95746bd90b7b3006400b4705b2dc626,tests/unit-tests/product/factory.php,modified,37,0,kloon,2019-02-27 11:05:11,2019-02-27 11:05:11,2019-03-04 13:47:14,2019-03-04 13:47:14,,
woothemes/woocommerce,closed,22856,1ce12330e1f97450d00eeefd0094724aace1bc6c,tests/unit-tests/api/wc-blocks/products.php,added,305,0,haszari,2019-02-25 22:04:41,2019-02-25 22:04:41,2019-02-26 23:32:14,2019-02-26 23:32:14,,
woothemes/woocommerce,closed,22834,b2646f60017e39cc77c933dee447791701f8c09e,tests/unit-tests/product/functions.php,modified,17,0,renovate[bot],2019-02-23 05:43:50,2019-02-23 05:43:50,2019-02-26 14:06:03,2019-02-26 14:06:03,,
woothemes/woocommerce,closed,22832,a2cda7c436c344843e82e4780928414754680840,tests/unit-tests/api/wc-blocks/products-categories.php,added,121,0,nishitlangaliya,2019-02-22 21:00:21,2019-02-22 21:00:21,2019-02-23 00:18:52,2019-02-23 00:18:52,,
woothemes/woocommerce,closed,22831,d9b2b590e87ff5a62c0306cea04ccc0b715dd057,tests/unit-tests/api/wc-blocks/products-attributes.php,added,105,0,timmyc,2019-02-22 19:47:41,2019-02-22 19:47:41,2019-02-26 16:51:08,2019-02-26 16:51:08,,
woothemes/woocommerce,closed,22809,263893d995b5974a1c3ffc621c6ed6d3dc763512,tests/unit-tests/api/wc-blocks/products-attributes-terms.php,added,105,0,jeffstieler,2019-02-21 20:34:12,2019-02-21 20:34:12,2019-02-22 18:27:52,2019-02-22 18:27:52,,
woothemes/woocommerce,closed,22786,812ed590a99f8bcc3dd4dbba01edf7690dca7c0d,tests/unit-tests/customer/functions.php,modified,20,3,jeffstieler,2019-02-20 19:37:56,2019-02-20 19:37:56,2019-02-27 12:55:57,2019-02-27 12:55:57,,
woothemes/woocommerce,closed,22760,d654675d9cd96d0de44e5c8274db2de5751b8b5b,tests/unit-tests/webhooks/functions.php,modified,115,6,mikejolley,2019-02-18 15:11:09,2019-02-18 15:11:09,2019-02-19 09:58:07,2019-02-19 09:58:06,,
woothemes/woocommerce,closed,22731,4c8675c560e341b46143c9c5423b83e57d61444f,tests/unit-tests/webhooks/crud.php,modified,23,21,renovate[bot],2019-02-13 18:01:46,2019-02-13 18:01:46,2019-02-19 09:50:51,2019-02-19 09:50:51,,
woothemes/woocommerce,closed,22684,833cdc3021ca53d395793e508cad63fdae35edb6,tests/unit-tests/gateways/paypal/request.php,modified,13,9,Tofandel,2019-02-07 20:37:23,2019-02-07 20:37:23,2019-02-18 17:21:06,2019-02-18 17:21:06,,
woothemes/woocommerce,closed,22668,cedce35c997e26be9742df9a5aeca4d7161fb408,tests/unit-tests/product/data.php,modified,16,6,Chouby,2019-02-05 14:14:16,2019-02-05 14:14:16,2019-02-06 12:46:51,2019-02-06 12:46:50,,
woothemes/woocommerce,closed,22655,22344e5e7fb7ddbbcc9343103d758156257af59a,tests/unit-tests/product/data.php,modified,3,3,mikejolley,2019-02-04 21:12:57,2019-02-04 21:12:57,2019-02-05 13:53:06,NA,,
woothemes/woocommerce,closed,22634,835ecf37f8239f6b4b659b79c152295a56fc1ffb,tests/README.md,modified,8,1,renovate[bot],2019-02-01 22:57:15,2019-02-01 22:57:15,2019-02-06 16:43:33,2019-02-06 16:43:33,,
woothemes/woocommerce,closed,22634,77d081b950501070df0285c24ee52713b47233cb,tests/bin/install.sh,modified,3,1,renovate[bot],2019-02-01 22:57:15,2019-02-01 22:57:15,2019-02-06 16:43:33,2019-02-06 16:43:33,,
woothemes/woocommerce,closed,22610,5b425638a9398409f01fc736035802a4234ea5e0,tests/unit-tests/templates/functions.php,modified,22,7,mikejolley,2019-01-30 16:06:17,2019-01-30 16:06:17,2019-02-07 13:34:36,2019-02-07 13:34:36,,
woothemes/woocommerce,closed,22602,ed60277656e52d63d5315ac0b11c1ff31731bbdd,tests/unit-tests/util/class-wc-tests-core-functions.php,modified,1,1,kloon,2019-01-30 01:02:52,2019-01-30 01:02:52,2019-01-31 12:42:51,2019-01-31 12:42:51,,
woothemes/woocommerce,closed,22580,d34a97bb80d524b39aad53edc8b72f9b43e23299,tests/unit-tests/api/orders.php,modified,11,12,rrennick,2019-01-27 15:56:14,2019-01-27 15:56:14,2019-01-31 14:39:00,2019-01-31 14:39:00,,
woothemes/woocommerce,closed,22571,56165fd1d0c63db981b98b1be29bb681bb438a17,tests/unit-tests/shortcodes/product_categories.php,added,84,0,outis,2019-01-26 01:47:30,2019-01-26 01:47:30,2019-01-31 16:42:59,NA,,
woothemes/woocommerce,closed,22531,03c5170ef28f2781e231eda09aa365b479309f60,tests/unit-tests/api/system-status.php,modified,3,3,mikejolley,2019-01-23 12:55:23,2019-01-23 12:55:23,2019-01-23 20:18:43,2019-01-23 20:18:43,,
woothemes/woocommerce,closed,22531,6fe65d3e2df89fedf68f0530a69e355481aa2717,tests/unit-tests/api/v2/system-status.php,modified,2,2,mikejolley,2019-01-23 12:55:23,2019-01-23 12:55:23,2019-01-23 20:18:43,2019-01-23 20:18:43,,
woothemes/woocommerce,closed,22518,3022593e960db69ed62230d71f3f4b55822a175f,tests/unit-tests/admin/reports/class-wc-tests-report-sales-by-date.php,modified,33,25,rrennick,2019-01-21 20:09:25,2019-01-21 20:09:25,2019-01-22 13:29:41,2019-01-22 13:29:41,,
woothemes/woocommerce,closed,22486,ff2f8358482107252d2a8c1d04c870a54cd1fdb6,tests/bin/phpcs.sh,modified,1,1,peterfabian,2019-01-17 11:27:23,2019-01-17 11:27:23,2019-01-17 19:51:31,2019-01-17 19:51:31,,
woothemes/woocommerce,closed,22451,52fa2fc5e9f0843d55005af5c9a90b71f282fd9e,tests/unit-tests/admin/reports/class-wc-tests-report-sales-by-date.php,modified,29,25,claudiosanches,2019-01-14 19:20:45,2019-01-14 19:20:45,2019-01-21 20:17:04,NA,,
woothemes/woocommerce,closed,22426,990dd1081ca849faa17f91df2e5430de3bace97d,tests/unit-tests/order/class-wc-tests-crud-orders.php,modified,0,1,MajkieS,2019-01-12 00:28:56,2019-01-12 00:28:56,2019-01-14 16:46:21,2019-01-14 16:46:21,,
woothemes/woocommerce,closed,22420,2ed624211a8da6e7c094a7785b888299f5905ed7,tests/unit-tests/cart/cart.php,modified,87,1,mikejolley,2019-01-11 14:14:09,2019-01-11 14:14:09,2019-02-12 16:13:59,2019-02-12 16:13:59,,
woothemes/woocommerce,closed,22417,848c8585146dfae00efdff4f1e42c65272dd8b4a,tests/unit-tests/util/class-wc-tests-core-functions.php,modified,22,0,kloon,2019-01-11 12:03:39,2019-01-11 12:03:39,2019-01-22 14:47:43,2019-01-22 14:47:43,,
woothemes/woocommerce,closed,22416,2ed624211a8da6e7c094a7785b888299f5905ed7,tests/unit-tests/cart/cart.php,modified,87,1,kloon,2019-01-11 11:51:08,2019-01-11 11:51:08,2019-01-16 17:32:51,2019-01-16 17:32:51,,
woothemes/woocommerce,closed,22328,c7b069121bab048934cd3d2951f2c562521dd451,tests/unit-tests/session/class-wc-tests-session-handler.php,modified,5,5,mikejolley,2019-01-03 08:38:37,2019-01-03 08:38:37,2019-01-14 16:57:49,NA,,
woothemes/woocommerce,closed,22269,5995045bb8537f18e0552b64d50e2cfcc71a11d2,tests/unit-tests/api/customers.php,modified,335,231,rrennick,2018-12-19 17:26:12,2018-12-19 17:26:12,2019-01-31 12:56:40,2019-01-31 12:56:40,,
woothemes/woocommerce,closed,22266,c93fb09583f31fee51f5fa1eefa6a6a830b8060d,tests/e2e-tests/data/e2e-db.sql,modified,48,48,rodrigoprimo,2018-12-19 13:03:58,2018-12-19 13:03:58,2019-01-09 12:14:48,2019-01-09 12:14:48,,
woothemes/woocommerce,closed,22252,630a61c4bd3d50e4cf868c511f6f4b086d6235a5,tests/e2e-tests/config-setup.js,added,62,0,daigo75,2018-12-17 20:13:02,2018-12-17 20:13:02,2018-12-19 12:37:27,2018-12-19 12:37:27,,
woothemes/woocommerce,closed,22252,a0fd6cb1436afae26843cdcab3995ed2ecd6cecf,tests/e2e-tests/front-end/cart-page.js,renamed,0,1,daigo75,2018-12-17 20:13:02,2018-12-17 20:13:02,2018-12-19 12:37:27,2018-12-19 12:37:27,,
woothemes/woocommerce,closed,22252,347a4973434c478daf116b5958a461955ce3e013,tests/e2e-tests/front-end/checkout-page.js,renamed,1,3,daigo75,2018-12-17 20:13:02,2018-12-17 20:13:02,2018-12-19 12:37:27,2018-12-19 12:37:27,,
woothemes/woocommerce,closed,22252,81d6de60f4dfdc26a3694b3dbaca505921e4991e,tests/e2e-tests/front-end/my-account-page.js,renamed,0,0,daigo75,2018-12-17 20:13:02,2018-12-17 20:13:02,2018-12-19 12:37:27,2018-12-19 12:37:27,,
woothemes/woocommerce,closed,22252,e7170fc86aab84aa3487dc049acba3b0e2a41c4e,tests/e2e-tests/front-end/single-product.js,renamed,0,0,daigo75,2018-12-17 20:13:02,2018-12-17 20:13:02,2018-12-19 12:37:27,2018-12-19 12:37:27,,
woothemes/woocommerce,closed,22205,d9f2d2423fb15ba5e47539bea80c79d43088e98f,tests/unit-tests/webhooks/functions.php,modified,45,10,kloon,2018-12-12 08:42:30,2018-12-12 08:42:30,2019-01-08 15:32:57,2019-01-08 15:32:57,,
