Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
andresriancho/w3af,closed,1817,514ff29bc74803eef43d401ca0c81489d5e1a306,w3af/core/ui/console/tests/test_profiles.py,modified,21,1,attwad,2014-03-30 19:43:11,2014-03-30 19:43:11,2014-03-31 12:07:31,2014-03-31 12:07:31,NA,NA
andresriancho/w3af,closed,12036,60578763b020e60ceea9877b346dc9ffc0bba66a,w3af/plugins/tests/infrastructure/test_webapp_detection.py,added,87,0,breakthesec,2015-08-10 15:09:33,2015-08-10 15:09:33,2015-08-12 12:27:00,NA,NA,NA
andresriancho/w3af,closed,5592,4a807fdc143e4e0925c633a432721c20c09274e7,w3af/plugins/tests/grep/test_form_cleartext_password.py,added,244,0,glira,2014-10-13 21:55:15,2014-10-13 21:55:15,2014-10-13 22:33:36,NA,NA,NA
andresriancho/w3af,closed,6869,456e1538f2fcc50ef47bd909c71d4d15cf2194ab,w3af/plugins/tests/audit/test_rfd.py,added,146,0,kravietz,2014-12-21 21:56:22,2014-12-21 21:56:22,2014-12-23 14:39:00,2014-12-23 14:39:00,NA,NA
andresriancho/w3af,closed,169,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,plugins/tests/__init__.py,modified,0,10,kravietz,2013-03-18 20:26:02,2013-03-18 20:26:02,2013-03-18 22:00:49,NA,NA,NA
andresriancho/w3af,closed,169,599c07d119ee20fc02688f83353ca92764bd1e9f,plugins/tests/grep/test_csp.py,added,91,0,kravietz,2013-03-18 20:26:02,2013-03-18 20:26:02,2013-03-18 22:00:49,NA,NA,NA
andresriancho/w3af,closed,9233,9ea795bc3955f0249aa1d0090e4e3a32c6ad8536,w3af/plugins/tests/audit/test_hpp.py,added,241,0,m0sth8,2015-03-31 14:26:55,2015-03-31 14:26:55,2015-04-02 18:56:36,NA,NA,NA
andresriancho/w3af,open,15202,978367116f256599f8b1a04a1a96ea0a5b630111,w3af/core/controllers/tests/pylint.rc,modified,1,1,oguzhantopgul,2017-02-21 10:07:54,2017-02-21 10:07:54,0,0,NA,NA
andresriancho/w3af,open,10658,7097c028a534586fdf6a0e43139838c0de95b9e8,w3af/plugins/tests/audit/test_hpp.py,added,135,0,plizonczyk,2015-06-23 16:25:27,2015-06-23 16:25:27,0,0,NA,NA
andresriancho/w3af,closed,166,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,plugins/tests/__init__.py,modified,0,10,righettod,2013-03-16 11:32:01,2013-03-16 11:32:01,2013-03-18 20:21:24,NA,NA,NA
