Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
andresriancho/w3af,closed,4165,254bc495287840065166ea15cfbad60aa8e0f393,w3af/core/controllers/daemons/tests/test_proxy2.py,added,136,0,13rac1,2014-07-21 06:31:30,2014-07-21 06:31:30,2015-06-15 10:44:55,NA,NA,NA
andresriancho/w3af,closed,4165,fd552c9459bb4dabd882cea2a0294ab0c436dee2,w3af/core/controllers/tests/test_templates.py,added,30,0,13rac1,2014-07-21 06:31:30,2014-07-21 06:31:30,2015-06-15 10:44:55,NA,NA,NA
andresriancho/w3af,closed,4165,90d1b19845ee3ccf9db51b00b446db964f6b6244,w3af/core/data/url/tests/test_xurllib_proxy.py,modified,2,2,13rac1,2014-07-21 06:31:30,2014-07-21 06:31:30,2015-06-15 10:44:55,NA,NA,NA
andresriancho/w3af,closed,4165,d7732488b5a9bb63830f258c9571d3f849ba494b,w3af/templates/test.html,added,1,0,13rac1,2014-07-21 06:31:30,2014-07-21 06:31:30,2015-06-15 10:44:55,NA,NA,NA
andresriancho/w3af,open,13574,69239e838b5a91f4cffe89264c7d28943402748c,w3af/core/data/context/tests/samples/django-500.html,modified,9,9,andersonDadario,2016-03-06 15:20:58,2016-03-06 15:20:58,0,0,NA,NA
andresriancho/w3af,open,13574,24aaaaa860a10ad81e619c43e8ca24ce23d03a72,w3af/core/data/context/tests/test_css.py,modified,24,22,andersonDadario,2016-03-06 15:20:58,2016-03-06 15:20:58,0,0,NA,NA
andresriancho/w3af,open,13574,7ecaa75b1475df75f2aa3ede148ee489b6aa22bf,w3af/core/data/context/tests/test_html.py,modified,140,73,andersonDadario,2016-03-06 15:20:58,2016-03-06 15:20:58,0,0,NA,NA
andresriancho/w3af,open,13574,8bb6ea72ce4a606d2b6a5bc218368aadf9b93a67,w3af/core/data/context/tests/test_html_css.py,modified,52,16,andersonDadario,2016-03-06 15:20:58,2016-03-06 15:20:58,0,0,NA,NA
andresriancho/w3af,open,13574,55e36f037260b76f0a9ceb6b52ae03bf9120c899,w3af/core/data/context/tests/test_html_javascript.py,modified,242,67,andersonDadario,2016-03-06 15:20:58,2016-03-06 15:20:58,0,0,NA,NA
andresriancho/w3af,open,13574,2e92f0ece8d521e6b67132c38c136465eecf55d5,w3af/core/data/context/tests/test_javascript.py,modified,52,36,andersonDadario,2016-03-06 15:20:58,2016-03-06 15:20:58,0,0,NA,NA
andresriancho/w3af,open,13574,8cefe06e84c89e8980d7bd0a24e3dc65dfc05e72,w3af/core/data/context/tests/test_utils_codec.py,added,145,0,andersonDadario,2016-03-06 15:20:58,2016-03-06 15:20:58,0,0,NA,NA
andresriancho/w3af,open,13574,3a1b756e4176e6745590614152d9ee76746c5253,w3af/plugins/tests/audit/test_xss.py,modified,16,4,andersonDadario,2016-03-06 15:20:58,2016-03-06 15:20:58,0,0,NA,NA
andresriancho/w3af,closed,13647,f2f0ecae7e357391e18f28625f94450106b62fae,w3af/core/controllers/csp/tests/test_csp_utils.py,modified,319,515,bheesham,2016-03-20 20:41:45,2016-03-20 20:41:45,2018-06-24 19:31:58,NA,NA,NA
andresriancho/w3af,open,17363,0e2188031c952b48919504e047552f5b708f8512,w3af/plugins/tests/audit/data/petstore_with_security.yaml,added,146,0,CustomBread,2018-10-26 09:36:25,2018-10-26 09:36:25,0,0,NA,NA
andresriancho/w3af,open,17363,a1e5f9dad22ec0458ce8513227a9c5f1c4f32677,w3af/plugins/tests/audit/test_open_api_auth.py,added,290,0,CustomBread,2018-10-26 09:36:25,2018-10-26 09:36:25,0,0,NA,NA
andresriancho/w3af,closed,2672,072e51cf744cb4f485cffe0861c9188a51273855,w3af/core/data/fuzzer/tests/test_form_filler.py,modified,9,0,nikaiw,2014-05-21 10:21:11,2014-05-21 10:21:11,2014-05-21 10:21:47,NA,NA,NA
andresriancho/w3af,closed,2672,826f5b1de8a1c39b6b757f3709662dc28a9b39bc,w3af/core/data/url/tests/test_HTTPResponse.py,modified,12,0,nikaiw,2014-05-21 10:21:11,2014-05-21 10:21:11,2014-05-21 10:21:47,NA,NA,NA
andresriancho/w3af,closed,10857,0b79b3cf771a901d33772a8931a3ad40a260a052,w3af/core/ui/api/tests/test_kb.py,modified,11,5,pkhadka56,2015-06-30 08:01:23,2015-06-30 08:01:23,2015-07-02 21:03:08,2015-07-02 21:03:08,NA,NA
andresriancho/w3af,closed,10857,bd7fc372743a749599344fe6f362cb119922f058,w3af/core/ui/api/tests/test_log.py,modified,5,2,pkhadka56,2015-06-30 08:01:23,2015-06-30 08:01:23,2015-07-02 21:03:08,2015-07-02 21:03:08,NA,NA
andresriancho/w3af,closed,10857,a125eadb0e64fc9e74a0892681d71a395fcbb875,w3af/core/ui/api/tests/test_scan.py,modified,19,9,pkhadka56,2015-06-30 08:01:23,2015-06-30 08:01:23,2015-07-02 21:03:08,2015-07-02 21:03:08,NA,NA
andresriancho/w3af,closed,10857,2d7ba3499678d180b897f14a1a235f0bc5c580d3,w3af/core/ui/api/tests/test_version.py,modified,2,1,pkhadka56,2015-06-30 08:01:23,2015-06-30 08:01:23,2015-07-02 21:03:08,2015-07-02 21:03:08,NA,NA
andresriancho/w3af,closed,10857,343067f967986202c491a7b03f6c5b7f22bd4dc3,w3af/core/ui/api/tests/utils/api_process.py,modified,7,3,pkhadka56,2015-06-30 08:01:23,2015-06-30 08:01:23,2015-07-02 21:03:08,2015-07-02 21:03:08,NA,NA
andresriancho/w3af,closed,10857,be41362185360efaf77f107885c0f4a827df84e4,w3af/core/ui/api/tests/utils/api_unittest.py,modified,11,6,pkhadka56,2015-06-30 08:01:23,2015-06-30 08:01:23,2015-07-02 21:03:08,2015-07-02 21:03:08,NA,NA
andresriancho/w3af,closed,5375,692aa2a5f12966198c198c95b3a2c4497ab162f5,w3af/plugins/tests/audit/test_memcachei.py,added,49,0,radhakrishnak,2014-09-30 16:28:47,2014-09-30 16:28:47,2014-09-30 23:54:06,2014-09-30 23:54:06,NA,NA
andresriancho/w3af,closed,5763,3b1d4f7d9030cb6d2c03156ff24bac730bce3a87,w3af/plugins/tests/grep/test_websockets_links.py,added,120,0,ST2Labs,2014-10-22 13:39:36,2014-10-22 13:39:36,2015-01-02 13:06:26,NA,NA,NA
andresriancho/w3af,closed,5294,692aa2a5f12966198c198c95b3a2c4497ab162f5,w3af/plugins/tests/audit/test_memcachei.py,added,49,0,vectorsigma,2014-09-25 15:20:22,2014-09-25 15:20:22,2014-09-30 23:51:33,NA,NA,NA
andresriancho/w3af,closed,2580,68a8be2607eca8ab6e174b364fce78a0e95dd1f0,w3af/core/controllers/misc/tests/test_fuzzy_string_cmp.py,modified,13,0,vinnytroia,2014-05-16 12:33:20,2014-05-16 12:33:20,2014-06-04 20:24:29,NA,NA,NA
coala-analyzer/coala,closed,5723,5f8b1fd534ef71bb070d6728f97573583d321556,coalib/testing/LocalBearTestHelper.py,modified,3,4,aaqaishtyaq,2018-08-18 00:10:57,2018-08-18 00:10:57,2018-09-01 14:40:34,2018-09-01 14:40:34,NA,NA
coala-analyzer/coala,open,5865,d848998d1e6e7eb0f6718ed813ccd24c1472a8e2,tests/bearlib/abstractions/LinterTest.py,modified,120,3,AditiKatiyar,2018-10-30 15:32:41,2018-10-30 15:32:41,0,0,NA,NA
coala-analyzer/coala,closed,3992,91a1f4dc96558993d75b95ecf74bb4c9701079f1,tests/bearlib/DeprecateSettingsTest.py,added,17,0,alisianoi,2017-03-25 12:15:59,2017-03-25 12:15:59,2017-03-26 06:36:59,2017-03-26 06:36:58,NA,NA
coala-analyzer/coala,closed,5141,7bfaf2291ea71285ed38449d46aaa795e54267c9,coalib/testing/LocalBearTestHelper.py,modified,86,53,Ananthavijay,2018-02-08 10:45:45,2018-02-08 10:45:45,2018-02-14 18:37:39,NA,NA,NA
coala-analyzer/coala,open,5867,d01a98280492ae227fe0b16512650c35d8b1ee27,tests/coalaTest.py,modified,32,0,AprajitaSingh,2018-11-01 07:48:22,2018-11-01 07:48:22,0,0,NA,NA
coala-analyzer/coala,closed,4808,5f9f0fb0072648a3eded2afeb0d7cd6e4f6fa042,tests/settings/ConfigurationGatheringTest.py,modified,41,4,Arunraj07,2017-10-29 06:32:20,2017-10-29 06:32:20,2017-12-22 16:25:26,NA,NA,NA
coala-analyzer/coala,closed,4808,de352cab1fad6a2a15eba20a85919d5857330474,tests/settings/section_manager_test_files/system_coafile,added,8,0,Arunraj07,2017-10-29 06:32:20,2017-10-29 06:32:20,2017-12-22 16:25:26,NA,NA,NA
coala-analyzer/coala,open,5153,6276b428a08e553c9e5720cece5a31059eac94ad,coalib/testing/LocalBearTestHelper.py,modified,92,56,ayush9398,2018-02-12 14:11:03,2018-02-12 14:11:03,0,0,NA,NA
coala-analyzer/coala,closed,4225,9cc1a0545434abad725d11dcc5391f09549e10d2,tests/output/ConsoleInteractionTest.py,modified,5,0,Balaji2198,2017-05-13 10:27:39,2017-05-13 10:27:39,2017-05-13 23:57:01,2017-05-13 23:57:00,NA,NA
coala-analyzer/coala,closed,5833,b47d4fa23a8543ead48606d82b0777c963ed1dd1,tests/TestUtilities.py,modified,1,0,bkhanale,2018-10-19 15:34:08,2018-10-19 15:34:08,2018-10-23 02:51:33,2018-10-23 02:51:33,NA,NA
coala-analyzer/coala,closed,5699,7deeabd9aeee7abd73aa1024b2fb6c2b8d01be41,tests/io/FileProxyTest.py,added,213,0,blindacai,2018-08-08 14:52:12,2018-08-08 14:52:12,2018-08-11 07:40:52,2018-08-11 07:40:52,NA,NA
coala-analyzer/coala,closed,5699,26d146d38bef843717f3a2aa6bf87bf5a0dc7e1e,tests/misc/CachingTest.py,modified,106,2,blindacai,2018-08-08 14:52:12,2018-08-08 14:52:12,2018-08-11 07:40:52,2018-08-11 07:40:52,NA,NA
coala-analyzer/coala,closed,5699,682b15f80e6645b1ffa9e61165e0ff41cc77a629,tests/processes/ProcessingTest.py,modified,5,20,blindacai,2018-08-08 14:52:12,2018-08-08 14:52:12,2018-08-11 07:40:52,2018-08-11 07:40:52,NA,NA
coala-analyzer/coala,closed,4256,52088a67aa5659a65b151bffebe2bea3c620a541,tests/bearlib/abstractions/LinterTest.py,modified,1,1,burrowdown,2017-05-22 21:54:31,2017-05-22 21:54:31,2017-06-30 19:44:34,NA,NA,NA
coala-analyzer/coala,open,5261,9873962161c376484c7208e71115432dd14d453a,tests/bearlib/abstractions/LinterTest.py,modified,1,1,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,NA,NA
coala-analyzer/coala,open,5261,8e3855c1b866d8d01c233e567e0989eb5029a785,tests/coalaDeleteOrigTest.py,modified,1,1,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,NA,NA
coala-analyzer/coala,open,5261,5f2b9bf14db70ec4e358fc9be6e796ea037e54e0,tests/misc/CachingTest.py,modified,0,6,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,NA,NA
coala-analyzer/coala,open,5261,1f340c169749b090e220d202dd78dcf101ff7a70,tests/misc/DictUtilitiesTest.py,modified,2,2,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,NA,NA
coala-analyzer/coala,open,5261,8556abbba76b65b4b70f3518dfd7e9411e3836c6,tests/misc/test_caching_multi_results/.coafile,modified,1,1,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,NA,NA
coala-analyzer/coala,open,5261,51b9c93f808599a347e1822f8c4997c782d05b7b,tests/output/ConfWriterTest.py,modified,2,2,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,NA,NA
coala-analyzer/coala,open,5261,5f79eef18ba1b1aeca2777e83648b21359bd25b0,tests/parsing/ConfParserTest.py,modified,0,16,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,NA,NA
coala-analyzer/coala,open,5261,1f3e1cc32a40d9498cb92523333ad67bf094666f,tests/settings/ConfigurationGatheringTest.py,modified,1,1,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,NA,NA
coala-analyzer/coala,open,5261,a26559796bb40a01950eb547af780725e38fcaa5,tests/settings/SectionTest.py,modified,3,3,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,NA,NA
coala-analyzer/coala,open,5261,d878a1ac8be6ae01f553e43990d0fe310eac1555,tests/settings/section_manager_test_files/child_dir/.coafile,modified,1,1,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,NA,NA
coala-analyzer/coala,closed,4171,fdf27a7a20bab5a387178458a119ebe831d2e3dd,tests/coalaDeleteOrigTest.py,modified,1,2,danlls,2017-05-04 09:11:43,2017-05-04 09:11:43,2017-07-15 12:21:01,NA,NA,NA
coala-analyzer/coala,closed,4171,6b88f978ea61c30f3b00c3d1b6c1a9a350d4370b,tests/settings/SettingTest.py,modified,1,2,danlls,2017-05-04 09:11:43,2017-05-04 09:11:43,2017-07-15 12:21:01,NA,NA,NA
coala-analyzer/coala,closed,5023,c0e424d7289977d85aa64ece17191c224a330632,tests/processes/ProcessingTest.py,modified,1,2,darthgera123,2018-01-01 03:12:43,2018-01-01 03:12:43,2018-01-06 00:20:13,2018-01-06 00:20:13,NA,NA
coala-analyzer/coala,closed,5023,12671dcaa81db54ff704a1a053bb4255133fa724,tests/settings/ConfigurationGatheringTest.py,modified,7,6,darthgera123,2018-01-01 03:12:43,2018-01-01 03:12:43,2018-01-06 00:20:13,2018-01-06 00:20:13,NA,NA
coala-analyzer/coala,closed,5821,380a330632694b098ee4640c2fcf5a866001b190,tests/TestUtilities.py,modified,1,0,Dhiraj240,2018-10-16 05:30:05,2018-10-16 05:30:05,2018-10-20 15:21:46,2018-10-20 15:21:46,NA,NA
coala-analyzer/coala,closed,3853,a57e591e5ca3ba3ac4f9c3e1a5618676ed0f6a71,tests/results/DiffTest.py,modified,4,1,djokester,2017-03-05 06:15:37,2017-03-05 06:15:37,2017-03-30 08:52:34,NA,NA,NA
coala-analyzer/coala,closed,4935,542e46379a81a23c457ed1d3a6e371839f0426dc,tests/coalaTest.py,modified,18,0,dob9601,2017-12-02 03:00:07,2017-12-02 03:00:07,2017-12-02 03:06:59,NA,NA,NA
coala-analyzer/coala,closed,4935,1b185a8b9fa7e008126b235686ae62db50c54746,tests/hidden_bear_dir/HiddenBear.py,added,18,0,dob9601,2017-12-02 03:00:07,2017-12-02 03:00:07,2017-12-02 03:06:59,NA,NA,NA
coala-analyzer/coala,closed,4935,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,tests/hidden_bear_dir/__init__.py,added,0,0,dob9601,2017-12-02 03:00:07,2017-12-02 03:00:07,2017-12-02 03:06:59,NA,NA,NA
coala-analyzer/coala,closed,4650,05293ce00028657837a23bf2ad4a1ed2476ed38e,tests/coalaFormatTest.py,modified,10,0,Dumidu921,2017-08-19 21:21:57,2017-08-19 21:21:57,2017-09-25 21:13:29,NA,NA,NA
coala-analyzer/coala,closed,4650,9c2d3198096894cce2f90ef230676df1421ae351,tests/coalaJSONTest.py,modified,16,1,Dumidu921,2017-08-19 21:21:57,2017-08-19 21:21:57,2017-09-25 21:13:29,NA,NA,NA
coala-analyzer/coala,closed,5803,4d8b16543e4c012f714eb1512cf3f053c04becef,test-requirements.txt,modified,1,1,flowkraD,2018-10-11 12:54:57,2018-10-11 12:54:57,2018-10-11 14:58:15,2018-10-11 14:58:15,NA,NA
coala-analyzer/coala,open,3991,dfff4509554783185acafb212e61674d94678f73,tests/results/TextRangeTest.py,modified,9,6,fragm3,2017-03-25 12:03:22,2017-03-25 12:03:22,0,0,NA,NA
coala-analyzer/coala,closed,4070,3791cb6b2ebfa01542a035d2296e6e25d60e9735,tests/bearlib/aspects/ModuleTest.py,added,48,0,gopal-agarwal,2017-04-08 20:31:00,2017-04-08 20:31:00,2017-04-10 11:15:26,2017-04-10 11:15:26,NA,NA
coala-analyzer/coala,closed,3723,0fd19543ecb5dbaf6f7e0534fa82887c55c3501e,.misc/tests.sh,modified,3,8,gs0510,2017-02-09 08:48:27,2017-02-09 08:48:27,2017-02-09 09:53:39,2017-02-09 09:53:39,NA,NA
coala-analyzer/coala,closed,3723,e13503db6c33112c5553c2bbc223bce26a8c1510,test-requirements.txt,modified,1,1,gs0510,2017-02-09 08:48:27,2017-02-09 08:48:27,2017-02-09 09:53:39,2017-02-09 09:53:39,NA,NA
