Repository,Test,Situation,Total,% com/sem,% total,,
andresriancho_w3af.csv,TRUE,Open,2,22.22,9.09,,
andresriancho_w3af.csv,TRUE,Closed,5,55.56,22.73,,
andresriancho_w3af.csv,TRUE,Merged,2,22.22,9.09,,
andresriancho_w3af.csv,FALSE,Open,0,0,0,,
andresriancho_w3af.csv,FALSE,Closed,8,61.54,36.36,,
andresriancho_w3af.csv,FALSE,Merged,5,38.46,22.73,,
coala-analyzer_coala.csv,TRUE,Open,3,4.92,3.23,,
coala-analyzer_coala.csv,TRUE,Closed,16,26.23,17.2,,
coala-analyzer_coala.csv,TRUE,Merged,42,68.85,45.16,,
coala-analyzer_coala.csv,FALSE,Open,0,0,0,,
coala-analyzer_coala.csv,FALSE,Closed,13,40.62,13.98,,
coala-analyzer_coala.csv,FALSE,Merged,19,59.38,20.43,,
edx_edx-platform.csv,TRUE,Open,0,0,0,,
edx_edx-platform.csv,TRUE,Closed,10,27.78,21.74,,
edx_edx-platform.csv,TRUE,Merged,26,72.22,56.52,,
edx_edx-platform.csv,FALSE,Open,0,0,0,,
edx_edx-platform.csv,FALSE,Closed,4,40,8.7,,
edx_edx-platform.csv,FALSE,Merged,6,60,13.04,,
ipython_ipython.csv,TRUE,Open,1,3.85,1.56,,
ipython_ipython.csv,TRUE,Closed,8,30.77,12.5,,
ipython_ipython.csv,TRUE,Merged,17,65.38,26.56,,
ipython_ipython.csv,FALSE,Open,0,0,0,,
ipython_ipython.csv,FALSE,Closed,10,26.32,15.62,,
ipython_ipython.csv,FALSE,Merged,28,73.68,43.75,,
learningequality_ka-lite.csv,TRUE,Open,0,0,0,,
learningequality_ka-lite.csv,TRUE,Closed,2,66.67,22.22,,
learningequality_ka-lite.csv,TRUE,Merged,1,33.33,11.11,,
learningequality_ka-lite.csv,FALSE,Open,0,0,0,,
learningequality_ka-lite.csv,FALSE,Closed,2,33.33,22.22,,
learningequality_ka-lite.csv,FALSE,Merged,4,66.67,44.44,,
pyca_cryptography.csv,TRUE,Open,0,0,0,,
pyca_cryptography.csv,TRUE,Closed,4,28.57,13.33,,
pyca_cryptography.csv,TRUE,Merged,10,71.43,33.33,,
pyca_cryptography.csv,FALSE,Open,0,0,0,,
pyca_cryptography.csv,FALSE,Closed,3,18.75,10,,
pyca_cryptography.csv,FALSE,Merged,13,81.25,43.33,,
pydata_pandas.csv,TRUE,Open,8,5.56,4.82,,
pydata_pandas.csv,TRUE,Closed,41,28.47,24.7,,
pydata_pandas.csv,TRUE,Merged,95,65.97,57.23,,
pydata_pandas.csv,FALSE,Open,1,4.55,0.6,,
pydata_pandas.csv,FALSE,Closed,7,31.82,4.22,,
pydata_pandas.csv,FALSE,Merged,14,63.64,8.43,,
ros_rosdistro.csv,TRUE,Open,0,0,0,,
ros_rosdistro.csv,TRUE,Closed,1,50,1.28,,
ros_rosdistro.csv,TRUE,Merged,1,50,1.28,,
ros_rosdistro.csv,FALSE,Open,0,0,0,,
ros_rosdistro.csv,FALSE,Closed,3,3.95,3.85,,
ros_rosdistro.csv,FALSE,Merged,73,96.05,93.59,,
saltstack_salt.csv,TRUE,Open,2,1.75,0.86,,
saltstack_salt.csv,TRUE,Closed,10,8.77,4.31,,
saltstack_salt.csv,TRUE,Merged,102,89.47,43.97,,
saltstack_salt.csv,FALSE,Open,0,0,0,,
saltstack_salt.csv,FALSE,Closed,10,8.47,4.31,,
saltstack_salt.csv,FALSE,Merged,108,91.53,46.55,,
zestedesavoir_zds-site.csv,TRUE,Open,0,0,0,,
zestedesavoir_zds-site.csv,TRUE,Closed,0,0,0,,
zestedesavoir_zds-site.csv,TRUE,Merged,2,100,33.33,,
zestedesavoir_zds-site.csv,FALSE,Open,0,0,0,,
zestedesavoir_zds-site.csv,FALSE,Closed,2,50,33.33,,
zestedesavoir_zds-site.csv,FALSE,Merged,2,50,33.33,,
