Repository,Test,Situation,Total,% com/sem,% total,,
andresriancho_w3af.csv,TRUE,Open,2,20,4.17,,
andresriancho_w3af.csv,TRUE,Closed,6,60,12.5,,
andresriancho_w3af.csv,TRUE,Merged,2,20,4.17,,
andresriancho_w3af.csv,FALSE,Open,8,21.05,16.67,,
andresriancho_w3af.csv,FALSE,Closed,12,31.58,25,,
andresriancho_w3af.csv,FALSE,Merged,18,47.37,37.5,,
coala-analyzer_coala.csv,TRUE,Open,17,20.48,7.76,,
coala-analyzer_coala.csv,TRUE,Closed,20,24.1,9.13,,
coala-analyzer_coala.csv,TRUE,Merged,46,55.42,21,,
coala-analyzer_coala.csv,FALSE,Open,18,13.24,8.22,,
coala-analyzer_coala.csv,FALSE,Closed,49,36.03,22.37,,
coala-analyzer_coala.csv,FALSE,Merged,69,50.74,31.51,,
edx_edx-platform.csv,TRUE,Open,6,9.52,4.38,,
edx_edx-platform.csv,TRUE,Closed,7,11.11,5.11,,
edx_edx-platform.csv,TRUE,Merged,50,79.37,36.5,,
edx_edx-platform.csv,FALSE,Open,4,5.41,2.92,,
edx_edx-platform.csv,FALSE,Closed,10,13.51,7.3,,
edx_edx-platform.csv,FALSE,Merged,60,81.08,43.8,,
ipython_ipython.csv,TRUE,Open,1,1.06,0.33,,
ipython_ipython.csv,TRUE,Closed,11,11.7,3.64,,
ipython_ipython.csv,TRUE,Merged,82,87.23,27.15,,
ipython_ipython.csv,FALSE,Open,4,1.92,1.32,,
ipython_ipython.csv,FALSE,Closed,33,15.87,10.93,,
ipython_ipython.csv,FALSE,Merged,171,82.21,56.62,,
learningequality_ka-lite.csv,TRUE,Open,1,16.67,4.76,,
learningequality_ka-lite.csv,TRUE,Closed,1,16.67,4.76,,
learningequality_ka-lite.csv,TRUE,Merged,4,66.67,19.05,,
learningequality_ka-lite.csv,FALSE,Open,1,6.67,4.76,,
learningequality_ka-lite.csv,FALSE,Closed,5,33.33,23.81,,
learningequality_ka-lite.csv,FALSE,Merged,9,60,42.86,,
pyca_cryptography.csv,TRUE,Open,3,10.34,2.83,,
pyca_cryptography.csv,TRUE,Closed,3,10.34,2.83,,
pyca_cryptography.csv,TRUE,Merged,23,79.31,21.7,,
pyca_cryptography.csv,FALSE,Open,1,1.3,0.94,,
pyca_cryptography.csv,FALSE,Closed,13,16.88,12.26,,
pyca_cryptography.csv,FALSE,Merged,63,81.82,59.43,,
pydata_pandas.csv,TRUE,Open,41,10.3,6.25,,
pydata_pandas.csv,TRUE,Closed,109,27.39,16.62,,
pydata_pandas.csv,TRUE,Merged,248,62.31,37.8,,
pydata_pandas.csv,FALSE,Open,25,9.69,3.81,,
pydata_pandas.csv,FALSE,Closed,73,28.29,11.13,,
pydata_pandas.csv,FALSE,Merged,160,62.02,24.39,,
ros_rosdistro.csv,TRUE,Open,0,NA,0,,
ros_rosdistro.csv,TRUE,Closed,0,NA,0,,
ros_rosdistro.csv,TRUE,Merged,0,NA,0,,
ros_rosdistro.csv,FALSE,Open,5,3.25,3.25,,
ros_rosdistro.csv,FALSE,Closed,12,7.79,7.79,,
ros_rosdistro.csv,FALSE,Merged,137,88.96,88.96,,
saltstack_salt.csv,TRUE,Open,1,0.62,0.16,,
saltstack_salt.csv,TRUE,Closed,13,8.12,2.05,,
saltstack_salt.csv,TRUE,Merged,146,91.25,23.03,,
saltstack_salt.csv,FALSE,Open,11,2.32,1.74,,
saltstack_salt.csv,FALSE,Closed,43,9.07,6.78,,
saltstack_salt.csv,FALSE,Merged,420,88.61,66.25,,
zestedesavoir_zds-site.csv,TRUE,Open,1,16.67,4,,
zestedesavoir_zds-site.csv,TRUE,Closed,2,33.33,8,,
zestedesavoir_zds-site.csv,TRUE,Merged,3,50,12,,
zestedesavoir_zds-site.csv,FALSE,Open,0,0,0,,
zestedesavoir_zds-site.csv,FALSE,Closed,3,15.79,12,,
zestedesavoir_zds-site.csv,FALSE,Merged,16,84.21,64,,
