Repository,Test,Situation,Total,% com/sem,% total,,
andresriancho_w3af.csv,TRUE,Open,2,16.67,11.76,,
andresriancho_w3af.csv,TRUE,Closed,8,66.67,47.06,,
andresriancho_w3af.csv,TRUE,Merged,2,16.67,11.76,,
andresriancho_w3af.csv,FALSE,Open,0,0,0,,
andresriancho_w3af.csv,FALSE,Closed,4,80,23.53,,
andresriancho_w3af.csv,FALSE,Merged,1,20,5.88,,
coala-analyzer_coala.csv,TRUE,Open,3,2.91,2.38,,
coala-analyzer_coala.csv,TRUE,Closed,40,38.83,31.75,,
coala-analyzer_coala.csv,TRUE,Merged,60,58.25,47.62,,
coala-analyzer_coala.csv,FALSE,Open,0,0,0,,
coala-analyzer_coala.csv,FALSE,Closed,11,47.83,8.73,,
coala-analyzer_coala.csv,FALSE,Merged,12,52.17,9.52,,
edx_edx-platform.csv,TRUE,Open,1,0.36,0.35,,
edx_edx-platform.csv,TRUE,Closed,51,18.61,17.96,,
edx_edx-platform.csv,TRUE,Merged,222,81.02,78.17,,
edx_edx-platform.csv,FALSE,Open,0,0,0,,
edx_edx-platform.csv,FALSE,Closed,3,30,1.06,,
edx_edx-platform.csv,FALSE,Merged,7,70,2.46,,
ipython_ipython.csv,TRUE,Open,0,0,0,,
ipython_ipython.csv,TRUE,Closed,8,13.11,10.26,,
ipython_ipython.csv,TRUE,Merged,53,86.89,67.95,,
ipython_ipython.csv,FALSE,Open,0,0,0,,
ipython_ipython.csv,FALSE,Closed,4,23.53,5.13,,
ipython_ipython.csv,FALSE,Merged,13,76.47,16.67,,
learningequality_ka-lite.csv,TRUE,Open,0,0,0,,
learningequality_ka-lite.csv,TRUE,Closed,8,32,28.57,,
learningequality_ka-lite.csv,TRUE,Merged,17,68,60.71,,
learningequality_ka-lite.csv,FALSE,Open,0,0,0,,
learningequality_ka-lite.csv,FALSE,Closed,0,0,0,,
learningequality_ka-lite.csv,FALSE,Merged,3,100,10.71,,
pyca_cryptography.csv,TRUE,Open,0,0,0,,
pyca_cryptography.csv,TRUE,Closed,6,13.95,12.77,,
pyca_cryptography.csv,TRUE,Merged,37,86.05,78.72,,
pyca_cryptography.csv,FALSE,Open,0,0,0,,
pyca_cryptography.csv,FALSE,Closed,0,0,0,,
pyca_cryptography.csv,FALSE,Merged,4,100,8.51,,
pydata_pandas.csv,TRUE,Open,2,0.98,0.95,,
pydata_pandas.csv,TRUE,Closed,62,30.39,29.38,,
pydata_pandas.csv,TRUE,Merged,140,68.63,66.35,,
pydata_pandas.csv,FALSE,Open,0,0,0,,
pydata_pandas.csv,FALSE,Closed,3,42.86,1.42,,
pydata_pandas.csv,FALSE,Merged,4,57.14,1.9,,
ros_rosdistro.csv,TRUE,Open,0,0,0,,
ros_rosdistro.csv,TRUE,Closed,1,10,0.35,,
ros_rosdistro.csv,TRUE,Merged,9,90,3.14,,
ros_rosdistro.csv,FALSE,Open,0,0,0,,
ros_rosdistro.csv,FALSE,Closed,11,3.97,3.83,,
ros_rosdistro.csv,FALSE,Merged,266,96.03,92.68,,
saltstack_salt.csv,TRUE,Open,2,0.77,0.57,,
saltstack_salt.csv,TRUE,Closed,22,8.49,6.27,,
saltstack_salt.csv,TRUE,Merged,235,90.73,66.95,,
saltstack_salt.csv,FALSE,Open,0,0,0,,
saltstack_salt.csv,FALSE,Closed,9,9.78,2.56,,
saltstack_salt.csv,FALSE,Merged,83,90.22,23.65,,
zestedesavoir_zds-site.csv,TRUE,Open,1,3.12,2.56,,
zestedesavoir_zds-site.csv,TRUE,Closed,7,21.88,17.95,,
zestedesavoir_zds-site.csv,TRUE,Merged,24,75,61.54,,
zestedesavoir_zds-site.csv,FALSE,Open,0,0,0,,
zestedesavoir_zds-site.csv,FALSE,Closed,1,14.29,2.56,,
zestedesavoir_zds-site.csv,FALSE,Merged,6,85.71,15.38,,
