Repository,User,Pull number,Test,Situation,,
andresriancho_w3af.csv,13rac1,4165,TRUE,Closed,NA,NA
andresriancho_w3af.csv,andersonDadario,13574,TRUE,Open,NA,NA
andresriancho_w3af.csv,bheesham,13647,TRUE,Closed,NA,NA
andresriancho_w3af.csv,CustomBread,17363,TRUE,Open,NA,NA
andresriancho_w3af.csv,nikaiw,2672,TRUE,Closed,NA,NA
andresriancho_w3af.csv,pkhadka56,10857,TRUE,Merged,NA,NA
andresriancho_w3af.csv,radhakrishnak,5375,TRUE,Merged,NA,NA
andresriancho_w3af.csv,ST2Labs,5763,TRUE,Closed,NA,NA
andresriancho_w3af.csv,vectorsigma,5294,TRUE,Closed,NA,NA
andresriancho_w3af.csv,vinnytroia,2580,TRUE,Closed,NA,NA
coala-analyzer_coala.csv,aaqaishtyaq,5723,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,AditiKatiyar,5865,TRUE,Open,NA,NA
coala-analyzer_coala.csv,alisianoi,3992,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,Ananthavijay,5141,TRUE,Closed,NA,NA
coala-analyzer_coala.csv,AprajitaSingh,5867,TRUE,Open,NA,NA
coala-analyzer_coala.csv,Arunraj07,4808,TRUE,Closed,NA,NA
coala-analyzer_coala.csv,ayush9398,5153,TRUE,Open,NA,NA
coala-analyzer_coala.csv,Balaji2198,4225,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,bkhanale,5833,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,blindacai,5699,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,burrowdown,4256,TRUE,Closed,NA,NA
coala-analyzer_coala.csv,Crphang,5261,TRUE,Open,NA,NA
coala-analyzer_coala.csv,danlls,4171,TRUE,Closed,NA,NA
coala-analyzer_coala.csv,darthgera123,5023,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,Dhiraj240,5821,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,djokester,3853,TRUE,Closed,NA,NA
coala-analyzer_coala.csv,dob9601,4935,TRUE,Closed,NA,NA
coala-analyzer_coala.csv,Dumidu921,4650,TRUE,Closed,NA,NA
coala-analyzer_coala.csv,flowkraD,5803,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,fragm3,3991,TRUE,Open,NA,NA
