Repository,User,Frequency,,
andresriancho_w3af.csv,alener,3,NA,NA
andresriancho_w3af.csv,artem-smotrakov,12,NA,NA
andresriancho_w3af.csv,codychamberlain,4,NA,NA
andresriancho_w3af.csv,evantei,3,NA,NA
andresriancho_w3af.csv,ghost,3,NA,NA
andresriancho_w3af.csv,Gxsghsn,4,NA,NA
andresriancho_w3af.csv,ilyaglow,3,NA,NA
andresriancho_w3af.csv,inkz,3,NA,NA
andresriancho_w3af.csv,lekster,6,NA,NA
andresriancho_w3af.csv,maniqui,3,NA,NA
andresriancho_w3af.csv,nixwizard,7,NA,NA
andresriancho_w3af.csv,NULL,3,NA,NA
andresriancho_w3af.csv,OwenTuz,5,NA,NA
andresriancho_w3af.csv,paralax,5,NA,NA
andresriancho_w3af.csv,pvdl,13,NA,NA
andresriancho_w3af.csv,qnrq,10,NA,NA
andresriancho_w3af.csv,TomStageDK,3,NA,NA
coala-analyzer_coala.csv,aashraybhandar1,3,NA,NA
coala-analyzer_coala.csv,AbdealiJK,3,NA,NA
coala-analyzer_coala.csv,acashmkj,4,NA,NA
coala-analyzer_coala.csv,adhikasp,21,NA,NA
coala-analyzer_coala.csv,adtac,11,NA,NA
coala-analyzer_coala.csv,affanv14,4,NA,NA
coala-analyzer_coala.csv,agrawalarpit14,3,NA,NA
coala-analyzer_coala.csv,AlexandruGhimisi,3,NA,NA
coala-analyzer_coala.csv,alphadose,10,NA,NA
coala-analyzer_coala.csv,amalrajan,3,NA,NA
coala-analyzer_coala.csv,ameyanator,3,NA,NA
coala-analyzer_coala.csv,amritpals,3,NA,NA
coala-analyzer_coala.csv,ananyaarun,4,NA,NA
coala-analyzer_coala.csv,anctartica,8,NA,NA
coala-analyzer_coala.csv,ankit01ojha,3,NA,NA
coala-analyzer_coala.csv,aptrishu,13,NA,NA
coala-analyzer_coala.csv,arpit7714,5,NA,NA
coala-analyzer_coala.csv,aryanshar,3,NA,NA
coala-analyzer_coala.csv,Asalle,5,NA,NA
coala-analyzer_coala.csv,AsnelChristian,6,NA,NA
coala-analyzer_coala.csv,atultherajput,3,NA,NA
coala-analyzer_coala.csv,ayush1999,7,NA,NA
coala-analyzer_coala.csv,bekicot,3,NA,NA
coala-analyzer_coala.csv,bharg,5,NA,NA
coala-analyzer_coala.csv,cherry-pick-bot,3,NA,NA
coala-analyzer_coala.csv,corona10,9,NA,NA
coala-analyzer_coala.csv,CosminIcatoiu,6,NA,NA
coala-analyzer_coala.csv,damngamerz,13,NA,NA
coala-analyzer_coala.csv,dpylypen,3,NA,NA
coala-analyzer_coala.csv,EverWinter23,3,NA,NA
coala-analyzer_coala.csv,firedranzer,3,NA,NA
coala-analyzer_coala.csv,fneu,29,NA,NA
coala-analyzer_coala.csv,frunkad,3,NA,NA
coala-analyzer_coala.csv,ghost,14,NA,NA
coala-analyzer_coala.csv,gureks,3,NA,NA
coala-analyzer_coala.csv,harshhx17,4,NA,NA
coala-analyzer_coala.csv,Harshish,8,NA,NA
coala-analyzer_coala.csv,harshit890,6,NA,NA
coala-analyzer_coala.csv,HyeockJinKim,3,NA,NA
coala-analyzer_coala.csv,HyungKun,4,NA,NA
coala-analyzer_coala.csv,IamRaviTejaG,9,NA,NA
coala-analyzer_coala.csv,igniteeng000,3,NA,NA
coala-analyzer_coala.csv,imnotkk,8,NA,NA
coala-analyzer_coala.csv,incorrectusername,3,NA,NA
coala-analyzer_coala.csv,ishanSrt,12,NA,NA
coala-analyzer_coala.csv,jackthepirate6,6,NA,NA
coala-analyzer_coala.csv,JameerBabu,5,NA,NA
coala-analyzer_coala.csv,jayvdb,106,NA,NA
coala-analyzer_coala.csv,jgarciabu,4,NA,NA
coala-analyzer_coala.csv,JoeSiew,3,NA,NA
coala-analyzer_coala.csv,JohnMoutafis,3,NA,NA
coala-analyzer_coala.csv,kartikeys98,3,NA,NA
coala-analyzer_coala.csv,khanchi97,4,NA,NA
coala-analyzer_coala.csv,kriti21,4,NA,NA
coala-analyzer_coala.csv,ksdme,3,NA,NA
coala-analyzer_coala.csv,kwsohn,3,NA,NA
coala-analyzer_coala.csv,lalitmee,3,NA,NA
coala-analyzer_coala.csv,li-boxuan,8,NA,NA
coala-analyzer_coala.csv,lohani2280,3,NA,NA
coala-analyzer_coala.csv,madhukar01,6,NA,NA
coala-analyzer_coala.csv,Makman2,58,NA,NA
coala-analyzer_coala.csv,margobra8,4,NA,NA
coala-analyzer_coala.csv,mariaandreicosmin,3,NA,NA
coala-analyzer_coala.csv,MariosPanag,4,NA,NA
coala-analyzer_coala.csv,Mixih,11,NA,NA
coala-analyzer_coala.csv,mkfeuhrer,5,NA,NA
coala-analyzer_coala.csv,mohit2872,4,NA,NA
coala-analyzer_coala.csv,monsij,4,NA,NA
coala-analyzer_coala.csv,mrsaicharan1,3,NA,NA
coala-analyzer_coala.csv,mrtes,5,NA,NA
coala-analyzer_coala.csv,mubaris,4,NA,NA
coala-analyzer_coala.csv,Naman-Garg-06,3,NA,NA
coala-analyzer_coala.csv,Naveenaidu,7,NA,NA
coala-analyzer_coala.csv,nemaniarjun,5,NA,NA
coala-analyzer_coala.csv,newbazz,12,NA,NA
coala-analyzer_coala.csv,nikitavbv,3,NA,NA
coala-analyzer_coala.csv,NiklasMM,4,NA,NA
coala-analyzer_coala.csv,nityeshaga,8,NA,NA
coala-analyzer_coala.csv,Nosferatul,23,NA,NA
coala-analyzer_coala.csv,NULL,17,NA,NA
coala-analyzer_coala.csv,nvzard,8,NA,NA
coala-analyzer_coala.csv,palash25,14,NA,NA
coala-analyzer_coala.csv,pareksha,17,NA,NA
coala-analyzer_coala.csv,parthboricha,5,NA,NA
coala-analyzer_coala.csv,pradeepgangwar,3,NA,NA
coala-analyzer_coala.csv,Pradhvan,3,NA,NA
coala-analyzer_coala.csv,pratyushprakash,5,NA,NA
coala-analyzer_coala.csv,pushkalkatara,3,NA,NA
coala-analyzer_coala.csv,raduklb,4,NA,NA
