Repository,User,Pull number,Test,Situation,,
andresriancho_w3af.csv,attwad,1817,TRUE,Merged,NA,NA
andresriancho_w3af.csv,yvonneKim,17337,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,aashutoshrathi,4057,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,akshatkarani,5809,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,arush0311,3594,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,arvind-iyer,3698,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,blossom2017,4481,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,CCInCharge,4738,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,clarammdantas,5081,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,d3db0t,3886,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,dristibutola,3789,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,Flap-Py,3990,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,hemangsk,3923,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,HizkiFW,5324,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,impmihai,3719,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,jack17529,3949,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,Jassu225,4907,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,justuswilhelm,3675,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,karansingh1559,4036,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,luqmanulkhair,5253,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,MacBox7,5660,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,Mariatta,4960,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,meetmangukiya,4693,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,nealkarpe,4746,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,netman92,4266,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,pandyamarut,5793,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,PierceAndy,3953,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,Polcat000,5347,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,ppatel221,5031,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,PrajwalM2212,5435,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,prateeksingh0001,3742,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,prnvdixit,4737,TRUE,Merged,NA,NA
coala-analyzer_coala.csv,rishabh-bansal,4832,TRUE,Merged,NA,NA
