Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
learningequality/ka-lite,open,5586,515de778ca756e181cc56c23b0c2841ef4eda8fa,kalite/distributed/static/js/distributed/perseus/ke/test/qunit,removed,0,1,maiki,2018-07-21 17:09:01,2018-07-21 17:09:01,0,0
learningequality/ka-lite,open,5537,dd7c2905efc8ecf8dd5543d14fcb13cf61e850f7,kalite/i18n/tests/makemessages_tests.py,modified,2,2,mrpau-eugene,2017-11-13 15:45:54,2017-11-13 15:45:54,0,0
learningequality/ka-lite,open,5094,d585c06c231a227459dcbf19c943c931531ad94d,kalite/main/tests/__init__.py,modified,1,0,benjaoming,2016-04-18 15:20:38,2016-04-18 15:20:38,0,0
learningequality/ka-lite,open,5094,236163920d44363af6d5863d55b02a244a9bbe9a,kalite/main/tests/scheduler_tests.py,added,62,0,benjaoming,2016-04-18 15:20:38,2016-04-18 15:20:38,0,0
learningequality/ka-lite,closed,5585,ba5997e5d0a61ff5dbc26e6f1a7ef13a5066f31e,kalite/updates/tests/download_tests.py,modified,2,2,NULL,2018-07-12 13:07:46,2018-07-12 13:07:46,2018-07-12 16:35:11,2018-07-12 16:35:11
learningequality/ka-lite,closed,5584,e44e73c7d87be318a1d12270db5648fb86d55aa9,kalite/testing/testrunner.py,modified,1,1,benjaoming,2018-07-12 12:22:50,2018-07-12 12:22:50,2018-07-12 12:23:05,2018-07-12 12:23:05
learningequality/ka-lite,closed,5583,ba5997e5d0a61ff5dbc26e6f1a7ef13a5066f31e,kalite/updates/tests/download_tests.py,modified,2,2,benjaoming,2018-07-12 10:27:08,2018-07-12 10:27:08,2018-07-12 13:07:11,2018-07-12 13:07:11
learningequality/ka-lite,closed,5582,e44e73c7d87be318a1d12270db5648fb86d55aa9,kalite/testing/testrunner.py,modified,1,1,benjaoming,2018-07-09 14:08:22,2018-07-09 14:08:22,2018-07-11 21:53:38,NA
learningequality/ka-lite,closed,5581,e44e73c7d87be318a1d12270db5648fb86d55aa9,kalite/testing/testrunner.py,modified,1,1,benjaoming,2018-07-09 09:52:41,2018-07-09 09:52:41,2018-07-09 11:12:21,2018-07-09 11:12:21
learningequality/ka-lite,closed,5579,e44e73c7d87be318a1d12270db5648fb86d55aa9,kalite/testing/testrunner.py,modified,1,1,benjaoming,2018-07-08 17:59:13,2018-07-08 17:59:13,2018-07-08 23:34:21,2018-07-08 23:34:21
learningequality/ka-lite,closed,5549,143297cb8e1ad6fb5befe1cec042731f0c58b041,kalite/testing/base.py,modified,2,2,benjaoming,2017-11-27 16:56:30,2017-11-27 16:56:30,2017-11-27 17:08:33,2017-11-27 17:08:33
learningequality/ka-lite,closed,5549,f9a387c0a30c11f7f89918657c6e7a46c1441b67,kalite/updates/tests/__init__.py,modified,1,0,benjaoming,2017-11-27 16:56:30,2017-11-27 16:56:30,2017-11-27 17:08:33,2017-11-27 17:08:33
learningequality/ka-lite,closed,5549,7e5a741a46e4fd0f28a3327ec7ce2afa309f1965,kalite/updates/tests/base.py,modified,2,2,benjaoming,2017-11-27 16:56:30,2017-11-27 16:56:30,2017-11-27 17:08:33,2017-11-27 17:08:33
learningequality/ka-lite,closed,5549,0d5fea2dab2e018419294fb319b13cd0a976246d,kalite/updates/tests/contentpack_tests.py,added,52,0,benjaoming,2017-11-27 16:56:30,2017-11-27 16:56:30,2017-11-27 17:08:33,2017-11-27 17:08:33
