Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
coala-analyzer/coala,open,5876,a36648eaee777bbb2d9677eb17c051e4e2080417,tests/io/FileTest.py,modified,5,5,NULL,2018-11-04 09:24:10,2018-11-04 09:24:10,0,0,,
coala-analyzer/coala,open,5867,d01a98280492ae227fe0b16512650c35d8b1ee27,tests/coalaTest.py,modified,32,0,AprajitaSingh,2018-11-01 07:48:22,2018-11-01 07:48:22,0,0,,
coala-analyzer/coala,open,5865,d848998d1e6e7eb0f6718ed813ccd24c1472a8e2,tests/bearlib/abstractions/LinterTest.py,modified,120,3,AditiKatiyar,2018-10-30 15:32:41,2018-10-30 15:32:41,0,0,,
coala-analyzer/coala,open,5815,f15b8f51b721ce148a64ebd5121fe4ea0f7d37e3,tests/parsing/ConfParserTest.py,modified,126,0,ryand91,2018-10-14 08:01:29,2018-10-14 08:01:29,0,0,,
coala-analyzer/coala,open,5813,b24078571c023b6701aa271d7b55911254d4daa0,tests/TestUtilities.py,modified,1,0,agrawalarpit14,2018-10-14 06:59:32,2018-10-14 06:59:32,0,0,,
coala-analyzer/coala,open,5786,d2867dda8a78802455553cd43af3bd91378cb80e,tests/bearlib/languages/LanguageTest.py,modified,48,0,rahulkumaran,2018-10-04 12:59:57,2018-10-04 12:59:57,0,0,,
coala-analyzer/coala,open,5776,de08db727ae36b1d8437e4fdde4f1e67cf330f24,tests/bearlib/languages/LanguageTest.py,modified,62,1,Kartik212112,2018-10-02 09:41:16,2018-10-02 09:41:16,0,0,,
coala-analyzer/coala,open,5776,1462c7bc99758130cf98c40a0280bcdb8520c535,tests/collecting/CollectorsTest.py,modified,3,2,Kartik212112,2018-10-02 09:41:16,2018-10-02 09:41:16,0,0,,
coala-analyzer/coala,open,5568,259475324c4026d35648c7170e19aefaa3c29995,tests/misc/ShellTest.py,modified,11,0,bekicot,2018-06-26 07:02:04,2018-06-26 07:02:04,0,0,,
coala-analyzer/coala,open,5564,5a03d185abc48662b27924ef9f7f18063173e047,coalib/testing/BaseTestHelper.py,modified,34,36,0110G,2018-06-24 13:21:17,2018-06-24 13:21:17,0,0,,
coala-analyzer/coala,open,5564,26d3725a9803749c6ad4ee9ee3d47ee6c4de96ab,tests/testing/BaseTestHelperTest.py,modified,26,10,0110G,2018-06-24 13:21:17,2018-06-24 13:21:17,0,0,,
coala-analyzer/coala,open,5505,8923558ded5e0a82c7b241b8ff4941757f28f885,coalib/testing/LocalBearTestHelper.py,modified,6,26,hemanthsavasere,2018-06-08 18:31:22,2018-06-08 18:31:22,0,0,,
coala-analyzer/coala,open,5505,97e6971c1cd48cd47e6e47ebcc1f54498b110f9b,tests/testing/LocalBearTestHelperTest.py,modified,8,15,hemanthsavasere,2018-06-08 18:31:22,2018-06-08 18:31:22,0,0,,
coala-analyzer/coala,open,5401,d73fda6cda3cb9ef73eef15dbfd41a0416185fd8,tests/results/ResultTest.py,modified,25,0,abaganwalydia,2018-04-17 14:42:33,2018-04-17 14:42:33,0,0,,
coala-analyzer/coala,open,5311,3dfa28b6cc72538cef58584bfa1ba45e5f406862,tests/output/ConfWriterTest.py,modified,9,9,himanshuc3,2018-04-04 09:58:09,2018-04-04 09:58:09,0,0,,
coala-analyzer/coala,open,5311,4e30031e3dd7748236e9b05ae0d2aaa059099bed,tests/parsing/ConfParserTest.py,modified,5,1,himanshuc3,2018-04-04 09:58:09,2018-04-04 09:58:09,0,0,,
coala-analyzer/coala,open,5311,3e4b2e9ba36ecbc42338f3f230004f90bb38809b,tests/settings/ConfigurationGatheringTest.py,modified,3,3,himanshuc3,2018-04-04 09:58:09,2018-04-04 09:58:09,0,0,,
coala-analyzer/coala,open,5299,5a125452c9aae5f9936b1aa5f940fb405aa29313,tests/output/ConsoleInteractionTest.py,modified,9,2,ishanSrt,2018-03-31 10:48:40,2018-03-31 10:48:40,0,0,,
coala-analyzer/coala,open,5261,9873962161c376484c7208e71115432dd14d453a,tests/bearlib/abstractions/LinterTest.py,modified,1,1,Crphang,2018-03-15 17:02:45,2018-03-15 17:02:45,0,0,,
