Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
ipython/ipython,open,11476,695661d176b288d84d30560059baa0c8e0ddd59f,IPython/terminal/interactiveshell.py,modified,1,0,NULL,2018-11-02 07:44:23,2018-11-02 07:44:23,0,0,,
ipython/ipython,open,11474,d8a23655715df6d7120f5a1d945a17a0e5c92602,IPython/terminal/ptutils.py,modified,12,5,liushapku,2018-11-01 01:24:50,2018-11-01 01:24:50,0,0,,
ipython/ipython,open,11392,158a93c82d56d9a3e4d3237ad8287f5f357f898f,IPython/terminal/interactiveshell.py,modified,34,32,emjobson,2018-10-13 06:00:20,2018-10-13 06:00:20,0,0,,
ipython/ipython,open,11389,4db1ab4577e4204869dfcb08c65feccfd8b56ab5,IPython/terminal/interactiveshell.py,modified,7,2,2DSharp,2018-10-12 19:11:00,2018-10-12 19:11:00,0,0,,
ipython/ipython,open,11360,0c023fed157817b5980389d00c38b64f4e9a595a,IPython/core/magics/osm.py,modified,5,2,jonathanslenders,2018-10-04 13:06:03,2018-10-04 13:06:03,0,0,,
ipython/ipython,open,11347,7bffba8b4ef9ac2c22e4a8b6659c0ee7517b6bbb,IPython/core/interactiveshell.py,modified,8,8,uderani,2018-09-30 23:32:56,2018-09-30 23:32:56,0,0,,
ipython/ipython,open,11347,12e1462c5adae07218cdd12c5d9bafd1bd4f821c,IPython/terminal/interactiveshell.py,modified,38,5,uderani,2018-09-30 23:32:56,2018-09-30 23:32:56,0,0,,
ipython/ipython,open,11161,a45e7a2206a0d56896b07dd2b7ac06b27b4877cd,IPython/lib/display.py,modified,27,7,Carreau,2018-05-25 22:45:24,2018-05-25 22:45:24,0,0,,
ipython/ipython,open,11161,32f2e22bb82a113c9da1f15d1980a5214fc9ca0f,docs/source/whatsnew/pr/norm-audio-option.rst,added,8,0,Carreau,2018-05-25 22:45:24,2018-05-25 22:45:24,0,0,,
ipython/ipython,open,10914,3507b50f00f682267f691cbb382d833932807ffb,IPython/core/completer.py,modified,1,4,drscotthawley,2017-11-21 10:34:35,2017-11-21 10:34:35,0,0,,
