Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
ipython/ipython,open,10610,d8e1c038bc6000f3d5f2b184a317f3b835098e41,IPython/terminal/tests/test_interactivshell.py,modified,1,1,JeremySikes73,2017-05-28 19:36:16,2017-05-28 19:36:16,0,0,,
ipython/ipython,open,10490,01501f6464033e9998ef3c0e1623a2a9f38f8d76,IPython/core/tests/test_completer.py,modified,4,2,stephanh42,2017-04-26 13:17:02,2017-04-26 13:17:02,0,0,,
ipython/ipython,closed,11470,2b8aecda35b83c396fbc336baf2c271006953735,IPython/core/tests/test_history.py,modified,6,2,bollwyvl,2018-10-30 22:17:34,2018-10-30 22:17:34,2018-11-03 21:39:31,2018-11-03 21:39:31,,
ipython/ipython,closed,11463,115b75b6c0d429b0a90e8ecb2131fa685eb2ea8a,IPython/core/tests/test_debugger.py,modified,107,0,bergtholdt,2018-10-29 14:47:24,2018-10-29 14:47:24,2018-10-30 15:22:44,NA,,
ipython/ipython,closed,11463,a595429f4d96a3280bdab9940f0df316ced6fc49,IPython/core/tests/test_interactiveshell.py,modified,18,0,bergtholdt,2018-10-29 14:47:24,2018-10-29 14:47:24,2018-10-30 15:22:44,NA,,
ipython/ipython,closed,11463,f393faaaf1e2b083cb898d28c07c7c2eeb364e50,IPython/core/tests/test_magic.py,modified,19,0,bergtholdt,2018-10-29 14:47:24,2018-10-29 14:47:24,2018-10-30 15:22:44,NA,,
ipython/ipython,closed,11463,50f6f233e2db303c926b9abe2772b59748d7e6e1,IPython/core/tests/test_run.py,modified,7,0,bergtholdt,2018-10-29 14:47:24,2018-10-29 14:47:24,2018-10-30 15:22:44,NA,,
ipython/ipython,closed,11456,0a5447d8af7373a04c954b9175e9fad0d82abc71,IPython/core/tests/test_completer.py,modified,1,1,Carreau,2018-10-27 19:41:26,2018-10-27 19:41:26,2018-10-27 20:16:27,2018-10-27 20:16:27,,
ipython/ipython,closed,11456,139c30522113925c767372c98dbd959e33230de7,IPython/testing/ipunittest.py,modified,2,2,Carreau,2018-10-27 19:41:26,2018-10-27 19:41:26,2018-10-27 20:16:27,2018-10-27 20:16:27,,
ipython/ipython,closed,11435,da388abbab5c854e2953b4194ed92e5e5003a807,IPython/core/tests/test_inputtransformer2.py,modified,1,1,ChrisBarker-NOAA,2018-10-23 13:06:54,2018-10-23 13:06:54,2018-10-24 23:29:21,2018-10-24 23:29:21,,
ipython/ipython,closed,11425,ea0645238ef9ea073b2a2fa6a3088c76d8085d48,IPython/core/tests/test_inputtransformer2.py,modified,1,0,Carreau,2018-10-20 20:56:50,2018-10-20 20:56:50,2018-10-24 23:30:21,2018-10-24 23:30:21,,
ipython/ipython,closed,11419,504ee3e40202183de48f3bf773f7fa4c859f2592,IPython/core/tests/test_completer.py,modified,20,0,Carreau,2018-10-20 18:51:34,2018-10-20 18:51:34,2018-10-25 15:51:49,2018-10-25 15:51:49,,
ipython/ipython,closed,11418,9c92c394e50e745fd4749f400183384871c565fd,IPython/core/tests/test_inputtransformer2.py,modified,32,1,elyashiv,2018-10-20 17:52:39,2018-10-20 17:52:39,2018-10-21 15:39:48,2018-10-21 15:39:48,,
ipython/ipython,closed,11412,f1e3ffe76a50e30e178fb75fa5351c69d9c1656e,IPython/core/tests/test_completer.py,modified,7,0,jnikita356,2018-10-18 20:29:47,2018-10-18 20:29:47,2018-10-19 07:49:12,NA,,
