Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
ros/rosdistro,closed,18378,6a832eb9d6973d5b6792942d847d4a20c7d27ac6,test/test_url_validity.py,modified,2,2,mikaelarguedas,2018-07-06 05:56:25,2018-07-06 05:56:25,2018-07-06 06:03:45,2018-07-06 06:03:45,,
ros/rosdistro,closed,18374,1b65f28e5740e3e09403e006422ce092f6d798fa,test/test_url_validity.py,modified,7,6,thomas-bamford,2018-07-05 23:04:56,2018-07-05 23:04:56,2018-07-06 00:21:00,2018-07-06 00:21:00,,
ros/rosdistro,closed,18290,4bb15f5f0bd47fa0cc135405d102a43b092b5db4,test/test_url_validity.py,modified,5,3,ejalaa12,2018-06-27 16:48:11,2018-06-27 16:48:11,2018-06-27 18:58:31,2018-06-27 18:58:30,,
ros/rosdistro,closed,17666,7cd0abd7e93ad9c2887963da87d8d7eb96156004,test/fold_block.py,modified,1,1,7675t,2018-04-28 00:16:30,2018-04-28 00:16:30,2018-04-28 14:32:28,2018-04-28 14:32:28,,
ros/rosdistro,closed,17666,73fdb97083b3d299ed6ccdaafccf6d0bf1eeab99,test/rosdistro_check_urls_test.py,modified,1,1,7675t,2018-04-28 00:16:30,2018-04-28 00:16:30,2018-04-28 14:32:28,2018-04-28 14:32:28,,
ros/rosdistro,closed,17317,cd7b539621cbb3aa56b32b2ed84c457ddb4377ed,test/test_build_caches.py,modified,1,0,evenator,2018-03-31 20:39:47,2018-03-31 20:39:47,2018-03-31 21:49:37,NA,,
ros/rosdistro,closed,17110,291c98dd664708326aaad9a97b35f15eba8bb824,test/fold_block.py,modified,1,0,takiaine,2018-03-12 11:07:44,2018-03-12 11:07:44,2018-06-06 18:56:22,NA,,
ros/rosdistro,closed,17110,221ef5ff42d3542020275da25993afaaa9b77f71,test/rosdep_duplicates_test.py,modified,1,0,takiaine,2018-03-12 11:07:44,2018-03-12 11:07:44,2018-06-06 18:56:22,NA,,
ros/rosdistro,closed,17110,2ce7717e0b00a74ad1fc7ef1aa18dad57929aa8b,test/rosdep_formatting_test.py,modified,1,0,takiaine,2018-03-12 11:07:44,2018-03-12 11:07:44,2018-06-06 18:56:22,NA,,
ros/rosdistro,closed,17110,8ed1148d7df40ae50e68f03c64777f9e037b0373,test/rosdistro_check_urls_test.py,modified,1,0,takiaine,2018-03-12 11:07:44,2018-03-12 11:07:44,2018-06-06 18:56:22,NA,,
ros/rosdistro,closed,17110,9be0b565c83e169fcf2edfcac70a39c8e4c4b631,test/rosdistro_verify_test.py,modified,1,0,takiaine,2018-03-12 11:07:44,2018-03-12 11:07:44,2018-06-06 18:56:22,NA,,
ros/rosdistro,closed,17110,e42fdbab368f8e200f4eac151e99a7000df13eae,test/test_build_caches.py,modified,1,0,takiaine,2018-03-12 11:07:44,2018-03-12 11:07:44,2018-06-06 18:56:22,NA,,
ros/rosdistro,closed,17110,b57b3b1b1a500f20f1355a81a285db70df048e34,test/test_url_validity.py,modified,4,1,takiaine,2018-03-12 11:07:44,2018-03-12 11:07:44,2018-06-06 18:56:22,NA,,
ros/rosdistro,closed,12537,c5d9048fcdb7995a7407ebed78ab9337f60217c7,test/rosdep_formatting_test.py,modified,3,3,robotpilot,2016-08-30 21:58:24,2016-08-30 21:58:24,2016-08-30 22:22:13,2016-08-30 22:22:13,,
ros/rosdistro,closed,12537,ac14d515dd48a67f88e405070b479d1c2433e11e,test/rosdistro_check_urls_test.py,modified,7,4,robotpilot,2016-08-30 21:58:24,2016-08-30 21:58:24,2016-08-30 22:22:13,2016-08-30 22:22:13,,
ros/rosdistro,closed,12537,8672832e57f4177420b66662ff14b259b1afc4ec,test/rosdistro_formatting_test.py,removed,0,22,robotpilot,2016-08-30 21:58:24,2016-08-30 21:58:24,2016-08-30 22:22:13,2016-08-30 22:22:13,,
ros/rosdistro,closed,12537,0402f6bdeb64f4c539fbea78ae8d786225d4f121,test/test_build_caches.py,modified,9,3,robotpilot,2016-08-30 21:58:24,2016-08-30 21:58:24,2016-08-30 22:22:13,2016-08-30 22:22:13,,
ros/rosdistro,closed,6989,a520eb971c5f8aa99d4917f90eb6940a68ecfa36,test/test_url_validity.py,modified,3,2,wjwwood,2015-01-26 19:49:19,2015-01-26 19:49:19,2015-01-26 20:11:29,2015-01-26 20:11:29,,
ros/rosdistro,closed,6741,5fc67cc00ed429d907359480f0188303dd6b272d,test/test_url_validity.py,modified,7,2,cottsay,2015-01-04 00:00:01,2015-01-04 00:00:01,2015-01-05 07:29:21,2015-01-05 07:29:21,,
ros/rosdistro,closed,6739,078908dcfb7479e18c3ac5aa4a05950e7484364a,test/test_url_validity.py,modified,4,2,vrabaud,2015-01-03 10:03:38,2015-01-03 10:03:38,2015-01-03 10:07:31,2015-01-03 10:07:31,,
ros/rosdistro,closed,6526,73edb2cbc167810eeed5d056ff72ea6b406f992c,test/test_url_validity.py,modified,1,1,rctoris,2014-12-15 04:54:38,2014-12-15 04:54:38,2014-12-15 04:57:00,2014-12-15 04:57:00,,
ros/rosdistro,closed,5501,f661116abe3e27caac0484c66fd599893aa0d325,test/test_url_validity.py,added,187,0,tfoote,2014-09-03 22:37:50,2014-09-03 22:37:50,2014-09-17 22:30:00,2014-09-17 22:30:00,,
