Repository,Estado,Page,Total pulls,Pulls wiht tests,pulls without testes,,,
saltstack_salt,open,1,80,35,45,,1,saltstack_salt
andresriancho_w3af,open,1,28,7,21,,2,andresriancho_w3af
boxeehacks_boxeehack,open,1,4,0,4,,3,ros_rosdistro
ros_rosdistro,open,1,21,0,21,,4,edx_edx-platform
edx_edx-platform,open,1,100,47,53,,5,coala-analyzer_coala
edx_edx-platform,open,2,200,75,125,,6,pydata_pandas
edx_edx-platform,open,3,223,78,145,,7,zestedesavoir_zds-site
coala-analyzer_coala,open,1,100,41,59,,8,learningequality_ka-lite
coala-analyzer_coala,open,2,138,60,78,,9,ipython_ipython
pydata_pandas,open,1,100,57,43,,10,pyca_cryptography
pydata_pandas,open,2,200,127,73,,,
pydata_pandas,open,3,206,131,75,,,
zestedesavoir_zds-site,open,1,24,4,20,,,
OCHA-DAP_hdx-ckan,open,1,1,0,1,,,
learningequality_ka-lite,open,1,6,1,5,,,
RuudBurger_CouchPotatoServer,open,1,45,0,45,,,
CodeCatz_TrackCat,open,1,2,0,2,,,
ipython_ipython,open,1,12,2,10,,,
candela-it_hirc,open,1,2,0,2,,,
pyca_cryptography,open,1,14,10,4,,,
Evennia_evennia,open,1,6,3,3,,,
saltstack_salt,closed,1,100,45,55,,,
saltstack_salt,closed,2,200,84,116,,,
saltstack_salt,closed,3,300,124,176,,,
saltstack_salt,closed,4,400,161,239,,,
saltstack_salt,closed,5,500,205,295,,,
saltstack_salt,closed,6,600,263,337,,,
saltstack_salt,closed,7,700,318,382,,,
saltstack_salt,closed,8,800,367,433,,,
saltstack_salt,closed,9,900,420,480,,,
saltstack_salt,closed,10,100,39,61,,,
saltstack_salt,closed,11,200,78,122,,,
saltstack_salt,closed,12,300,112,188,,,
saltstack_salt,closed,13,400,145,255,,,
saltstack_salt,closed,14,500,185,315,,,
saltstack_salt,closed,15,600,211,389,,,
saltstack_salt,closed,16,700,243,457,,,
saltstack_salt,closed,17,800,295,505,,,
saltstack_salt,closed,18,900,332,568,,,
saltstack_salt,closed,19,1000,368,632,,,
saltstack_salt,closed,20,1100,405,695,,,
saltstack_salt,closed,21,1200,448,752,,,
saltstack_salt,closed,22,1300,479,821,,,
saltstack_salt,closed,23,1400,514,886,,,
saltstack_salt,closed,24,1500,544,956,,,
saltstack_salt,closed,25,1600,574,1026,,,
saltstack_salt,closed,26,1700,610,1090,,,
saltstack_salt,closed,27,1800,634,1166,,,
saltstack_salt,closed,28,1900,664,1236,,,
saltstack_salt,closed,29,2000,698,1302,,,
saltstack_salt,closed,30,2100,746,1354,,,
saltstack_salt,closed,31,2200,786,1414,,,
saltstack_salt,closed,32,2300,833,1467,,,
saltstack_salt,closed,33,2400,863,1537,,,
saltstack_salt,closed,34,2500,900,1600,,,
saltstack_salt,closed,35,2600,1000,1600,,,
saltstack_salt,closed,36,2700,1100,1600,,,
saltstack_salt,closed,37,2800,1200,1600,,,
saltstack_salt,closed,38,2900,1300,1600,,,
saltstack_salt,closed,39,3000,1400,1600,,,
saltstack_salt,closed,40,3100,1500,1600,,,
saltstack_salt,closed,41,3200,1600,1600,,,
saltstack_salt,closed,42,3300,1700,1600,,,
saltstack_salt,closed,43,3400,1800,1600,,,
saltstack_salt,closed,44,3500,1900,1600,,,
saltstack_salt,closed,45,3600,2000,1600,,,
saltstack_salt,closed,46,3700,2100,1600,,,
saltstack_salt,closed,47,3800,2200,1600,,,
saltstack_salt,closed,48,3900,2300,1600,,,
saltstack_salt,closed,49,4000,2400,1600,,,
saltstack_salt,closed,50,4100,2500,1600,,,
saltstack_salt,closed,51,4200,2600,1600,,,
saltstack_salt,closed,52,4300,2700,1600,,,
saltstack_salt,closed,53,4400,2800,1600,,,
saltstack_salt,closed,54,4500,2900,1600,,,
saltstack_salt,closed,55,4600,3000,1600,,,
saltstack_salt,closed,56,4700,3100,1600,,,
saltstack_salt,closed,57,4800,3200,1600,,,
saltstack_salt,closed,58,4900,3300,1600,,,
saltstack_salt,closed,59,5000,3400,1600,,,
saltstack_salt,closed,60,5100,3500,1600,,,
saltstack_salt,closed,61,5200,3600,1600,,,
saltstack_salt,closed,62,5300,3700,1600,,,
saltstack_salt,closed,63,5400,3800,1600,,,
saltstack_salt,closed,64,5500,3900,1600,,,
saltstack_salt,closed,65,5600,4000,1600,,,
saltstack_salt,closed,66,5700,4023,1677,,,
saltstack_salt,closed,67,5800,4053,1747,,,
saltstack_salt,closed,68,5900,4074,1826,,,
saltstack_salt,closed,69,6000,4094,1906,,,
saltstack_salt,closed,70,6100,4126,1974,,,
saltstack_salt,closed,71,6200,4145,2055,,,
saltstack_salt,closed,72,6300,4159,2141,,,
saltstack_salt,closed,73,6400,4184,2216,,,
saltstack_salt,closed,74,6500,4209,2291,,,
saltstack_salt,closed,75,6600,4225,2375,,,
saltstack_salt,closed,76,6700,4251,2449,,,
saltstack_salt,closed,77,6800,4269,2531,,,
saltstack_salt,closed,78,6900,4297,2603,,,
saltstack_salt,closed,79,7000,4331,2669,,,
saltstack_salt,closed,80,7100,4359,2741,,,
saltstack_salt,closed,81,7200,4383,2817,,,
saltstack_salt,closed,82,7300,4409,2891,,,
saltstack_salt,closed,83,7400,4442,2958,,,
saltstack_salt,closed,84,7500,4475,3025,,,
saltstack_salt,closed,85,7600,4518,3082,,,
saltstack_salt,closed,86,7700,4549,3151,,,
saltstack_salt,closed,87,7800,4579,3221,,,
saltstack_salt,closed,88,7900,4610,3290,,,
saltstack_salt,closed,89,8000,4652,3348,,,
saltstack_salt,closed,90,8100,4683,3417,,,
saltstack_salt,closed,91,8200,4783,3417,,,
saltstack_salt,closed,92,8300,4883,3417,,,
saltstack_salt,closed,93,8400,4983,3417,,,
saltstack_salt,closed,94,8500,5083,3417,,,
saltstack_salt,closed,95,8600,5183,3417,,,
saltstack_salt,closed,96,8700,5283,3417,,,
saltstack_salt,closed,97,8800,5383,3417,,,
saltstack_salt,closed,98,8900,5483,3417,,,
saltstack_salt,closed,99,9000,5583,3417,,,
saltstack_salt,closed,100,9100,5683,3417,,,
saltstack_salt,closed,101,9200,5783,3417,,,
saltstack_salt,closed,102,9300,5883,3417,,,
saltstack_salt,closed,103,9400,5983,3417,,,
saltstack_salt,closed,104,9500,6083,3417,,,
saltstack_salt,closed,105,9600,6183,3417,,,
saltstack_salt,closed,106,9700,6283,3417,,,
saltstack_salt,closed,107,9800,6383,3417,,,
saltstack_salt,closed,108,9900,6483,3417,,,
saltstack_salt,closed,109,10000,6583,3417,,,
saltstack_salt,closed,110,10100,6683,3417,,,
saltstack_salt,closed,111,10200,6783,3417,,,
saltstack_salt,closed,112,10300,6883,3417,,,
saltstack_salt,closed,113,10400,6983,3417,,,
saltstack_salt,closed,114,10500,7083,3417,,,
saltstack_salt,closed,115,10600,7183,3417,,,
saltstack_salt,closed,116,10700,7283,3417,,,
saltstack_salt,closed,117,10800,7383,3417,,,
saltstack_salt,closed,118,10900,7483,3417,,,
saltstack_salt,closed,119,11000,7583,3417,,,
saltstack_salt,closed,120,11100,7683,3417,,,
saltstack_salt,closed,121,11200,7783,3417,,,
saltstack_salt,closed,122,11300,7883,3417,,,
saltstack_salt,closed,123,11400,7983,3417,,,
saltstack_salt,closed,124,11500,8072,3428,,,
saltstack_salt,closed,125,11600,8080,3520,,,
saltstack_salt,closed,126,11700,8092,3608,,,
saltstack_salt,closed,127,11800,8103,3697,,,
saltstack_salt,closed,128,11900,8113,3787,,,
saltstack_salt,closed,129,12000,8128,3872,,,
saltstack_salt,closed,130,12100,8143,3957,,,
saltstack_salt,closed,131,12200,8153,4047,,,
saltstack_salt,closed,132,12300,8163,4137,,,
saltstack_salt,closed,133,12400,8179,4221,,,
saltstack_salt,closed,134,12500,8191,4309,,,
saltstack_salt,closed,135,12600,8203,4397,,,
saltstack_salt,closed,136,12700,8209,4491,,,
saltstack_salt,closed,137,12800,8224,4576,,,
saltstack_salt,closed,138,12900,8237,4663,,,
saltstack_salt,closed,139,13000,8253,4747,,,
saltstack_salt,closed,140,13100,8261,4839,,,
saltstack_salt,closed,141,13200,8272,4928,,,
