Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
ballauriena/artspace,closed,15,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/payments.yml,added,11,0,ballauriena,2014-03-01 02:13:33,2014-03-01 02:13:33,2014-03-01 02:47:01,NA,NA,NA
ballauriena/artspace,closed,15,13cc3cfb498e4a161dca499685fe73e9e28e1dcd,test/models/payment_test.rb,added,7,0,ballauriena,2014-03-01 02:13:33,2014-03-01 02:13:33,2014-03-01 02:47:01,NA,NA,NA
ballauriena/artspace,closed,5,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,.env.test,added,0,0,ballauriena,2014-02-28 19:46:02,2014-02-28 19:46:02,2014-02-28 19:46:55,2014-02-28 19:46:55,NA,NA
ballauriena/artspace,closed,1,d30ebc380a263a6fa884430b148ad8a3551ec214,test/controllers/sessions_controller_test.rb,added,7,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,NA,NA
ballauriena/artspace,closed,1,d23f18294814b7530833be3fb7e5deeef3fb66a2,test/controllers/users_controller_test.rb,added,7,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,NA,NA
ballauriena/artspace,closed,1,dff8e9d2c5c98c8c6ca9f05bf82fc93782a7ef36,test/controllers/welcome_controller_test.rb,added,9,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,NA,NA
ballauriena/artspace,closed,1,7d44e096537fd989246b43722c0260794fc599fc,test/helpers/sessions_helper_test.rb,added,4,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,NA,NA
ballauriena/artspace,closed,1,96af37a8217cc4a6c3eb3af587f8043d44d01a4f,test/helpers/users_helper_test.rb,added,4,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,NA,NA
ballauriena/artspace,closed,1,d6ded5995f2bc3fe85d16c321b0ce2f7d7cf3684,test/helpers/welcome_helper_test.rb,added,4,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,NA,NA
ballauriena/artspace,closed,103,da7edb91633765d6a569c6caee6b2cf0c57069a0,test/mailers/confirmation_mailer_test.rb,added,7,0,bneuman619,2014-03-04 21:36:59,2014-03-04 21:36:59,2014-03-04 21:39:44,2014-03-04 21:39:44,NA,NA
banana-slugs-2014/GlucoseAmigo,closed,5,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,test/functional/.gitkeep,removed,0,0,chriswoodrich,2014-03-21 00:56:42,2014-03-21 00:56:42,2014-03-21 00:57:58,2014-03-21 00:57:58,NA,NA
banana-slugs-2014/GlucoseAmigo,closed,5,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,test/integration/.gitkeep,removed,0,0,chriswoodrich,2014-03-21 00:56:42,2014-03-21 00:56:42,2014-03-21 00:57:58,2014-03-21 00:57:58,NA,NA
banana-slugs-2014/GlucoseAmigo,closed,5,3fea27b91670e04c83a15269790a44b41b7d9ce1,test/performance/browsing_test.rb,removed,0,12,chriswoodrich,2014-03-21 00:56:42,2014-03-21 00:56:42,2014-03-21 00:57:58,2014-03-21 00:57:58,NA,NA
banana-slugs-2014/GlucoseAmigo,closed,5,8bf1192ffec252a4562218bdf299891a319b9cb9,test/test_helper.rb,removed,0,13,chriswoodrich,2014-03-21 00:56:42,2014-03-21 00:56:42,2014-03-21 00:57:58,2014-03-21 00:57:58,NA,NA
banana-slugs-2014/GlucoseAmigo,closed,5,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,test/unit/.gitkeep,removed,0,0,chriswoodrich,2014-03-21 00:56:42,2014-03-21 00:56:42,2014-03-21 00:57:58,2014-03-21 00:57:58,NA,NA
banana-slugs-2014/GlucoseAmigo,closed,61,5afda1eaba4335ff05009a960794d15be6dbcdbd,app/views/accounts/testing.html.erb,removed,0,28,Qt-dev,2014-03-25 07:14:43,2014-03-25 07:14:43,2014-03-25 15:33:53,2014-03-25 15:33:53,NA,NA
banana-slugs-2014/GlucoseAmigo,closed,41,5afda1eaba4335ff05009a960794d15be6dbcdbd,app/views/accounts/testing.html.erb,modified,18,0,Qt-dev,2014-03-23 01:55:57,2014-03-23 01:55:57,2014-03-23 02:54:52,2014-03-23 02:54:52,NA,NA
banana-slugs-2014/GlucoseAmigo,closed,18,1d93f9878116ebf5e96e5ace4c65f053f85b10d7,config/environments/test.rb,modified,1,1,Qt-dev,2014-03-21 18:53:43,2014-03-21 18:53:43,2014-03-21 19:07:12,2014-03-21 19:07:12,NA,NA
banana-slugs-2014/GlucoseAmigo,closed,26,eb863c9fc336e17b153ac9688e3885224aa26488,app/views/accounts/testing.html.erb,added,10,0,tyau,2014-03-22 03:47:01,2014-03-22 03:47:01,2014-03-22 03:52:52,2014-03-22 03:52:52,NA,NA
gitlabhq/gitlabhq,closed,1323,67d4e7bfbde5c4c50d8145d58181da64717c2e5a,db/fixtures/test/001_repo.rb,modified,22,14,AlexDenisov,2012-08-29 01:31:34,2012-08-29 01:31:34,2012-08-29 05:57:16,2012-08-29 05:57:16,NA,NA
gitlabhq/gitlabhq,closed,9430,c5666d49e61d3cbc939f9ed6d56e404459b050a2,lib/tasks/test.rake,modified,1,1,bbodenmiller,2015-07-03 08:53:28,2015-07-03 08:53:28,2015-07-06 13:50:37,2015-07-06 13:50:37,NA,NA
gitlabhq/gitlabhq,closed,8340,eb665b8b61875d349c845ef20a912b94d523a06b,spec/support/test_env.rb,modified,51,2,bladealslayer,2014-11-18 10:38:52,2014-11-18 10:38:52,2014-11-18 13:00:56,2014-11-18 13:00:56,NA,NA
gitlabhq/gitlabhq,closed,8644,e85e58751e781ced2603aa0ea0310531b861d76b,app/services/test_hook_service.rb,modified,1,1,chulkilee,2015-01-24 00:22:08,2015-01-24 00:22:08,2015-04-27 08:22:33,2015-04-27 08:22:33,NA,NA
gitlabhq/gitlabhq,closed,8131,8b9695349a57175b3b9c079eecaa62a107838ae5,spec/support/test_env.rb,modified,51,2,cirosantilli,2014-10-22 08:59:02,2014-10-22 08:59:02,2014-11-18 10:39:04,NA,NA,NA
gitlabhq/gitlabhq,closed,8079,31f2c8235cd7ac5a410f9d3aff27ac1c425dc259,lib/tasks/test.rake,modified,3,1,cirosantilli,2014-10-18 13:26:16,2014-10-18 13:26:16,2014-10-18 13:26:54,NA,NA,NA
gitlabhq/gitlabhq,closed,8078,b48012081dc7968e9811a01115d991067834f7f5,lib/tasks/test.rake,modified,3,1,cirosantilli,2014-10-18 13:23:47,2014-10-18 13:23:47,2014-10-18 13:24:18,NA,NA,NA
gitlabhq/gitlabhq,closed,8077,b48012081dc7968e9811a01115d991067834f7f5,lib/tasks/test.rake,modified,3,1,cirosantilli,2014-10-18 13:16:24,2014-10-18 13:16:24,2014-10-18 13:18:32,NA,NA,NA
gitlabhq/gitlabhq,closed,8076,b48012081dc7968e9811a01115d991067834f7f5,lib/tasks/test.rake,modified,3,1,cirosantilli,2014-10-18 13:12:42,2014-10-18 13:12:42,2014-10-18 13:15:26,NA,NA,NA
gitlabhq/gitlabhq,closed,8075,f6fc7272c7bd7847befd0c01aa6f0f880495310a,spec/support/test_env.rb,modified,55,2,cirosantilli,2014-10-18 13:04:58,2014-10-18 13:04:58,2014-10-18 13:05:41,NA,NA,NA
gitlabhq/gitlabhq,closed,8074,0bcabbfad59e4fa41ab2d273d11f703fec868805,lib/tasks/test.rake,modified,1,1,cirosantilli,2014-10-18 12:53:56,2014-10-18 12:53:56,2014-10-18 12:54:31,NA,NA,NA
gitlabhq/gitlabhq,closed,8073,0bcabbfad59e4fa41ab2d273d11f703fec868805,lib/tasks/test.rake,modified,1,1,cirosantilli,2014-10-18 12:44:14,2014-10-18 12:44:14,2014-10-18 12:53:06,NA,NA,NA
gitlabhq/gitlabhq,closed,7998,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,TEST,added,0,0,cirosantilli,2014-10-08 18:28:02,2014-10-08 18:28:02,2014-10-08 18:34:55,NA,NA,NA
gitlabhq/gitlabhq,closed,7929,583f4a876da9c652b525f85b3d267b7eb76adb44,lib/tasks/test.rake,modified,1,1,cirosantilli,2014-10-01 09:07:16,2014-10-01 09:07:16,2014-10-01 09:08:09,2014-10-01 09:08:09,NA,NA
gitlabhq/gitlabhq,closed,7903,e6db410fb1cad0f43978e7cd5c2e08994a2659f4,spec/support/test_env.rb,modified,39,6,cirosantilli,2014-09-29 19:59:13,2014-09-29 19:59:13,2014-11-05 13:22:37,2014-11-05 13:22:37,NA,NA
gitlabhq/gitlabhq,closed,7823,4b0a3856f89b48ae806ef55f44b53e9bdf97aab3,spec/support/test_env.rb,modified,6,4,cirosantilli,2014-09-22 19:14:16,2014-09-22 19:14:16,2014-09-24 09:58:10,2014-09-24 09:58:10,NA,NA
gitlabhq/gitlabhq,closed,7532,5bb2891c7d9eb34993153ba0923c6d9cc291c618,app/interactors/hooks/test.rb,added,14,0,duk3luk3,2014-08-18 13:25:45,2014-08-18 13:25:45,2014-10-24 18:56:06,NA,NA,NA
gitlabhq/gitlabhq,closed,7393,b6b1ef29b51840cc4038c9681d07be6381652d71,app/services/test_hook_service.rb,modified,3,0,j0k3r,2014-07-29 09:52:57,2014-07-29 09:52:57,2014-08-11 09:41:35,2014-08-11 09:41:35,NA,NA
gitlabhq/gitlabhq,closed,5500,5c6f96abc1bae29ea4a8865089fa2d9618dfde32,spec/support/test_env.rb,modified,4,4,jojosch,2013-10-31 19:01:01,2013-10-31 19:01:01,2013-11-05 08:30:45,2013-11-05 08:30:45,NA,NA
gitlabhq/gitlabhq,closed,5344,6bb5ce608f60f7c6d96c8468bdcb1283f16b807d,spec/support/test_env.rb,modified,5,0,jojosch,2013-10-16 05:50:54,2013-10-16 05:50:54,2013-10-17 06:30:44,2013-10-17 06:30:44,NA,NA
gitlabhq/gitlabhq,closed,8782,2d5e7addcd3ebe1b6d3dc5661e962c6790415370,config/environments/test.rb,modified,1,1,jvanbaarsen,2015-02-12 12:48:42,2015-02-12 12:48:42,2015-02-24 07:47:23,2015-02-24 07:47:23,NA,NA
gitlabhq/gitlabhq,closed,5805,3860dc5c74c588a42fc70056b5d9e5f968746585,config/environments/test.rb,modified,0,3,jvanbaarsen,2013-12-09 17:42:07,2013-12-09 17:42:07,2013-12-09 21:20:17,2013-12-09 21:20:17,NA,NA
gitlabhq/gitlabhq,closed,9214,e85e58751e781ced2603aa0ea0310531b861d76b,app/services/test_hook_service.rb,modified,1,1,kylekatarnls,2015-04-27 14:37:54,2015-04-27 14:37:54,2015-05-08 14:17:01,2015-05-08 14:17:01,NA,NA
gitlabhq/gitlabhq,closed,7266,0bcabbfad59e4fa41ab2d273d11f703fec868805,lib/tasks/test.rake,modified,1,1,minorOffense,2014-07-06 17:31:20,2014-07-06 17:31:20,2014-10-18 20:26:02,NA,NA,NA
gitlabhq/gitlabhq,closed,8051,0bcabbfad59e4fa41ab2d273d11f703fec868805,lib/tasks/test.rake,modified,1,1,mr-vinn,2014-10-15 19:48:01,2014-10-15 19:48:01,2014-10-18 18:04:13,NA,NA,NA
gitlabhq/gitlabhq,closed,1607,18fc37cde0caeb6dce9f38e3d9291eefb9bb6ecb,db/fixtures/test/001_repo.rb,removed,0,23,NARKOZ,2012-10-02 12:14:46,2012-10-02 12:14:46,2012-10-02 13:20:59,NA,NA,NA
gitlabhq/gitlabhq,closed,1566,f5816e42b7fb68b7f807b0b4f13b64f813544a11,config/environments/test.rb,modified,3,0,NARKOZ,2012-09-26 18:20:58,2012-09-26 18:20:58,2012-09-26 18:28:23,NA,NA,NA
gitlabhq/gitlabhq,closed,10495,f1fbb96ce6115a9a6db5708081b97078f801f73d,.gitlab/issue_templates/Acceptance_Testing.md,added,100,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,NA,NA
gitlabhq/gitlabhq,closed,10495,db8e30c419c6b7130e9f95d640cdc8dd08ed985d,.gitlab/issue_templates/Test plan.md,added,96,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,NA,NA
gitlabhq/gitlabhq,closed,5780,3860dc5c74c588a42fc70056b5d9e5f968746585,config/environments/test.rb,modified,0,3,Rovanion,2013-12-06 19:52:49,2013-12-06 19:52:49,2013-12-09 17:32:15,NA,NA,NA
gitlabhq/gitlabhq,closed,9044,44d70e741b2500df892b820e5d38f3629227cfeb,spec/support/test_env.rb,modified,7,1,rspeicher,2015-03-27 23:58:29,2015-03-27 23:58:29,2015-03-29 10:40:56,2015-03-29 10:40:56,NA,NA
gitlabhq/gitlabhq,closed,6594,d00decf61217f3e32758029b929e0b0c90d97326,spec/support/test_env.rb,modified,1,3,rspeicher,2014-03-22 19:59:16,2014-03-22 19:59:16,2014-03-24 12:58:35,2014-03-24 12:58:35,NA,NA
gitlabhq/gitlabhq,closed,1608,18fc37cde0caeb6dce9f38e3d9291eefb9bb6ecb,db/seeds/test.rb,renamed,0,0,rspeicher,2012-10-02 15:34:53,2012-10-02 15:34:53,2012-10-09 06:20:19,NA,NA,NA
gitlabhq/gitlabhq,closed,1567,f5816e42b7fb68b7f807b0b4f13b64f813544a11,config/environments/test.rb,modified,3,0,rspeicher,2012-09-26 18:28:40,2012-09-26 18:28:40,2012-09-26 20:05:55,2012-09-26 20:05:55,NA,NA
gitlabhq/gitlabhq,closed,8774,f869488d8d87178e29acafe4d1e96ff0a2f4226d,spec/support/test_env.rb,modified,20,14,skv-headless,2015-02-10 22:10:19,2015-02-10 22:10:19,2015-02-18 06:09:10,2015-02-18 06:09:10,NA,NA
gitlabhq/gitlabhq,closed,4306,d185e3974569d8025549bc3ac93cf1bae227aae3,app/contexts/projects/test_hook_context.rb,added,9,0,zzet,2013-06-13 20:22:32,2013-06-13 20:22:32,2014-01-16 07:42:39,NA,NA,NA
JasonBenn/raiseyourhand,closed,10,f42282cb08e77182b2b78cd3c7135ab49a63f16b,app/controllers/test_controller.rb,added,10,0,aarondufall,2013-07-05 02:33:53,2013-07-05 02:33:53,2013-07-05 02:40:18,2013-07-05 02:40:18,NA,NA
JasonBenn/raiseyourhand,closed,10,5008ddfcf53c02e82d7eee2e57c38e5672ef89f6,app/views/test/.DS_Store,added,0,0,aarondufall,2013-07-05 02:33:53,2013-07-05 02:33:53,2013-07-05 02:40:18,2013-07-05 02:40:18,NA,NA
JasonBenn/raiseyourhand,closed,10,9f384bef86905de985b18ae4ed2f66aaec46a0b3,app/views/test/index.html,added,248,0,aarondufall,2013-07-05 02:33:53,2013-07-05 02:33:53,2013-07-05 02:40:18,2013-07-05 02:40:18,NA,NA
JasonBenn/raiseyourhand,closed,10,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,app/views/test/show.js,added,0,0,aarondufall,2013-07-05 02:33:53,2013-07-05 02:33:53,2013-07-05 02:40:18,2013-07-05 02:40:18,NA,NA
JasonBenn/raiseyourhand,closed,9,adea7c9bb1f905ec3ec047e0171612e829f29817,public/nemrow_test_youtube_css.css,added,24,0,Ingelheim,2013-07-05 02:30:53,2013-07-05 02:30:53,2013-07-05 02:31:03,2013-07-05 02:31:03,NA,NA
JasonBenn/raiseyourhand,closed,9,254a53de4595f4a1dc17e77a08f39a0e9588e460,public/nemrow_youtube_test.html,modified,69,1,Ingelheim,2013-07-05 02:30:53,2013-07-05 02:30:53,2013-07-05 02:31:03,2013-07-05 02:31:03,NA,NA
JasonBenn/raiseyourhand,closed,14,9baaa31e72f316d8552f9de0d5fb4e6ef79a529c,app/views/test/index.html,modified,221,195,JasonBenn,2013-07-05 22:12:06,2013-07-05 22:12:06,2013-07-05 22:12:11,2013-07-05 22:12:11,NA,NA
JasonBenn/raiseyourhand,closed,22,4712160146180051c9e2188456cb0494d40def8b,app/views/test/index.html,modified,62,56,nemrow,2013-07-06 18:09:37,2013-07-06 18:09:37,2013-07-06 22:37:58,2013-07-06 22:37:58,NA,NA
JasonBenn/raiseyourhand,closed,17,c5efc4fa5903ffc9a3951a53cb69611694d0e462,public/nemrow_youtube_test.html,modified,0,6,nemrow,2013-07-06 00:41:59,2013-07-06 00:41:59,2013-07-06 00:45:05,2013-07-06 00:45:05,NA,NA
JasonBenn/raiseyourhand,closed,3,ac6bf3edb7cc0e9ba6a2600ae5e9549ea3ab3d1f,public/nemrow_youtube_test.html,added,139,0,nemrow,2013-07-04 22:24:33,2013-07-04 22:24:33,2013-07-04 22:24:43,2013-07-04 22:24:43,NA,NA
jpark3000/find/a/guide,closed,80,41a317e9c2f5987deff7a976863666adaa7e3910,app/views/application/test.html.erb,added,72,0,CharlieTruong,2014-03-04 03:50:55,2014-03-04 03:50:55,2014-03-04 03:51:01,2014-03-04 03:51:01,NA,NA
jpark3000/find/a/guide,closed,86,0a74c38d03569e637bdd22ca7b2a68de1c26e124,app/views/application/test.html.erb,removed,0,10,gnitnuj,2014-03-04 05:25:47,2014-03-04 05:25:47,2014-03-04 05:25:51,2014-03-04 05:25:51,NA,NA
jpark3000/find/a/guide,closed,85,0a74c38d03569e637bdd22ca7b2a68de1c26e124,app/views/application/test.html.erb,modified,2,64,gnitnuj,2014-03-04 05:16:18,2014-03-04 05:16:18,2014-03-04 05:16:23,2014-03-04 05:16:23,NA,NA
jpark3000/find/a/guide,closed,84,7c8d81cba0f52fc70e545cc93f6d134d62ce13ee,app/views/application/test.html.erb,modified,5,5,gnitnuj,2014-03-04 05:02:19,2014-03-04 05:02:19,2014-03-04 05:02:23,2014-03-04 05:02:23,NA,NA
jpark3000/find/a/guide,closed,49,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/authentications.yml,removed,0,11,gnitnuj,2014-03-01 21:47:44,2014-03-01 21:47:44,2014-03-01 21:47:51,2014-03-01 21:47:51,NA,NA
jpark3000/find/a/guide,closed,49,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/languages.yml,removed,0,11,gnitnuj,2014-03-01 21:47:44,2014-03-01 21:47:44,2014-03-01 21:47:51,2014-03-01 21:47:51,NA,NA
jpark3000/find/a/guide,closed,49,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/languages_spokens.yml,removed,0,11,gnitnuj,2014-03-01 21:47:44,2014-03-01 21:47:44,2014-03-01 21:47:51,2014-03-01 21:47:51,NA,NA
jpark3000/find/a/guide,closed,49,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/meetups.yml,removed,0,11,gnitnuj,2014-03-01 21:47:44,2014-03-01 21:47:44,2014-03-01 21:47:51,2014-03-01 21:47:51,NA,NA
jpark3000/find/a/guide,closed,49,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/reviews.yml,removed,0,11,gnitnuj,2014-03-01 21:47:44,2014-03-01 21:47:44,2014-03-01 21:47:51,2014-03-01 21:47:51,NA,NA
jpark3000/find/a/guide,closed,49,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/specialties.yml,removed,0,11,gnitnuj,2014-03-01 21:47:44,2014-03-01 21:47:44,2014-03-01 21:47:51,2014-03-01 21:47:51,NA,NA
jpark3000/find/a/guide,closed,49,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/stars.yml,removed,0,11,gnitnuj,2014-03-01 21:47:44,2014-03-01 21:47:44,2014-03-01 21:47:51,2014-03-01 21:47:51,NA,NA
jpark3000/find/a/guide,closed,49,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/tours.yml,removed,0,11,gnitnuj,2014-03-01 21:47:44,2014-03-01 21:47:44,2014-03-01 21:47:51,2014-03-01 21:47:51,NA,NA
jpark3000/find/a/guide,closed,49,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/user_specialties.yml,removed,0,11,gnitnuj,2014-03-01 21:47:44,2014-03-01 21:47:44,2014-03-01 21:47:51,2014-03-01 21:47:51,NA,NA
jpark3000/find/a/guide,closed,49,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/users.yml,removed,0,11,gnitnuj,2014-03-01 21:47:44,2014-03-01 21:47:44,2014-03-01 21:47:51,2014-03-01 21:47:51,NA,NA
