Repository,Test,Situation,Total,% com/sem,% total,,
ballauriena_artspace.csv,TRUE,Open,0,NA,0,,
ballauriena_artspace.csv,TRUE,Closed,0,NA,0,,
ballauriena_artspace.csv,TRUE,Merged,0,NA,0,,
ballauriena_artspace.csv,FALSE,Open,0,0,0,,
ballauriena_artspace.csv,FALSE,Closed,0,0,0,,
ballauriena_artspace.csv,FALSE,Merged,2,100,100,,
banana-slugs-2014_GlucoseAmigo.csv,TRUE,Open,0,NA,0,,
banana-slugs-2014_GlucoseAmigo.csv,TRUE,Closed,0,NA,0,,
banana-slugs-2014_GlucoseAmigo.csv,TRUE,Merged,0,NA,0,,
banana-slugs-2014_GlucoseAmigo.csv,FALSE,Open,0,0,0,,
banana-slugs-2014_GlucoseAmigo.csv,FALSE,Closed,0,0,0,,
banana-slugs-2014_GlucoseAmigo.csv,FALSE,Merged,2,100,100,,
gitlabhq_gitlabhq.csv,TRUE,Open,0,0,0,,
gitlabhq_gitlabhq.csv,TRUE,Closed,0,0,0,,
gitlabhq_gitlabhq.csv,TRUE,Merged,2,100,0.53,,
gitlabhq_gitlabhq.csv,FALSE,Open,0,0,0,,
gitlabhq_gitlabhq.csv,FALSE,Closed,138,36.51,36.32,,
gitlabhq_gitlabhq.csv,FALSE,Merged,240,63.49,63.16,,
ManageIQ_manageiq.csv,TRUE,Open,0,0,0,,
ManageIQ_manageiq.csv,TRUE,Closed,1,100,3.33,,
ManageIQ_manageiq.csv,TRUE,Merged,0,0,0,,
ManageIQ_manageiq.csv,FALSE,Open,0,0,0,,
ManageIQ_manageiq.csv,FALSE,Closed,2,6.9,6.67,,
ManageIQ_manageiq.csv,FALSE,Merged,27,93.1,90,,
moneyadviceservice_rad_consumer.csv,TRUE,Open,0,NA,0,,
moneyadviceservice_rad_consumer.csv,TRUE,Closed,0,NA,0,,
moneyadviceservice_rad_consumer.csv,TRUE,Merged,0,NA,0,,
moneyadviceservice_rad_consumer.csv,FALSE,Open,0,0,0,,
moneyadviceservice_rad_consumer.csv,FALSE,Closed,0,0,0,,
moneyadviceservice_rad_consumer.csv,FALSE,Merged,3,100,100,,
openshift_origin-server.csv,TRUE,Open,0,0,0,,
openshift_origin-server.csv,TRUE,Closed,3,60,21.43,,
openshift_origin-server.csv,TRUE,Merged,2,40,14.29,,
openshift_origin-server.csv,FALSE,Open,0,0,0,,
openshift_origin-server.csv,FALSE,Closed,1,11.11,7.14,,
openshift_origin-server.csv,FALSE,Merged,8,88.89,57.14,,
rails_rails.csv,TRUE,Open,43,34.4,29.05,,
rails_rails.csv,TRUE,Closed,22,17.6,14.86,,
rails_rails.csv,TRUE,Merged,60,48,40.54,,
rails_rails.csv,FALSE,Open,0,0,0,,
rails_rails.csv,FALSE,Closed,8,34.78,5.41,,
rails_rails.csv,FALSE,Merged,15,65.22,10.14,,
woolly-bear-caterpillars-2014_threeSentences.csv,TRUE,Open,0,0,0,,
woolly-bear-caterpillars-2014_threeSentences.csv,TRUE,Closed,0,0,0,,
woolly-bear-caterpillars-2014_threeSentences.csv,TRUE,Merged,1,100,100,,
woolly-bear-caterpillars-2014_threeSentences.csv,FALSE,Open,0,NA,0,,
woolly-bear-caterpillars-2014_threeSentences.csv,FALSE,Closed,0,NA,0,,
woolly-bear-caterpillars-2014_threeSentences.csv,FALSE,Merged,0,NA,0,,
