Repository,Test,Situation,Total,% com/sem,% total,,
gitlabhq_gitlabhq.csv,TRUE,Open,0,0,0,,
gitlabhq_gitlabhq.csv,TRUE,Closed,12,66.67,0.72,,
gitlabhq_gitlabhq.csv,TRUE,Merged,6,33.33,0.36,,
gitlabhq_gitlabhq.csv,FALSE,Open,16,0.96,0.95,,
gitlabhq_gitlabhq.csv,FALSE,Closed,678,40.87,40.43,,
gitlabhq_gitlabhq.csv,FALSE,Merged,965,58.17,57.54,,
JasonBenn_raiseyourhand.csv,TRUE,Open,0,NA,0,,
JasonBenn_raiseyourhand.csv,TRUE,Closed,0,NA,0,,
JasonBenn_raiseyourhand.csv,TRUE,Merged,0,NA,0,,
JasonBenn_raiseyourhand.csv,FALSE,Open,0,0,0,,
JasonBenn_raiseyourhand.csv,FALSE,Closed,0,0,0,,
JasonBenn_raiseyourhand.csv,FALSE,Merged,2,100,100,,
ManageIQ_manageiq.csv,TRUE,Open,0,NA,0,,
ManageIQ_manageiq.csv,TRUE,Closed,0,NA,0,,
ManageIQ_manageiq.csv,TRUE,Merged,0,NA,0,,
ManageIQ_manageiq.csv,FALSE,Open,2,3.03,3.03,,
ManageIQ_manageiq.csv,FALSE,Closed,8,12.12,12.12,,
ManageIQ_manageiq.csv,FALSE,Merged,56,84.85,84.85,,
moneyadviceservice_rad_consumer.csv,TRUE,Open,1,50,16.67,,
moneyadviceservice_rad_consumer.csv,TRUE,Closed,0,0,0,,
moneyadviceservice_rad_consumer.csv,TRUE,Merged,1,50,16.67,,
moneyadviceservice_rad_consumer.csv,FALSE,Open,0,0,0,,
moneyadviceservice_rad_consumer.csv,FALSE,Closed,0,0,0,,
moneyadviceservice_rad_consumer.csv,FALSE,Merged,4,100,66.67,,
openshift_origin-server.csv,TRUE,Open,1,11.11,2.22,,
openshift_origin-server.csv,TRUE,Closed,0,0,0,,
openshift_origin-server.csv,TRUE,Merged,8,88.89,17.78,,
openshift_origin-server.csv,FALSE,Open,4,11.11,8.89,,
openshift_origin-server.csv,FALSE,Closed,5,13.89,11.11,,
openshift_origin-server.csv,FALSE,Merged,27,75,60,,
rails_rails.csv,TRUE,Open,257,52.02,31.93,,
rails_rails.csv,TRUE,Closed,58,11.74,7.2,,
rails_rails.csv,TRUE,Merged,179,36.23,22.24,,
rails_rails.csv,FALSE,Open,74,23.79,9.19,,
rails_rails.csv,FALSE,Closed,70,22.51,8.7,,
rails_rails.csv,FALSE,Merged,167,53.7,20.75,,
