Repository,Test,Situation,Total,% com/sem,% total,,
ballauriena_artspace.csv,TRUE,Open,0,0,0,,
ballauriena_artspace.csv,TRUE,Closed,0,0,0,,
ballauriena_artspace.csv,TRUE,Merged,2,100,50,,
ballauriena_artspace.csv,FALSE,Open,0,0,0,,
ballauriena_artspace.csv,FALSE,Closed,0,0,0,,
ballauriena_artspace.csv,FALSE,Merged,2,100,50,,
banana-slugs-2014_GlucoseAmigo.csv,TRUE,Open,0,0,0,,
banana-slugs-2014_GlucoseAmigo.csv,TRUE,Closed,0,0,0,,
banana-slugs-2014_GlucoseAmigo.csv,TRUE,Merged,3,100,60,,
banana-slugs-2014_GlucoseAmigo.csv,FALSE,Open,0,0,0,,
banana-slugs-2014_GlucoseAmigo.csv,FALSE,Closed,0,0,0,,
banana-slugs-2014_GlucoseAmigo.csv,FALSE,Merged,2,100,40,,
gitlabhq_gitlabhq.csv,TRUE,Open,0,0,0,,
gitlabhq_gitlabhq.csv,TRUE,Closed,7,38.89,3.17,,
gitlabhq_gitlabhq.csv,TRUE,Merged,11,61.11,4.98,,
gitlabhq_gitlabhq.csv,FALSE,Open,0,0,0,,
gitlabhq_gitlabhq.csv,FALSE,Closed,87,42.86,39.37,,
gitlabhq_gitlabhq.csv,FALSE,Merged,116,57.14,52.49,,
JasonBenn_raiseyourhand.csv,TRUE,Open,0,0,0,,
JasonBenn_raiseyourhand.csv,TRUE,Closed,0,0,0,,
JasonBenn_raiseyourhand.csv,TRUE,Merged,4,100,100,,
JasonBenn_raiseyourhand.csv,FALSE,Open,0,NA,0,,
JasonBenn_raiseyourhand.csv,FALSE,Closed,0,NA,0,,
JasonBenn_raiseyourhand.csv,FALSE,Merged,0,NA,0,,
jpark3000_find_a_guide.csv,TRUE,Open,0,0,0,,
jpark3000_find_a_guide.csv,TRUE,Closed,0,0,0,,
jpark3000_find_a_guide.csv,TRUE,Merged,3,100,60,,
jpark3000_find_a_guide.csv,FALSE,Open,0,0,0,,
jpark3000_find_a_guide.csv,FALSE,Closed,0,0,0,,
jpark3000_find_a_guide.csv,FALSE,Merged,2,100,40,,
ManageIQ_manageiq.csv,TRUE,Open,0,0,0,,
ManageIQ_manageiq.csv,TRUE,Closed,11,22.45,7.28,,
ManageIQ_manageiq.csv,TRUE,Merged,38,77.55,25.17,,
ManageIQ_manageiq.csv,FALSE,Open,0,0,0,,
ManageIQ_manageiq.csv,FALSE,Closed,8,7.84,5.3,,
ManageIQ_manageiq.csv,FALSE,Merged,94,92.16,62.25,,
moneyadviceservice_rad_consumer.csv,TRUE,Open,1,14.29,5,,
moneyadviceservice_rad_consumer.csv,TRUE,Closed,0,0,0,,
moneyadviceservice_rad_consumer.csv,TRUE,Merged,6,85.71,30,,
moneyadviceservice_rad_consumer.csv,FALSE,Open,0,0,0,,
moneyadviceservice_rad_consumer.csv,FALSE,Closed,1,7.69,5,,
moneyadviceservice_rad_consumer.csv,FALSE,Merged,12,92.31,60,,
openshift_origin-server.csv,TRUE,Open,0,0,0,,
openshift_origin-server.csv,TRUE,Closed,11,16.67,14.86,,
openshift_origin-server.csv,TRUE,Merged,55,83.33,74.32,,
openshift_origin-server.csv,FALSE,Open,0,0,0,,
openshift_origin-server.csv,FALSE,Closed,3,37.5,4.05,,
openshift_origin-server.csv,FALSE,Merged,5,62.5,6.76,,
rails_rails.csv,TRUE,Open,17,10.18,10,,
rails_rails.csv,TRUE,Closed,35,20.96,20.59,,
rails_rails.csv,TRUE,Merged,115,68.86,67.65,,
rails_rails.csv,FALSE,Open,0,0,0,,
rails_rails.csv,FALSE,Closed,2,66.67,1.18,,
rails_rails.csv,FALSE,Merged,1,33.33,0.59,,
woolly-bear-caterpillars-2014_threeSentences.csv,TRUE,Open,0,0,0,,
woolly-bear-caterpillars-2014_threeSentences.csv,TRUE,Closed,1,33.33,25,,
woolly-bear-caterpillars-2014_threeSentences.csv,TRUE,Merged,2,66.67,50,,
woolly-bear-caterpillars-2014_threeSentences.csv,FALSE,Open,0,0,0,,
woolly-bear-caterpillars-2014_threeSentences.csv,FALSE,Closed,0,0,0,,
woolly-bear-caterpillars-2014_threeSentences.csv,FALSE,Merged,1,100,25,,
