Repository,Pull number,Users,Test,Change,Type,,
moneyadviceservice_rad_consumer.csv,324,your,TRUE,modified AND added AND removed,Open
moneyadviceservice_rad_consumer.csv,312,igelstorm,TRUE,modified AND added,Open
moneyadviceservice_rad_consumer.csv,307,Tr4pSt3R,TRUE,modified AND removed AND added,Merged
moneyadviceservice_rad_consumer.csv,302,johnplayer1982,TRUE,added AND modified,Merged
moneyadviceservice_rad_consumer.csv,300,norm,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,248,mconnell,TRUE,modified AND added,Merged
moneyadviceservice_rad_consumer.csv,198,munckymagik,TRUE,modified AND added,Merged
moneyadviceservice_rad_consumer.csv,190,urfolomeus,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,22,benlovell,TRUE,added AND modified AND removed,Merged
moneyadviceservice_rad_consumer.csv,342,NULL,TRUE,modified AND removed AND added AND renamed,Open
moneyadviceservice_rad_consumer.csv,341,NULL,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,340,pmcostello,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,339,scott-ad-riley,TRUE,modified AND added,Merged
moneyadviceservice_rad_consumer.csv,338,scott-ad-riley,TRUE,modified AND added,Merged
moneyadviceservice_rad_consumer.csv,337,willhall88,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,336,johnplayer1982,TRUE,modified AND removed AND added,Merged
moneyadviceservice_rad_consumer.csv,335,johnplayer1982,TRUE,added,Merged
moneyadviceservice_rad_consumer.csv,334,picandocodigo,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,332,picandocodigo,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,331,igelstorm,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,330,igelstorm,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,329,picandocodigo,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,328,picandocodigo,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,327,picandocodigo,TRUE,modified,Closed
moneyadviceservice_rad_consumer.csv,326,picandocodigo,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,325,picandocodigo,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,323,picandocodigo,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,322,pmcostello,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,321,picandocodigo,TRUE,modified AND added,Merged
moneyadviceservice_rad_consumer.csv,320,shaley91,TRUE,added AND renamed AND modified,Merged
moneyadviceservice_rad_consumer.csv,319,margOnline,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,318,margOnline,TRUE,modified,Merged
moneyadviceservice_rad_consumer.csv,317,margOnline,TRUE,modified,Merged
