Repository,User,Pull number,Test,Situation,,
gitlabhq_gitlabhq.csv,barendt,1981,TRUE,Merged,NA,NA
gitlabhq_gitlabhq.csv,barendt,1981,TRUE,Merged,NA,NA
ManageIQ_manageiq.csv,knowncitizen,1516,TRUE,Closed,NA,NA
openshift_origin-server.csv,Bilhar-rh,5640,TRUE,Merged,NA,NA
openshift_origin-server.csv,britztopher,3343,TRUE,Closed,NA,NA
openshift_origin-server.csv,genesarm,2782,TRUE,Closed,NA,NA
openshift_origin-server.csv,kevinconaway,5683,TRUE,Merged,NA,NA
openshift_origin-server.csv,ShalomPisteuo,5425,TRUE,Closed,NA,NA
rails_rails.csv,5t111111,27872,TRUE,Open,NA,NA
rails_rails.csv,aantix,18605,TRUE,Open,NA,NA
rails_rails.csv,allcentury,30157,TRUE,Closed,NA,NA
rails_rails.csv,Ana06,33547,TRUE,Merged,NA,NA
rails_rails.csv,artfuldodger,33046,TRUE,Closed,NA,NA
rails_rails.csv,arye-dov-eidelman,33409,TRUE,Merged,NA,NA
rails_rails.csv,benoittgt,32119,TRUE,Closed,NA,NA
rails_rails.csv,BKSpurgeon,33768,TRUE,Open,NA,NA
rails_rails.csv,bkuhlmann,33020,TRUE,Merged,NA,NA
rails_rails.csv,brchristian,33521,TRUE,Merged,NA,NA
rails_rails.csv,buehmann,32076,TRUE,Merged,NA,NA
rails_rails.csv,bughit,13308,TRUE,Open,NA,NA
rails_rails.csv,chewi,24206,TRUE,Open,NA,NA
rails_rails.csv,chiaraani,34845,TRUE,Open,NA,NA
rails_rails.csv,chrisarcand,32549,TRUE,Merged,NA,NA
rails_rails.csv,christianblais,32167,TRUE,Merged,NA,NA
rails_rails.csv,christos,21496,TRUE,Open,NA,NA
rails_rails.csv,cllns,32034,TRUE,Merged,NA,NA
rails_rails.csv,CodingAnarchy,33067,TRUE,Merged,NA,NA
rails_rails.csv,cseelus,33394,TRUE,Merged,NA,NA
rails_rails.csv,danhuynhdev,32523,TRUE,Merged,NA,NA
rails_rails.csv,danielma,31010,TRUE,Open,NA,NA
rails_rails.csv,danielrhodes,23873,TRUE,Open,NA,NA
rails_rails.csv,dan-jensen,33114,TRUE,Merged,NA,NA
rails_rails.csv,deraru,27861,TRUE,Open,NA,NA
rails_rails.csv,derekprior,32645,TRUE,Merged,NA,NA
rails_rails.csv,dharamgollapudi,32037,TRUE,Merged,NA,NA
rails_rails.csv,eric-hemasystems,33568,TRUE,Merged,NA,NA
rails_rails.csv,fatosmorina,31262,TRUE,Closed,NA,NA
rails_rails.csv,fedxgibson,33028,TRUE,Merged,NA,NA
rails_rails.csv,fnando,30553,TRUE,Closed,NA,NA
rails_rails.csv,FX-HAO,32868,TRUE,Open,NA,NA
rails_rails.csv,g13ydson,33093,TRUE,Merged,NA,NA
rails_rails.csv,gauravtiwari,30252,TRUE,Merged,NA,NA
rails_rails.csv,gaurish,34027,TRUE,Open,NA,NA
rails_rails.csv,Geesu,31102,TRUE,Merged,NA,NA
rails_rails.csv,guilherme,30004,TRUE,Merged,NA,NA
rails_rails.csv,ignat-z,30666,TRUE,Open,NA,NA
rails_rails.csv,igorkasyanchuk,31843,TRUE,Closed,NA,NA
rails_rails.csv,ishigo974,31845,TRUE,Open,NA,NA
rails_rails.csv,j3pic,33069,TRUE,Closed,NA,NA
rails_rails.csv,jacobbednarz,33437,TRUE,Open,NA,NA
rails_rails.csv,jaggederest,34458,TRUE,Open,NA,NA
rails_rails.csv,jameslovejoy,31681,TRUE,Closed,NA,NA
rails_rails.csv,jamiemccarthy,30920,TRUE,Merged,NA,NA
rails_rails.csv,jasl,34775,TRUE,Open,NA,NA
rails_rails.csv,jasonroelofs,33615,TRUE,Merged,NA,NA
rails_rails.csv,Jcambass,33322,TRUE,Merged,NA,NA
rails_rails.csv,jgorman,33888,TRUE,Closed,NA,NA
rails_rails.csv,joeltaylor,34086,TRUE,Open,NA,NA
rails_rails.csv,justjake,31767,TRUE,Closed,NA,NA
rails_rails.csv,keepcosmos,23537,TRUE,Open,NA,NA
rails_rails.csv,keithgabryelski,21695,TRUE,Open,NA,NA
rails_rails.csv,KevinSjoberg,33075,TRUE,Merged,NA,NA
rails_rails.csv,killthekitten,17985,TRUE,Open,NA,NA
rails_rails.csv,kinnrot,31178,TRUE,Merged,NA,NA
rails_rails.csv,krusty3002,33684,TRUE,Merged,NA,NA
rails_rails.csv,kshnurov,32104,TRUE,Closed,NA,NA
rails_rails.csv,kylekeesling,32477,TRUE,Merged,NA,NA
rails_rails.csv,lawrencepit,6922,TRUE,Open,NA,NA
rails_rails.csv,lukesarnacki,13628,TRUE,Open,NA,NA
rails_rails.csv,lxxxvi,33317,TRUE,Merged,NA,NA
rails_rails.csv,lzap,32586,TRUE,Closed,NA,NA
rails_rails.csv,manojmj92,30394,TRUE,Merged,NA,NA
rails_rails.csv,marcotc,33834,TRUE,Open,NA,NA
rails_rails.csv,matrinox,32441,TRUE,Merged,NA,NA
rails_rails.csv,MaxLap,29877,TRUE,Merged,NA,NA
rails_rails.csv,mberlanda,33813,TRUE,Merged,NA,NA
rails_rails.csv,mcnelson,33770,TRUE,Merged,NA,NA
rails_rails.csv,mikker,30694,TRUE,Closed,NA,NA
