Repository,User,Frequency,,
gitlabhq_gitlabhq.csv,0X1A,1,NA,NA
gitlabhq_gitlabhq.csv,29decibel,1,NA,NA
gitlabhq_gitlabhq.csv,2rba,1,NA,NA
gitlabhq_gitlabhq.csv,a1ee9b,1,NA,NA
gitlabhq_gitlabhq.csv,aaronsnyder,1,NA,NA
gitlabhq_gitlabhq.csv,ABaldwinHunter,1,NA,NA
gitlabhq_gitlabhq.csv,abbotllp,1,NA,NA
gitlabhq_gitlabhq.csv,abner,1,NA,NA
gitlabhq_gitlabhq.csv,abridgett,1,NA,NA
gitlabhq_gitlabhq.csv,Aciid,1,NA,NA
gitlabhq_gitlabhq.csv,adaiguoguo,1,NA,NA
gitlabhq_gitlabhq.csv,adaugherity,1,NA,NA
gitlabhq_gitlabhq.csv,adreyer,1,NA,NA
gitlabhq_gitlabhq.csv,AeroNotix,1,NA,NA
gitlabhq_gitlabhq.csv,agconnor,1,NA,NA
gitlabhq_gitlabhq.csv,AhmedAliGokhy,1,NA,NA
gitlabhq_gitlabhq.csv,ahmyi,1,NA,NA
gitlabhq_gitlabhq.csv,Aigeruth,1,NA,NA
gitlabhq_gitlabhq.csv,aihua,1,NA,NA
gitlabhq_gitlabhq.csv,akashima,1,NA,NA
gitlabhq_gitlabhq.csv,akiva,1,NA,NA
gitlabhq_gitlabhq.csv,akoenig,1,NA,NA
gitlabhq_gitlabhq.csv,alankehoe,1,NA,NA
gitlabhq_gitlabhq.csv,aleator83,1,NA,NA
gitlabhq_gitlabhq.csv,alerque,1,NA,NA
gitlabhq_gitlabhq.csv,alexcp,1,NA,NA
gitlabhq_gitlabhq.csv,alexdo,1,NA,NA
gitlabhq_gitlabhq.csv,alexvh,1,NA,NA
gitlabhq_gitlabhq.csv,Alirezaies,1,NA,NA
gitlabhq_gitlabhq.csv,alvindu-pw,1,NA,NA
gitlabhq_gitlabhq.csv,amanelis,1,NA,NA
gitlabhq_gitlabhq.csv,amaurymedeiros,1,NA,NA
gitlabhq_gitlabhq.csv,amferraz,1,NA,NA
gitlabhq_gitlabhq.csv,amtrack,1,NA,NA
gitlabhq_gitlabhq.csv,andrba,1,NA,NA
gitlabhq_gitlabhq.csv,andreausu,1,NA,NA
gitlabhq_gitlabhq.csv,andrey-yantsen,1,NA,NA
gitlabhq_gitlabhq.csv,andruby,1,NA,NA
gitlabhq_gitlabhq.csv,anoldguy,1,NA,NA
gitlabhq_gitlabhq.csv,Anthony-Gaudino,1,NA,NA
gitlabhq_gitlabhq.csv,anthonymoralez,1,NA,NA
gitlabhq_gitlabhq.csv,anthonyryan1,1,NA,NA
gitlabhq_gitlabhq.csv,antonini,1,NA,NA
gitlabhq_gitlabhq.csv,apmorton,1,NA,NA
gitlabhq_gitlabhq.csv,arenard,1,NA,NA
gitlabhq_gitlabhq.csv,argami,1,NA,NA
gitlabhq_gitlabhq.csv,arifumi,1,NA,NA
gitlabhq_gitlabhq.csv,arnaud-zg,1,NA,NA
gitlabhq_gitlabhq.csv,ArthurHoaro,1,NA,NA
gitlabhq_gitlabhq.csv,asfaltboy,1,NA,NA
gitlabhq_gitlabhq.csv,ashleyhindle,1,NA,NA
gitlabhq_gitlabhq.csv,ashumkin,1,NA,NA
gitlabhq_gitlabhq.csv,asiniy,1,NA,NA
gitlabhq_gitlabhq.csv,athos-ribeiro,1,NA,NA
gitlabhq_gitlabhq.csv,Atul9,1,NA,NA
gitlabhq_gitlabhq.csv,atuleu,1,NA,NA
gitlabhq_gitlabhq.csv,augustf,1,NA,NA
gitlabhq_gitlabhq.csv,austinche,1,NA,NA
gitlabhq_gitlabhq.csv,avinassh,1,NA,NA
gitlabhq_gitlabhq.csv,ayufan,1,NA,NA
gitlabhq_gitlabhq.csv,azusa,1,NA,NA
gitlabhq_gitlabhq.csv,BaBL86,1,NA,NA
gitlabhq_gitlabhq.csv,baladkb,1,NA,NA
gitlabhq_gitlabhq.csv,baloo,1,NA,NA
gitlabhq_gitlabhq.csv,barryhatfield,1,NA,NA
gitlabhq_gitlabhq.csv,bassrock,1,NA,NA
gitlabhq_gitlabhq.csv,basvandijk,1,NA,NA
gitlabhq_gitlabhq.csv,bbigras,1,NA,NA
gitlabhq_gitlabhq.csv,beautyfree,1,NA,NA
gitlabhq_gitlabhq.csv,bebehei,1,NA,NA
gitlabhq_gitlabhq.csv,begnini,1,NA,NA
gitlabhq_gitlabhq.csv,benjaminchen,1,NA,NA
gitlabhq_gitlabhq.csv,ben-page,1,NA,NA
gitlabhq_gitlabhq.csv,benphelps,1,NA,NA
gitlabhq_gitlabhq.csv,bentolor,1,NA,NA
gitlabhq_gitlabhq.csv,benyanke,1,NA,NA
gitlabhq_gitlabhq.csv,binford2k,1,NA,NA
