Repository,User,Frequency,,
ballauriena_artspace.csv,ballauriena,58,NA,NA
ballauriena_artspace.csv,bneuman619,43,NA,NA
ballauriena_artspace.csv,Carpk,18,NA,NA
ballauriena_artspace.csv,KevinFalank,25,NA,NA
banana-slugs-2014_GlucoseAmigo.csv,c14jcdj,18,NA,NA
banana-slugs-2014_GlucoseAmigo.csv,chriswoodrich,32,NA,NA
banana-slugs-2014_GlucoseAmigo.csv,Qt-dev,33,NA,NA
banana-slugs-2014_GlucoseAmigo.csv,trekkie4life,17,NA,NA
banana-slugs-2014_GlucoseAmigo.csv,tyau,18,NA,NA
gitlabhq_gitlabhq.csv,abevoelker,7,NA,NA
gitlabhq_gitlabhq.csv,abhid,4,NA,NA
gitlabhq_gitlabhq.csv,agjmills,4,NA,NA
gitlabhq_gitlabhq.csv,ahmedshafeeq,3,NA,NA
gitlabhq_gitlabhq.csv,akzhan,6,NA,NA
gitlabhq_gitlabhq.csv,AlexDenisov,23,NA,NA
gitlabhq_gitlabhq.csv,amacarthur,13,NA,NA
gitlabhq_gitlabhq.csv,Andrew8xx8,19,NA,NA
gitlabhq_gitlabhq.csv,Aorimn,3,NA,NA
gitlabhq_gitlabhq.csv,apazdnikov,3,NA,NA
gitlabhq_gitlabhq.csv,archiloque,6,NA,NA
gitlabhq_gitlabhq.csv,ariejan,6,NA,NA
gitlabhq_gitlabhq.csv,arif-ali,3,NA,NA
gitlabhq_gitlabhq.csv,armetiz,3,NA,NA
gitlabhq_gitlabhq.csv,arruda,3,NA,NA
gitlabhq_gitlabhq.csv,artem-sidorenko,3,NA,NA
gitlabhq_gitlabhq.csv,arthurschreiber,5,NA,NA
gitlabhq_gitlabhq.csv,artiom,3,NA,NA
gitlabhq_gitlabhq.csv,asedge,5,NA,NA
gitlabhq_gitlabhq.csv,atomaka,5,NA,NA
gitlabhq_gitlabhq.csv,aus,4,NA,NA
gitlabhq_gitlabhq.csv,avakarev,9,NA,NA
gitlabhq_gitlabhq.csv,awiddersheim,4,NA,NA
gitlabhq_gitlabhq.csv,axilleas,27,NA,NA
gitlabhq_gitlabhq.csv,Azaret,3,NA,NA
gitlabhq_gitlabhq.csv,babatakao,11,NA,NA
gitlabhq_gitlabhq.csv,bbodenmiller,191,NA,NA
gitlabhq_gitlabhq.csv,bhuisgen,4,NA,NA
gitlabhq_gitlabhq.csv,bladealslayer,15,NA,NA
gitlabhq_gitlabhq.csv,boldt,4,NA,NA
gitlabhq_gitlabhq.csv,bozaro,3,NA,NA
gitlabhq_gitlabhq.csv,brugidou,3,NA,NA
gitlabhq_gitlabhq.csv,Bugagazavr,9,NA,NA
gitlabhq_gitlabhq.csv,bushong1,3,NA,NA
gitlabhq_gitlabhq.csv,calmh,3,NA,NA
gitlabhq_gitlabhq.csv,CedricGatay,7,NA,NA
gitlabhq_gitlabhq.csv,chino,3,NA,NA
gitlabhq_gitlabhq.csv,chopmann,4,NA,NA
gitlabhq_gitlabhq.csv,chulkilee,7,NA,NA
gitlabhq_gitlabhq.csv,cirosantilli,239,NA,NA
gitlabhq_gitlabhq.csv,cmckni3,3,NA,NA
gitlabhq_gitlabhq.csv,coverer,3,NA,NA
gitlabhq_gitlabhq.csv,crazyscience,6,NA,NA
gitlabhq_gitlabhq.csv,crohr,8,NA,NA
gitlabhq_gitlabhq.csv,DanKnox,5,NA,NA
gitlabhq_gitlabhq.csv,darkrasid,3,NA,NA
gitlabhq_gitlabhq.csv,davvid,3,NA,NA
gitlabhq_gitlabhq.csv,dblessing,38,NA,NA
gitlabhq_gitlabhq.csv,denics,4,NA,NA
gitlabhq_gitlabhq.csv,dfyx,3,NA,NA
gitlabhq_gitlabhq.csv,dmedvinsky,10,NA,NA
gitlabhq_gitlabhq.csv,docwhat,7,NA,NA
gitlabhq_gitlabhq.csv,dosire,30,NA,NA
gitlabhq_gitlabhq.csv,dpursehouse,6,NA,NA
gitlabhq_gitlabhq.csv,dreis2211,7,NA,NA
gitlabhq_gitlabhq.csv,drleviste,4,NA,NA
gitlabhq_gitlabhq.csv,dsander,7,NA,NA
gitlabhq_gitlabhq.csv,dubcanada,5,NA,NA
gitlabhq_gitlabhq.csv,duduribeiro,8,NA,NA
gitlabhq_gitlabhq.csv,duk3luk3,5,NA,NA
gitlabhq_gitlabhq.csv,dzaporozhets,25,NA,NA
gitlabhq_gitlabhq.csv,earldouglas,4,NA,NA
gitlabhq_gitlabhq.csv,elvanja,5,NA,NA
gitlabhq_gitlabhq.csv,erbunao,6,NA,NA
gitlabhq_gitlabhq.csv,erwinschliske,3,NA,NA
gitlabhq_gitlabhq.csv,estrai,3,NA,NA
gitlabhq_gitlabhq.csv,fcat,3,NA,NA
gitlabhq_gitlabhq.csv,fixe,3,NA,NA
gitlabhq_gitlabhq.csv,francisoud,5,NA,NA
gitlabhq_gitlabhq.csv,frlan,5,NA,NA
gitlabhq_gitlabhq.csv,GeorgeDewar,3,NA,NA
gitlabhq_gitlabhq.csv,ghost,35,NA,NA
gitlabhq_gitlabhq.csv,gliptak,8,NA,NA
gitlabhq_gitlabhq.csv,gravis,3,NA,NA
gitlabhq_gitlabhq.csv,helmi2333,3,NA,NA
