Repository,User,Pull Number,Test,Situation,,
gitlabhq_gitlabhq.csv,0X1A,5823,FALSE,Merged,,
gitlabhq_gitlabhq.csv,29decibel,1740,FALSE,Merged,,
gitlabhq_gitlabhq.csv,2rba,8241,FALSE,Merged,,
gitlabhq_gitlabhq.csv,a1ee9b,5764,FALSE,Closed,,
gitlabhq_gitlabhq.csv,aaronsnyder,9664,FALSE,Merged,,
gitlabhq_gitlabhq.csv,ABaldwinHunter,10476,FALSE,Open,,
gitlabhq_gitlabhq.csv,abbotllp,10385,TRUE,Closed,,
gitlabhq_gitlabhq.csv,abner,6579,FALSE,Closed,,
gitlabhq_gitlabhq.csv,abridgett,8988,FALSE,Merged,,
gitlabhq_gitlabhq.csv,Aciid,7578,FALSE,Merged,,
gitlabhq_gitlabhq.csv,adaiguoguo,5525,FALSE,Closed,,
gitlabhq_gitlabhq.csv,adaugherity,4239,FALSE,Merged,,
gitlabhq_gitlabhq.csv,adreyer,9825,FALSE,Merged,,
gitlabhq_gitlabhq.csv,AeroNotix,3535,FALSE,Merged,,
gitlabhq_gitlabhq.csv,agconnor,8754,FALSE,Merged,,
gitlabhq_gitlabhq.csv,AhmedAliGokhy,10492,FALSE,Open,,
gitlabhq_gitlabhq.csv,ahmyi,7242,FALSE,Closed,,
gitlabhq_gitlabhq.csv,Aigeruth,4891,FALSE,Merged,,
gitlabhq_gitlabhq.csv,aihua,10434,FALSE,Closed,,
gitlabhq_gitlabhq.csv,akashima,10414,FALSE,Closed,,
gitlabhq_gitlabhq.csv,akiva,4519,FALSE,Merged,,
gitlabhq_gitlabhq.csv,akoenig,3557,FALSE,Merged,,
gitlabhq_gitlabhq.csv,alankehoe,7002,FALSE,Merged,,
gitlabhq_gitlabhq.csv,aleator83,2873,FALSE,Closed,,
gitlabhq_gitlabhq.csv,alerque,6523,FALSE,Merged,,
gitlabhq_gitlabhq.csv,alexcp,5366,FALSE,Closed,,
gitlabhq_gitlabhq.csv,alexdo,687,FALSE,Merged,,
gitlabhq_gitlabhq.csv,alexvh,4904,FALSE,Merged,,
gitlabhq_gitlabhq.csv,Alirezaies,10413,FALSE,Closed,,
gitlabhq_gitlabhq.csv,alvindu-pw,10472,FALSE,Closed,,
gitlabhq_gitlabhq.csv,amanelis,2751,FALSE,Merged,,
gitlabhq_gitlabhq.csv,amaurymedeiros,9068,TRUE,Closed,,
gitlabhq_gitlabhq.csv,amferraz,884,FALSE,Merged,,
gitlabhq_gitlabhq.csv,amtrack,8015,FALSE,Merged,,
gitlabhq_gitlabhq.csv,andrba,8414,FALSE,Closed,,
gitlabhq_gitlabhq.csv,andreausu,6624,FALSE,Closed,,
gitlabhq_gitlabhq.csv,andrey-yantsen,530,FALSE,Merged,,
gitlabhq_gitlabhq.csv,andruby,4407,FALSE,Merged,,
gitlabhq_gitlabhq.csv,anoldguy,939,FALSE,Closed,,
gitlabhq_gitlabhq.csv,Anthony-Gaudino,1597,FALSE,Merged,,
gitlabhq_gitlabhq.csv,anthonymoralez,3060,FALSE,Closed,,
gitlabhq_gitlabhq.csv,anthonyryan1,5392,FALSE,Merged,,
gitlabhq_gitlabhq.csv,antonini,5670,FALSE,Closed,,
gitlabhq_gitlabhq.csv,apmorton,1636,FALSE,Merged,,
gitlabhq_gitlabhq.csv,arenard,576,FALSE,Merged,,
gitlabhq_gitlabhq.csv,argami,221,FALSE,Merged,,
gitlabhq_gitlabhq.csv,arifumi,9411,FALSE,Closed,,
gitlabhq_gitlabhq.csv,arnaud-zg,9791,FALSE,Merged,,
gitlabhq_gitlabhq.csv,ArthurHoaro,5273,FALSE,Closed,,
gitlabhq_gitlabhq.csv,asfaltboy,1090,FALSE,Merged,,
gitlabhq_gitlabhq.csv,ashleyhindle,9732,FALSE,Merged,,
gitlabhq_gitlabhq.csv,ashumkin,4464,FALSE,Closed,,
gitlabhq_gitlabhq.csv,asiniy,9132,FALSE,Closed,,
gitlabhq_gitlabhq.csv,athos-ribeiro,6231,FALSE,Merged,,
gitlabhq_gitlabhq.csv,Atul9,9938,FALSE,Merged,,
gitlabhq_gitlabhq.csv,atuleu,3197,FALSE,Closed,,
gitlabhq_gitlabhq.csv,augustf,5672,FALSE,Closed,,
gitlabhq_gitlabhq.csv,austinche,1806,FALSE,Closed,,
gitlabhq_gitlabhq.csv,avinassh,5072,FALSE,Merged,,
gitlabhq_gitlabhq.csv,ayufan,8983,FALSE,Closed,,
gitlabhq_gitlabhq.csv,azusa,3583,FALSE,Merged,,
gitlabhq_gitlabhq.csv,BaBL86,8605,FALSE,Merged,,
gitlabhq_gitlabhq.csv,baladkb,10033,FALSE,Closed,,
gitlabhq_gitlabhq.csv,baloo,8869,FALSE,Merged,,
gitlabhq_gitlabhq.csv,barryhatfield,4789,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bassrock,4098,FALSE,Merged,,
gitlabhq_gitlabhq.csv,basvandijk,2712,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bbigras,3674,FALSE,Closed,,
gitlabhq_gitlabhq.csv,beautyfree,5867,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bebehei,6190,FALSE,Merged,,
gitlabhq_gitlabhq.csv,begnini,5879,FALSE,Merged,,
gitlabhq_gitlabhq.csv,benjaminchen,10485,FALSE,Open,,
gitlabhq_gitlabhq.csv,ben-page,3638,FALSE,Closed,,
gitlabhq_gitlabhq.csv,benphelps,923,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bentolor,9422,FALSE,Closed,,
gitlabhq_gitlabhq.csv,benyanke,10454,FALSE,Open,,
gitlabhq_gitlabhq.csv,binford2k,9750,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bionix,7710,FALSE,Closed,,
gitlabhq_gitlabhq.csv,bjaglin,7475,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bjoernh,3522,FALSE,Merged,,
gitlabhq_gitlabhq.csv,blackeyedboy,6851,FALSE,Closed,,
gitlabhq_gitlabhq.csv,blackmanbachen,4946,FALSE,Closed,,
gitlabhq_gitlabhq.csv,blackst0ne,6629,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bluetsx,3332,FALSE,Closed,,
gitlabhq_gitlabhq.csv,blueyed,708,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bobot,5822,FALSE,Closed,,
gitlabhq_gitlabhq.csv,bogdanvlviv,10363,FALSE,Closed,,
gitlabhq_gitlabhq.csv,bojan,9693,FALSE,Merged,,
gitlabhq_gitlabhq.csv,boomshadow,5900,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bovi,6276,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bpaquet,2414,FALSE,Closed,,
gitlabhq_gitlabhq.csv,bramus,6433,FALSE,Merged,,
gitlabhq_gitlabhq.csv,BrandonShutter,3139,FALSE,Merged,,
gitlabhq_gitlabhq.csv,brendanstennett,174,FALSE,Merged,,
gitlabhq_gitlabhq.csv,BrettBukowski,6763,FALSE,Merged,,
gitlabhq_gitlabhq.csv,brianloveswords,5630,FALSE,Closed,,
gitlabhq_gitlabhq.csv,brianmcardle,7394,FALSE,Closed,,
gitlabhq_gitlabhq.csv,brigriffin,10421,FALSE,Closed,,
gitlabhq_gitlabhq.csv,brunoga,5957,FALSE,Merged,,
gitlabhq_gitlabhq.csv,brynary,1029,FALSE,Closed,,
gitlabhq_gitlabhq.csv,bsideup,4895,FALSE,Merged,,
gitlabhq_gitlabhq.csv,buergi,4608,FALSE,Closed,,
gitlabhq_gitlabhq.csv,BupycHuk,8285,FALSE,Closed,,
gitlabhq_gitlabhq.csv,burr86,5296,FALSE,Closed,,
gitlabhq_gitlabhq.csv,bwinterton,6065,FALSE,Merged,,
gitlabhq_gitlabhq.csv,bytheway,6854,FALSE,Closed,,
gitlabhq_gitlabhq.csv,C0deH4cker,7286,FALSE,Closed,,
gitlabhq_gitlabhq.csv,cabeca,2947,FALSE,Merged,,
gitlabhq_gitlabhq.csv,caiwangqin,4743,FALSE,Merged,,
gitlabhq_gitlabhq.csv,caleywoods,1496,FALSE,Merged,,
gitlabhq_gitlabhq.csv,cameronyule,2889,FALSE,Merged,,
gitlabhq_gitlabhq.csv,cao,8847,FALSE,Closed,,
gitlabhq_gitlabhq.csv,cardoe,8280,FALSE,Closed,,
gitlabhq_gitlabhq.csv,carsonoid,5658,FALSE,Closed,,
gitlabhq_gitlabhq.csv,cbordei,6778,FALSE,Merged,,
gitlabhq_gitlabhq.csv,chaixl,4605,FALSE,Merged,,
gitlabhq_gitlabhq.csv,chibani,538,FALSE,Merged,,
gitlabhq_gitlabhq.csv,choppsv1,8448,FALSE,Merged,,
gitlabhq_gitlabhq.csv,chr1831,3619,FALSE,Closed,,
gitlabhq_gitlabhq.csv,chrislawlor,3209,FALSE,Merged,,
gitlabhq_gitlabhq.csv,chris-rock,5693,FALSE,Closed,,
gitlabhq_gitlabhq.csv,chrspeich,9807,FALSE,Merged,,
gitlabhq_gitlabhq.csv,ciarand,3789,FALSE,Closed,,
gitlabhq_gitlabhq.csv,cjwprostar,2713,FALSE,Closed,,
gitlabhq_gitlabhq.csv,CKGrafico,9296,FALSE,Merged,,
gitlabhq_gitlabhq.csv,clayzermk1,5012,FALSE,Merged,,
gitlabhq_gitlabhq.csv,cmaloney,3323,FALSE,Closed,,
gitlabhq_gitlabhq.csv,cmhamill,6934,FALSE,Merged,,
gitlabhq_gitlabhq.csv,cmluciano,8036,FALSE,Closed,,
gitlabhq_gitlabhq.csv,cmodijk,4082,FALSE,Merged,,
gitlabhq_gitlabhq.csv,cmouse,5249,FALSE,Closed,,
gitlabhq_gitlabhq.csv,coagulant,1719,FALSE,Merged,,
gitlabhq_gitlabhq.csv,cocoy,5733,FALSE,Merged,,
gitlabhq_gitlabhq.csv,codec,743,FALSE,Merged,,
gitlabhq_gitlabhq.csv,codeout,2932,FALSE,Merged,,
gitlabhq_gitlabhq.csv,colindean,3423,FALSE,Closed,,
gitlabhq_gitlabhq.csv,Corobi,6161,FALSE,Closed,,
gitlabhq_gitlabhq.csv,corywright,1915,FALSE,Merged,,
gitlabhq_gitlabhq.csv,costela,9147,FALSE,Merged,,
gitlabhq_gitlabhq.csv,count0,7450,FALSE,Closed,,
gitlabhq_gitlabhq.csv,cpuguy83,2186,FALSE,Closed,,
gitlabhq_gitlabhq.csv,crazyjul,2035,FALSE,Closed,,
gitlabhq_gitlabhq.csv,creativepsyco,7345,FALSE,Closed,,
gitlabhq_gitlabhq.csv,creduo,6395,FALSE,Merged,,
gitlabhq_gitlabhq.csv,croemmich,4815,FALSE,Merged,,
gitlabhq_gitlabhq.csv,crystax,3011,FALSE,Merged,,
gitlabhq_gitlabhq.csv,cynddl,6339,FALSE,Merged,,
gitlabhq_gitlabhq.csv,d3m3vilurr,323,FALSE,Merged,,
gitlabhq_gitlabhq.csv,d4nirod,3801,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dalehamel,5292,FALSE,Closed,,
gitlabhq_gitlabhq.csv,dalpo,642,FALSE,Closed,,
gitlabhq_gitlabhq.csv,damianb,1278,FALSE,Closed,,
gitlabhq_gitlabhq.csv,damselem,4113,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dana,3692,FALSE,Merged,,
gitlabhq_gitlabhq.csv,DanBrooker,6884,FALSE,Merged,,
gitlabhq_gitlabhq.csv,DanDragan,5851,FALSE,Merged,,
gitlabhq_gitlabhq.csv,danielcb,4115,FALSE,Merged,,
gitlabhq_gitlabhq.csv,danielmorlock,5281,FALSE,Merged,,
gitlabhq_gitlabhq.csv,danielpuglisi,443,FALSE,Merged,,
gitlabhq_gitlabhq.csv,danillonunes,1641,FALSE,Merged,,
gitlabhq_gitlabhq.csv,danjo133,5752,FALSE,Merged,,
gitlabhq_gitlabhq.csv,darrellnash,3240,FALSE,Merged,,
gitlabhq_gitlabhq.csv,DarthJDG,3275,FALSE,Merged,,
gitlabhq_gitlabhq.csv,DarthNerdus,4702,FALSE,Closed,,
gitlabhq_gitlabhq.csv,dasbh,2993,FALSE,Closed,,
gitlabhq_gitlabhq.csv,davidfraser,7643,FALSE,Closed,,
gitlabhq_gitlabhq.csv,davidguttman,604,FALSE,Closed,,
gitlabhq_gitlabhq.csv,davidosomething,3104,FALSE,Merged,,
gitlabhq_gitlabhq.csv,davidreuss,3565,FALSE,Closed,,
gitlabhq_gitlabhq.csv,davrodpin,10030,FALSE,Merged,,
gitlabhq_gitlabhq.csv,davydovanton,9846,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dbland1026,4606,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dbr,231,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dcballs,5684,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dearshor,5093,FALSE,Merged,,
gitlabhq_gitlabhq.csv,Decipher,4791,FALSE,Merged,,
gitlabhq_gitlabhq.csv,DefV,3605,FALSE,Closed,,
gitlabhq_gitlabhq.csv,DejaAugustine,2695,FALSE,Merged,,
gitlabhq_gitlabhq.csv,Dekadencee,4553,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dekimsey,4484,FALSE,Merged,,
gitlabhq_gitlabhq.csv,demelziraptor,824,FALSE,Merged,,
gitlabhq_gitlabhq.csv,demisx,6825,FALSE,Merged,,
gitlabhq_gitlabhq.csv,demosdemon,5605,FALSE,Closed,,
gitlabhq_gitlabhq.csv,Deradon,3656,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dermoth,5759,FALSE,Merged,,
gitlabhq_gitlabhq.csv,DerZauberer,3408,FALSE,Merged,,
gitlabhq_gitlabhq.csv,devblueray,6885,FALSE,Closed,,
gitlabhq_gitlabhq.csv,devote,3073,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dex4er,5469,FALSE,Merged,,
gitlabhq_gitlabhq.csv,digitaldawn,4676,FALSE,Closed,,
gitlabhq_gitlabhq.csv,diguage,8259,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dilcom,8741,FALSE,Closed,,
gitlabhq_gitlabhq.csv,dirkboye,3592,FALSE,Closed,,
gitlabhq_gitlabhq.csv,dirker,4349,FALSE,Closed,,
gitlabhq_gitlabhq.csv,DirkR,5165,FALSE,Closed,,
gitlabhq_gitlabhq.csv,dkreuer,5396,FALSE,Closed,,
gitlabhq_gitlabhq.csv,dleavitt,31,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dlorch,6529,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dluchinienoc,8243,FALSE,Closed,,
gitlabhq_gitlabhq.csv,dolanor,2054,FALSE,Closed,,
gitlabhq_gitlabhq.csv,donhui,10336,FALSE,Closed,,
gitlabhq_gitlabhq.csv,donoftime,9373,FALSE,Merged,,
gitlabhq_gitlabhq.csv,Dougjns4,10368,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dpenezic,6302,FALSE,Closed,,
gitlabhq_gitlabhq.csv,dplarson,3504,FALSE,Closed,,
gitlabhq_gitlabhq.csv,dprolife,5896,FALSE,Closed,,
gitlabhq_gitlabhq.csv,drahamim,3469,FALSE,Closed,,
gitlabhq_gitlabhq.csv,drf,1906,FALSE,Merged,,
gitlabhq_gitlabhq.csv,drnic,94,FALSE,Merged,,
gitlabhq_gitlabhq.csv,drobati,9762,FALSE,Merged,,
gitlabhq_gitlabhq.csv,drollins,88,FALSE,Merged,,
gitlabhq_gitlabhq.csv,drt24,1067,FALSE,Merged,,
gitlabhq_gitlabhq.csv,druidvav,337,FALSE,Merged,,
gitlabhq_gitlabhq.csv,drunkard,8726,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dsekretov,4860,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dtan4,6958,FALSE,Closed,,
gitlabhq_gitlabhq.csv,dukex,9614,FALSE,Closed,,
gitlabhq_gitlabhq.csv,duksis,2015,FALSE,Merged,,
gitlabhq_gitlabhq.csv,dukz,1887,FALSE,Closed,,
