Repository,User,Pull number,Test,Situation,,
gitlabhq_gitlabhq.csv,barendt,1981,TRUE,Merged,NA,NA
gitlabhq_gitlabhq.csv,barendt,1981,TRUE,Merged,NA,NA
openshift_origin-server.csv,Bilhar-rh,5640,TRUE,Merged,NA,NA
openshift_origin-server.csv,kevinconaway,5683,TRUE,Merged,NA,NA
rails_rails.csv,Ana06,33547,TRUE,Merged,NA,NA
rails_rails.csv,arye-dov-eidelman,33409,TRUE,Merged,NA,NA
rails_rails.csv,bkuhlmann,33020,TRUE,Merged,NA,NA
rails_rails.csv,brchristian,33521,TRUE,Merged,NA,NA
rails_rails.csv,buehmann,32076,TRUE,Merged,NA,NA
rails_rails.csv,chrisarcand,32549,TRUE,Merged,NA,NA
rails_rails.csv,christianblais,32167,TRUE,Merged,NA,NA
rails_rails.csv,cllns,32034,TRUE,Merged,NA,NA
rails_rails.csv,CodingAnarchy,33067,TRUE,Merged,NA,NA
rails_rails.csv,cseelus,33394,TRUE,Merged,NA,NA
rails_rails.csv,danhuynhdev,32523,TRUE,Merged,NA,NA
rails_rails.csv,dan-jensen,33114,TRUE,Merged,NA,NA
rails_rails.csv,derekprior,32645,TRUE,Merged,NA,NA
rails_rails.csv,dharamgollapudi,32037,TRUE,Merged,NA,NA
rails_rails.csv,eric-hemasystems,33568,TRUE,Merged,NA,NA
rails_rails.csv,fedxgibson,33028,TRUE,Merged,NA,NA
rails_rails.csv,g13ydson,33093,TRUE,Merged,NA,NA
rails_rails.csv,gauravtiwari,30252,TRUE,Merged,NA,NA
rails_rails.csv,Geesu,31102,TRUE,Merged,NA,NA
rails_rails.csv,guilherme,30004,TRUE,Merged,NA,NA
rails_rails.csv,jamiemccarthy,30920,TRUE,Merged,NA,NA
rails_rails.csv,jasonroelofs,33615,TRUE,Merged,NA,NA
rails_rails.csv,Jcambass,33322,TRUE,Merged,NA,NA
rails_rails.csv,KevinSjoberg,33075,TRUE,Merged,NA,NA
rails_rails.csv,kinnrot,31178,TRUE,Merged,NA,NA
rails_rails.csv,krusty3002,33684,TRUE,Merged,NA,NA
rails_rails.csv,kylekeesling,32477,TRUE,Merged,NA,NA
rails_rails.csv,lxxxvi,33317,TRUE,Merged,NA,NA
rails_rails.csv,manojmj92,30394,TRUE,Merged,NA,NA
rails_rails.csv,matrinox,32441,TRUE,Merged,NA,NA
rails_rails.csv,MaxLap,29877,TRUE,Merged,NA,NA
rails_rails.csv,mberlanda,33813,TRUE,Merged,NA,NA
rails_rails.csv,mcnelson,33770,TRUE,Merged,NA,NA
rails_rails.csv,mltsy,31194,TRUE,Merged,NA,NA
rails_rails.csv,morygonzalez,31596,TRUE,Merged,NA,NA
rails_rails.csv,M-Sayed,32213,TRUE,Merged,NA,NA
rails_rails.csv,mtsmfm,31177,TRUE,Merged,NA,NA
rails_rails.csv,nobu,31591,TRUE,Merged,NA,NA
rails_rails.csv,ohbarye,30196,TRUE,Merged,NA,NA
rails_rails.csv,okkez,32134,TRUE,Merged,NA,NA
rails_rails.csv,oNguyenTienManh,32674,TRUE,Merged,NA,NA
rails_rails.csv,patrickdavey,30759,TRUE,Merged,NA,NA
rails_rails.csv,ptolts,31348,TRUE,Merged,NA,NA
rails_rails.csv,remofritzsche,31503,TRUE,Merged,NA,NA
rails_rails.csv,ruralocity,32981,TRUE,Merged,NA,NA
rails_rails.csv,sasurai-usagi3,33058,TRUE,Merged,NA,NA
rails_rails.csv,SGospodinov,31279,TRUE,Merged,NA,NA
rails_rails.csv,st0012,30398,TRUE,Merged,NA,NA
rails_rails.csv,steakknife,32882,TRUE,Merged,NA,NA
rails_rails.csv,swrobel,31407,TRUE,Merged,NA,NA
rails_rails.csv,ta1kt0me,31053,TRUE,Merged,NA,NA
rails_rails.csv,thomasdziedzic-pd,33171,TRUE,Merged,NA,NA
rails_rails.csv,twalpole,32150,TRUE,Merged,NA,NA
rails_rails.csv,untidy-hair,30214,TRUE,Merged,NA,NA
rails_rails.csv,urbanautomaton,32417,TRUE,Merged,NA,NA
rails_rails.csv,vaidehijoshi,33148,TRUE,Merged,NA,NA
rails_rails.csv,weedySeaDragon,31230,TRUE,Merged,NA,NA
rails_rails.csv,yujideveloper,32472,TRUE,Merged,NA,NA
rails_rails.csv,zinovyev,31520,TRUE,Merged,NA,NA
rails_rails.csv,zoltankiss,30513,TRUE,Merged,NA,NA
woolly-bear-caterpillars-2014_threeSentences.csv,NULL,11,TRUE,Merged,NA,NA
