Repository,User,Pull number,Test,Situation
gitlabhq/gitlabhq,MrKeiKun,6527,TRUE,Merged
gitlabhq/gitlabhq,seuros,7873,TRUE,Merged
gitlabhq/gitlabhq,snowzjx,7170,TRUE,Merged
gitlabhq/gitlabhq,MrKeiKun,6527,TRUE,Merged
gitlabhq/gitlabhq,seuros,7873,TRUE,Merged
gitlabhq/gitlabhq,snowzjx,7170,TRUE,Merged
moneyadviceservice/rad/consumer,norm,300,TRUE,Merged
openshift/origin-server,abutcher,6137,TRUE,Merged
openshift/origin-server,carabasdaniel,5431,TRUE,Merged
openshift/origin-server,dashea,6078,TRUE,Merged
openshift/origin-server,jphager2,5875,TRUE,Merged
openshift/origin-server,matejonnet,1743,TRUE,Merged
openshift/origin-server,matthicksj,3624,TRUE,Merged
openshift/origin-server,ParthKolekar,6174,TRUE,Merged
openshift/origin-server,smerrill,3522,TRUE,Merged
rails/rails,abartov,33949,TRUE,Merged
rails/rails,abhikanojia,32144,TRUE,Merged
rails/rails,aki77,32932,TRUE,Merged
rails/rails,alecspopa,30676,TRUE,Merged
rails/rails,alexmorten,32837,TRUE,Merged
rails/rails,alfonsojimenez,30244,TRUE,Merged
rails/rails,Altech,30927,TRUE,Merged
rails/rails,Antronin,33723,TRUE,Merged
rails/rails,Aquaj,31578,TRUE,Merged
rails/rails,araslanov-e,33541,TRUE,Merged
rails/rails,arkaitzgarro,32520,TRUE,Merged
rails/rails,armcburney,31934,TRUE,Merged
rails/rails,artofhuman,30674,TRUE,Merged
rails/rails,arturictus,33766,TRUE,Merged
rails/rails,as3richa,32231,TRUE,Merged
rails/rails,asianmack,32733,TRUE,Merged
rails/rails,atd,30773,TRUE,Merged
rails/rails,awlamb,32921,TRUE,Merged
rails/rails,aycabta,31117,TRUE,Merged
rails/rails,bbonislawski,31074,TRUE,Merged
rails/rails,BenMusch,29872,TRUE,Merged
rails/rails,berlintam,30953,TRUE,Merged
rails/rails,born4new,32665,TRUE,Merged
rails/rails,boykoc,30285,TRUE,Merged
rails/rails,brendanthomas1,30901,TRUE,Merged
rails/rails,bslobodin,30016,TRUE,Merged
rails/rails,cben,31615,TRUE,Merged
rails/rails,cbisnett,33882,TRUE,Merged
rails/rails,cdpalmer,31289,TRUE,Merged
rails/rails,CicholGricenchos,30073,TRUE,Merged
rails/rails,cjlarose,31174,TRUE,Merged
rails/rails,CristopherVidalMachado,33571,TRUE,Merged
rails/rails,da-edra,33479,TRUE,Merged
rails/rails,danillop,31361,TRUE,Merged
rails/rails,dansteele,30421,TRUE,Merged
rails/rails,darwin67,33637,TRUE,Merged
rails/rails,davidcelis,33932,TRUE,Merged
rails/rails,DavidJRobertson,32900,TRUE,Merged
rails/rails,dimroc,30879,TRUE,Merged
rails/rails,dmitri-d,31287,TRUE,Merged
rails/rails,DmytroVasin,32573,TRUE,Merged
rails/rails,duduribeiro,33832,TRUE,Merged
rails/rails,dustMason,30367,TRUE,Merged
rails/rails,EarthSchlange,32427,TRUE,Merged
rails/rails,elainefang,32274,TRUE,Merged
rails/rails,erichmachado,30786,TRUE,Merged
rails/rails,fakenine,32087,TRUE,Merged
rails/rails,felipecvo,30789,TRUE,Merged
