Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
ManageIQ/manageiq,open,18327,03dd37894decba2b725da749c43e2191f587c40a,spec/lib/task_helpers/imports/data/widgets/Test_Widget.yaml,added,128,0,d-m-u,2019-01-03 19:19:31,2019-01-03 19:19:31,0,0,,
ManageIQ/manageiq,open,18327,d2bea7ca8d4398af7f5db724af90b6351bef4e07,spec/lib/task_helpers/imports/data/widgets/Test_Widget_Import.yaml,added,127,0,d-m-u,2019-01-03 19:19:31,2019-01-03 19:19:31,0,0,,
ManageIQ/manageiq,open,18327,d06e3834f1a37e89e27fa411cb38aa724cfbd3d4,spec/lib/task_helpers/imports/data/widgets/Test_Widget_attr_error.yml,added,128,0,d-m-u,2019-01-03 19:19:31,2019-01-03 19:19:31,0,0,,
ManageIQ/manageiq,open,18327,1196045986c1e29a47734077c2a8ca41bbc64768,spec/lib/task_helpers/imports/data/widgets/Test_Widget_runtime_error.yml,added,128,0,d-m-u,2019-01-03 19:19:31,2019-01-03 19:19:31,0,0,,
ManageIQ/manageiq,open,18327,185592a449890c2c7b98d90dcdea598728302fd2,spec/lib/task_helpers/imports/data/widgets/Test_Widget_update.yml,added,115,0,d-m-u,2019-01-03 19:19:31,2019-01-03 19:19:31,0,0,,
ManageIQ/manageiq,open,18165,aeeefcea69b518f79270de0cc2a53731d7896a09,spec/lib/task_helpers/imports/data/policies/Bad_Policy_Import_Test.yml,modified,1,1,romanblanco,2018-11-05 22:17:23,2018-11-05 22:17:23,0,0,,
ManageIQ/manageiq,open,18165,a7105e2fab8ddc83043d80edbc213c41755820ce,spec/lib/task_helpers/imports/data/policies/Policy_Import_Test.yaml,modified,1,1,romanblanco,2018-11-05 22:17:23,2018-11-05 22:17:23,0,0,,
ManageIQ/manageiq,open,18165,3b4c20c04ef63257e0c12653ce96915b18fb21a1,spec/lib/task_helpers/imports/data/policies/Policy_Import_Test_2.yaml,modified,1,1,romanblanco,2018-11-05 22:17:23,2018-11-05 22:17:23,0,0,,
ManageIQ/manageiq,open,18165,e8eca011377f86ff1764441900551dfe546896f5,spec/lib/task_helpers/imports/data/policy_sets/Bad_Policy_Profile_Import_Test.yml,modified,1,1,romanblanco,2018-11-05 22:17:23,2018-11-05 22:17:23,0,0,,
ManageIQ/manageiq,open,18165,a70ef86bb6b98049395ce76b9fa315254bed7f88,spec/lib/task_helpers/imports/data/policy_sets/Policy_Profile_Import_Test.yaml,modified,1,1,romanblanco,2018-11-05 22:17:23,2018-11-05 22:17:23,0,0,,
ManageIQ/manageiq,open,18165,4eb2917f5553273e0f75c4994e404864a3b4b9ab,spec/lib/task_helpers/imports/data/policy_sets/Policy_Profile_Import_Test_2.yaml,modified,1,1,romanblanco,2018-11-05 22:17:23,2018-11-05 22:17:23,0,0,,
ManageIQ/manageiq,closed,18328,438c3bc8a638ad1337666a259f98ec2eb23e390b,spec/models/manageiq/providers/inventory/persister/test_persister.rb,modified,0,12,d-m-u,2019-01-03 19:54:01,2019-01-03 19:54:01,2019-01-04 20:12:42,2019-01-04 20:12:41,,
ManageIQ/manageiq,closed,18284,38db49afbf5bd52230658228b10fbd90c79f8fe5,spec/lib/task_helpers/imports/data/reports/Test_Report.yaml,added,86,0,NickLaMuro,2018-12-12 00:28:10,2018-12-12 00:28:10,2018-12-20 16:55:33,2018-12-20 16:55:33,,
ManageIQ/manageiq,closed,18284,0dd9eb460c9cc98864e9e30ce1a67ec5419992f5,spec/lib/task_helpers/imports/data/reports/Test_Report_-_Chargeback.yaml,added,157,0,NickLaMuro,2018-12-12 00:28:10,2018-12-12 00:28:10,2018-12-20 16:55:33,2018-12-20 16:55:33,,
ManageIQ/manageiq,closed,18284,5ac3f23d551327dee1872bb0045ae1a8a5f97302,spec/lib/task_helpers/imports/data/reports/Test_Report_attr_error.yml,added,86,0,NickLaMuro,2018-12-12 00:28:10,2018-12-12 00:28:10,2018-12-20 16:55:33,2018-12-20 16:55:33,,
ManageIQ/manageiq,closed,18284,ca14ee3b04c8b07d2bc636b47a54d02a57eaaadd,spec/lib/task_helpers/imports/data/reports/Test_Report_runtime_error.yml,added,86,0,NickLaMuro,2018-12-12 00:28:10,2018-12-12 00:28:10,2018-12-20 16:55:33,2018-12-20 16:55:33,,
ManageIQ/manageiq,closed,18284,9aab2cab55f68926cf5e6b59873f558cf856c090,spec/lib/task_helpers/imports/data/reports/Test_Report_update.yml,added,90,0,NickLaMuro,2018-12-12 00:28:10,2018-12-12 00:28:10,2018-12-20 16:55:33,2018-12-20 16:55:33,,
ManageIQ/manageiq,closed,18279,a12b028bd04b5b256b5f713cdb1f4adfad132a1e,config/environments/test.rb,modified,1,1,himdel,2018-12-10 22:19:32,2018-12-10 22:19:32,2018-12-12 12:10:24,2018-12-12 12:10:24,,
ManageIQ/manageiq,closed,18228,11f6005d399e73aadc22fd2cf5e68f64263169ce,config/environments/test.rb,modified,2,0,borod108,2018-11-22 10:06:19,2018-11-22 10:06:19,2018-11-26 16:51:38,2018-11-26 16:51:37,,
ManageIQ/manageiq,closed,17980,cae72a6580f082cfb188f06471e8b0b502683d4c,lib/tasks/test_providers_common.rake,added,15,0,Fryguy,2018-09-12 18:37:08,2018-09-12 18:37:08,2018-09-12 18:59:16,2018-09-12 18:59:16,,
ManageIQ/manageiq,closed,17862,682273f2a4f4c0bdb0856f1326284df1be91784e,spec/models/manager_refresh/persister/test_collector.rb,added,80,0,hstastna,2018-08-15 15:15:19,2018-08-15 15:15:19,2018-09-12 12:03:15,NA,,
ManageIQ/manageiq,closed,17862,72f55f5f161d463a47c7e88fb07ebac4c2b39e1a,spec/models/manager_refresh/persister/test_containers_persister.rb,added,34,0,hstastna,2018-08-15 15:15:19,2018-08-15 15:15:19,2018-09-12 12:03:15,NA,,
ManageIQ/manageiq,closed,17739,3dcecd9395a5be5aeb9509ce64556e0f2223217b,spec/lib/task_helpers/imports/data/provision_dialogs/MiqProvisionWorkflow-test2_miq_provision_dialogs_template.yaml,added,770,0,mzazrivec,2018-07-22 02:56:36,2018-07-22 02:56:36,2018-08-01 17:19:14,2018-08-01 17:19:14,,
ManageIQ/manageiq,closed,17739,d097a7c00682c49bbff261003b325c1e65304098,spec/lib/task_helpers/imports/data/provision_dialogs/MiqProvisionWorkflow-test_miq_provision_dialogs_template.yaml,added,769,0,mzazrivec,2018-07-22 02:56:36,2018-07-22 02:56:36,2018-08-01 17:19:14,2018-08-01 17:19:14,,
ManageIQ/manageiq,closed,17739,e1f952d818f659e3ce89b0d12a5a598bbb9a8c61,spec/lib/task_helpers/imports/data/provision_dialogs/MiqProvisionWorkflow-test_miq_provision_dialogs_template_modified.yml,added,769,0,mzazrivec,2018-07-22 02:56:36,2018-07-22 02:56:36,2018-08-01 17:19:14,2018-08-01 17:19:14,,
ManageIQ/manageiq,closed,17680,f2afe3d60aca29f6325632e01939d822e8dec703,spec/models/manager_refresh/persister/test_persister.rb,modified,102,109,bzwei,2018-07-09 16:16:09,2018-07-09 16:16:09,2018-07-11 16:46:39,2018-07-11 16:46:39,,
ManageIQ/manageiq,closed,17448,a0c487eb1c5b3dc6eb0aa46b7a01e901ca536865,spec/tools/environment_builders/openstack/tests/interaction_methods_spec.rb,modified,1,1,eclarizio,2018-05-20 21:26:32,2018-05-20 21:26:32,2018-05-21 19:49:17,2018-05-21 19:49:17,,
ManageIQ/manageiq,closed,17361,96e8c1f099617e39726de7ef3c63192354af3b7a,spec/models/manager_refresh/persister/test_persister.rb,modified,2,2,robbmanes,2018-04-27 09:16:24,2018-04-27 09:16:24,2018-05-03 14:57:05,2018-05-03 14:57:05,,
ManageIQ/manageiq,closed,17241,4d761ebfec989a72101e9b4915625ec6a1864d23,spec/lib/task_helpers/imports/data/service_dialogs/Test_Dialog.yaml,added,117,0,bzwei,2018-04-02 00:59:46,2018-04-02 00:59:46,2018-04-27 19:24:04,2018-04-27 19:24:04,,
ManageIQ/manageiq,closed,16983,ca01193df84502b578ecaad05847fadbbb3b8731,spec/lib/task_helpers/imports/data/tags/Import_Test.yaml,added,33,0,mzazrivec,2018-02-09 18:08:51,2018-02-09 18:08:51,2018-04-17 16:40:08,2018-04-17 16:40:08,,
ManageIQ/manageiq,closed,16983,b1fc64287a741ede310e7a24910e7ce98ab575e1,spec/lib/task_helpers/imports/data/tags/Tag_Test_Fail_Cat.yml,added,33,0,mzazrivec,2018-02-09 18:08:51,2018-02-09 18:08:51,2018-04-17 16:40:08,2018-04-17 16:40:08,,
ManageIQ/manageiq,closed,16983,800bbf5be57c29321e8aa37d46b6f62efa7065ef,spec/lib/task_helpers/imports/data/tags/Tag_Test_Fail_Cat_Yaml.yml,added,33,0,mzazrivec,2018-02-09 18:08:51,2018-02-09 18:08:51,2018-04-17 16:40:08,2018-04-17 16:40:08,,
ManageIQ/manageiq,closed,16983,ce1fca2ce4568902d900c61125b0c18221a28556,spec/lib/task_helpers/imports/data/tags/Tag_Test_Fail_Entry.yml,added,53,0,mzazrivec,2018-02-09 18:08:51,2018-02-09 18:08:51,2018-04-17 16:40:08,2018-04-17 16:40:08,,
ManageIQ/manageiq,closed,16969,6043e3187933ed2fdf89f3bcdb9746a9e2350f5c,spec/models/manager_refresh/persister/test_containers_persister.rb,added,391,0,jntullo,2018-02-08 12:40:44,2018-02-08 12:40:44,2018-08-27 16:58:08,NA,,
ManageIQ/manageiq,closed,16847,16ccd4946a9dbecd527dcf3624113d37fc5772e1,spec/tools/environment_builders/openstack/tests/interaction_methods_spec.rb,modified,1,1,JPrause,2018-01-18 18:51:32,2018-01-18 18:51:32,2018-01-23 16:39:08,2018-01-23 16:39:07,,
ManageIQ/manageiq,closed,16741,82f47fe45c57692761de541d785209923382fb2e,spec/models/manager_refresh/persister/test_persister.rb,modified,16,6,cfcosta,2018-01-04 09:10:54,2018-01-04 09:10:54,2018-02-05 18:05:31,2018-02-05 18:05:31,,
ManageIQ/manageiq,closed,16717,3d2c624ce1532401be0ba89fc79ce93f8a1e6eb0,spec/lib/task_helpers/imports/data/roles/Bad_Role_Import_Test.yml,added,6,0,borod108,2017-12-22 00:29:04,2017-12-22 00:29:04,2018-01-30 15:53:22,2018-01-30 15:53:22,,
ManageIQ/manageiq,closed,16717,af0031b30f0501e296c8255d0a11ede041f2a3ff,spec/lib/task_helpers/imports/data/roles/Role_Import_Test.yaml,added,8,0,borod108,2017-12-22 00:29:04,2017-12-22 00:29:04,2018-01-30 15:53:22,2018-01-30 15:53:22,,
ManageIQ/manageiq,closed,16717,430b3e460ebfee8f245092221636fece7e67deae,spec/lib/task_helpers/imports/data/roles/Role_Import_Test_2.yaml,added,7,0,borod108,2017-12-22 00:29:04,2017-12-22 00:29:04,2018-01-30 15:53:22,2018-01-30 15:53:22,,
