Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
ballauriena/artspace,closed,146,110b753977d2d35a5629f87d8971ff24af6e93b9,app/assets/javascripts/calendar/make_creation_calendar.js,removed,0,53,NULL,2014-03-06 18:06:50,2014-03-06 18:06:50,2014-03-10 19:20:22,2014-03-10 19:20:22,,
ballauriena/artspace,closed,146,b4e98741f5663ca71d6e7f1da7b8b0272d9f9385,app/assets/javascripts/calendar/marked_for_removal/make_availability_edit_calendar.js,removed,0,52,NULL,2014-03-06 18:06:50,2014-03-06 18:06:50,2014-03-10 19:20:22,2014-03-10 19:20:22,,
ballauriena/artspace,closed,146,658abc866a9c3fb0e311d0fb1af9320ff6953dde,app/assets/javascripts/calendar/marked_for_removal/make_calendar.js,removed,0,109,NULL,2014-03-06 18:06:50,2014-03-06 18:06:50,2014-03-10 19:20:22,2014-03-10 19:20:22,,
ballauriena/artspace,closed,146,e08b7a748a81c26537b0498b31b912b6c686966f,app/controllers/application_controller.rb,modified,0,38,NULL,2014-03-06 18:06:50,2014-03-06 18:06:50,2014-03-10 19:20:22,2014-03-10 19:20:22,,
ballauriena/artspace,closed,146,17fc8610c61dff9f2ae6ad2529e33bcc8c3b298c,app/controllers/availabilities_controller.rb,modified,0,28,NULL,2014-03-06 18:06:50,2014-03-06 18:06:50,2014-03-10 19:20:22,2014-03-10 19:20:22,,
ballauriena/artspace,closed,146,f49ad4f530b67331eef8bfe6a4b59014372f61bc,app/controllers/payments_controller.rb,modified,0,32,NULL,2014-03-06 18:06:50,2014-03-06 18:06:50,2014-03-10 19:20:22,2014-03-10 19:20:22,,
ballauriena/artspace,closed,146,06bf998fb8f0eabda286409eaedcdfa6a40687ec,app/controllers/reservations_controller.rb,modified,0,10,NULL,2014-03-06 18:06:50,2014-03-06 18:06:50,2014-03-10 19:20:22,2014-03-10 19:20:22,,
ballauriena/artspace,closed,145,9f5eb46a557584c033aeca7c27116e73f294b5d6,app/controllers/reservation_helpers.rb,modified,5,5,ballauriena,2014-03-06 13:44:40,2014-03-06 13:44:40,2014-03-06 14:53:35,2014-03-06 14:53:35,,
ballauriena/artspace,closed,145,12f42a66e1fc68759b355d5fdb240239c15868df,db/seeds.rb,modified,5,1,ballauriena,2014-03-06 13:44:40,2014-03-06 13:44:40,2014-03-06 14:53:35,2014-03-06 14:53:35,,
ballauriena/artspace,closed,144,6b162b4a4263ecf60fce38efb2954f38c77ffe0f,Gemfile,modified,3,0,bneuman619,2014-03-06 02:17:07,2014-03-06 02:17:07,2014-03-06 02:26:55,2014-03-06 02:26:55,,
ballauriena/artspace,closed,144,e27b56c0f6b4831f1cff9f819890b1ee12f00b4f,Gemfile.lock,modified,2,0,bneuman619,2014-03-06 02:17:07,2014-03-06 02:17:07,2014-03-06 02:26:55,2014-03-06 02:26:55,,
ballauriena/artspace,closed,144,b890b2b8426a27bdbb9b4216c995eb640dbea7f4,app/assets/stylesheets/application.css,modified,1,0,bneuman619,2014-03-06 02:17:07,2014-03-06 02:17:07,2014-03-06 02:26:55,2014-03-06 02:26:55,,
ballauriena/artspace,closed,143,2589d71a8eeaf4f31654c70ff6f9b0df50420f97,app/assets/stylesheets/spaces_show.css,modified,1,1,ballauriena,2014-03-05 22:46:32,2014-03-05 22:46:32,2014-03-05 22:46:34,2014-03-05 22:46:34,,
ballauriena/artspace,closed,143,401f9f97cafa1e1c4087d8d6e4f9713d20956b18,app/assets/stylesheets/welcome.css.scss,modified,2,1,ballauriena,2014-03-05 22:46:32,2014-03-05 22:46:32,2014-03-05 22:46:34,2014-03-05 22:46:34,,
ballauriena/artspace,closed,143,ede98347e525bb1e26b0a164906a246bd9fad5e0,db/seeds.rb,modified,1,1,ballauriena,2014-03-05 22:46:32,2014-03-05 22:46:32,2014-03-05 22:46:34,2014-03-05 22:46:34,,
ballauriena/artspace,closed,142,21333e6de61aa8f6c5200ac109e75a374054ffde,db/seeds.rb,modified,40,21,bneuman619,2014-03-05 22:28:22,2014-03-05 22:28:22,2014-03-05 22:28:28,2014-03-05 22:28:28,,
ballauriena/artspace,closed,141,13d850bb4a6b242f4073b97495cfaa91b47ec90a,db/seeds.rb,modified,1,3,Carpk,2014-03-05 22:18:16,2014-03-05 22:18:16,2014-03-05 22:18:29,2014-03-05 22:18:29,,
ballauriena/artspace,closed,140,6a6c41018e9d41eb51ffef673f6fb8ed9c9eea10,app/assets/stylesheets/cal.css.scss,modified,1,1,bneuman619,2014-03-05 21:55:13,2014-03-05 21:55:13,2014-03-05 22:18:39,2014-03-05 22:18:39,,
ballauriena/artspace,closed,140,79dac7392a582a54a2dfee43f48af2dae430d9c0,app/assets/stylesheets/spaces_show.css,modified,1,5,bneuman619,2014-03-05 21:55:13,2014-03-05 21:55:13,2014-03-05 22:18:39,2014-03-05 22:18:39,,
ballauriena/artspace,closed,139,24a43c9f33445dac3063d9ca3f6e6e4cd744bb40,app/assets/stylesheets/sass_cleanup.css.scss,added,7,0,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,c0e3fa34dcb40cd383b3639438690b2082ecddf2,app/assets/stylesheets/welcome.css.scss,modified,74,69,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,f76b15a8e61065f462ff9c202a100a85adfe0eb4,app/views/sessions/new.html.erb,modified,1,1,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,c68a2e87fdbe07c12507ca86979396932e4ceb73,app/views/shared/_availability_calendar.html.erb,modified,1,1,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,852a21f652fe5e6817de10f5a9caefbc152c7aa9,app/views/shared/_calendar.html.erb,modified,1,1,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,6713f4f4e61aaf90c4122686df26e9391b7a5354,app/views/shared/_edit_availability_calendar.html.erb,modified,1,1,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,96be1e7036b9c5c6eeaa67fb621af15f40b7e842,app/views/shared/_search.html.erb,modified,1,1,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,33fe488a9b6719a278aa8870b3efad28e93a1d99,app/views/shared/_space_form.html.erb,modified,1,1,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,5fa4bae364280bfd658fbf5e14a8c3ea2370b230,app/views/shared/_user_form.html.erb,modified,1,1,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,d98d20052ccb84162b62f389a9ae49407bcd836f,app/views/spaces/edit.html.erb,modified,1,1,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,5a18d9a7de9674f318cd7720acc2d7a9f63b07b0,app/views/spaces/edit_pic.html.erb,modified,2,2,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,e56b6a4115db87dea9d65f8a12a21cd6abd4d8fc,app/views/users/manage.html.erb,modified,1,1,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,139,e18748c1f3df6f1ce727493bc784ce1da95ffa4e,app/views/welcome/index.html.erb,modified,11,11,ballauriena,2014-03-05 21:55:05,2014-03-05 21:55:05,2014-03-05 22:18:09,2014-03-05 22:18:09,,
ballauriena/artspace,closed,138,ef2d16f06ae8d4c0366a75ef3e689f1ef6154c98,app/assets/javascripts/upload_image.js,modified,2,1,ballauriena,2014-03-05 21:09:02,2014-03-05 21:09:02,2014-03-05 21:10:05,2014-03-05 21:10:05,,
ballauriena/artspace,closed,138,e67466ac9e6a09013ac7e5ec6d81811e9a5b4de7,app/controllers/spaces_controller.rb,modified,2,1,ballauriena,2014-03-05 21:09:02,2014-03-05 21:09:02,2014-03-05 21:10:05,2014-03-05 21:10:05,,
ballauriena/artspace,closed,137,10b3b309bdea9ef00208d135e5397f460bed0020,app/assets/stylesheets/cal.css.scss,modified,2,0,Carpk,2014-03-05 20:31:02,2014-03-05 20:31:02,2014-03-05 21:12:04,2014-03-05 21:12:04,,
ballauriena/artspace,closed,137,66d4be6f13f3da4ec08f48f174fb7aa57327dd05,app/assets/stylesheets/manage.css.scss,modified,4,0,Carpk,2014-03-05 20:31:02,2014-03-05 20:31:02,2014-03-05 21:12:04,2014-03-05 21:12:04,,
ballauriena/artspace,closed,137,a4115c0a9a7d9c1531a9e8b1e73ae53cd3b82783,app/assets/stylesheets/spaces_show.css,modified,1,0,Carpk,2014-03-05 20:31:02,2014-03-05 20:31:02,2014-03-05 21:12:04,2014-03-05 21:12:04,,
ballauriena/artspace,closed,137,2d4d31c9de1221a9777c69a71271771f5f39850a,app/views/users/manage.html.erb,modified,6,5,Carpk,2014-03-05 20:31:02,2014-03-05 20:31:02,2014-03-05 21:12:04,2014-03-05 21:12:04,,
ballauriena/artspace,closed,136,0859790bb77aebbbbfc8bf072dc9fc08e6a902f5,app/controllers/spaces_controller.rb,modified,33,108,ballauriena,2014-03-05 20:22:56,2014-03-05 20:22:56,2014-03-05 20:30:39,2014-03-05 20:30:39,,
ballauriena/artspace,closed,136,0268cd08ebcc8a69d46c5019e3acae1658f206e0,app/views/spaces/new.html.erb,modified,3,0,ballauriena,2014-03-05 20:22:56,2014-03-05 20:22:56,2014-03-05 20:30:39,2014-03-05 20:30:39,,
ballauriena/artspace,closed,136,ba515dcf5d804856ebead18375f714691e19fa65,config/routes.rb,modified,1,1,ballauriena,2014-03-05 20:22:56,2014-03-05 20:22:56,2014-03-05 20:30:39,2014-03-05 20:30:39,,
ballauriena/artspace,closed,135,26b37327438fb62496163dedfb54317fb2125a00,app/assets/javascripts/upload_image.js,modified,1,2,KevinFalank,2014-03-05 20:17:04,2014-03-05 20:17:04,2014-03-05 20:17:31,2014-03-05 20:17:31,,
ballauriena/artspace,closed,135,ab9b29ace87d2098a835532204b4b8cf61723d8c,app/views/shared/_pic_form.html.erb,modified,2,1,KevinFalank,2014-03-05 20:17:04,2014-03-05 20:17:04,2014-03-05 20:17:31,2014-03-05 20:17:31,,
ballauriena/artspace,closed,134,63786ad26758f0520e6f8c1b5b5fd2a78590e8b0,app/controllers/spaces_controller.rb,modified,0,2,Carpk,2014-03-05 20:14:36,2014-03-05 20:14:36,2014-03-05 20:14:40,2014-03-05 20:14:40,,
ballauriena/artspace,closed,133,b7612370ad50c53b6c7f878977a91c0a1bc628e1,app/controllers/application_controller.rb,modified,37,37,bneuman619,2014-03-05 19:42:14,2014-03-05 19:42:14,2014-03-05 20:07:11,2014-03-05 20:07:11,,
ballauriena/artspace,closed,133,b6eeff79fe8d63b10ea8191d4064538e5334364a,app/controllers/availabilities_controller.rb,modified,3,2,bneuman619,2014-03-05 19:42:14,2014-03-05 19:42:14,2014-03-05 20:07:11,2014-03-05 20:07:11,,
ballauriena/artspace,closed,133,a059c2f2cc0adcaeb9f20e309097dc6284b04f06,app/controllers/availability_helpers.rb,added,11,0,bneuman619,2014-03-05 19:42:14,2014-03-05 19:42:14,2014-03-05 20:07:11,2014-03-05 20:07:11,,
