Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
ballauriena/artspace,closed,103,da7edb91633765d6a569c6caee6b2cf0c57069a0,test/mailers/confirmation_mailer_test.rb,added,7,0,bneuman619,2014-03-04 21:36:59,2014-03-04 21:36:59,2014-03-04 21:39:44,2014-03-04 21:39:44,,
ballauriena/artspace,closed,15,937a0c002e426861e33bb25a2a8ce2b20b3efaa3,test/fixtures/payments.yml,added,11,0,ballauriena,2014-03-01 02:13:33,2014-03-01 02:13:33,2014-03-01 02:47:01,NA,,
ballauriena/artspace,closed,15,13cc3cfb498e4a161dca499685fe73e9e28e1dcd,test/models/payment_test.rb,added,7,0,ballauriena,2014-03-01 02:13:33,2014-03-01 02:13:33,2014-03-01 02:47:01,NA,,
ballauriena/artspace,closed,5,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,.env.test,added,0,0,ballauriena,2014-02-28 19:46:02,2014-02-28 19:46:02,2014-02-28 19:46:55,2014-02-28 19:46:55,,
ballauriena/artspace,closed,1,d30ebc380a263a6fa884430b148ad8a3551ec214,test/controllers/sessions_controller_test.rb,added,7,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,,
ballauriena/artspace,closed,1,d23f18294814b7530833be3fb7e5deeef3fb66a2,test/controllers/users_controller_test.rb,added,7,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,,
ballauriena/artspace,closed,1,dff8e9d2c5c98c8c6ca9f05bf82fc93782a7ef36,test/controllers/welcome_controller_test.rb,added,9,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,,
ballauriena/artspace,closed,1,7d44e096537fd989246b43722c0260794fc599fc,test/helpers/sessions_helper_test.rb,added,4,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,,
ballauriena/artspace,closed,1,96af37a8217cc4a6c3eb3af587f8043d44d01a4f,test/helpers/users_helper_test.rb,added,4,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,,
ballauriena/artspace,closed,1,d6ded5995f2bc3fe85d16c321b0ce2f7d7cf3684,test/helpers/welcome_helper_test.rb,added,4,0,ballauriena,2014-02-28 02:38:48,2014-02-28 02:38:48,2014-02-28 02:49:44,2014-02-28 02:49:44,,
