Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
banana-slugs-2014/GlucoseAmigo,closed,153,6eaacd609920ed7ae796294ee2caa1180b5e55f9,.travis.yml,modified,6,2,NULL,2014-05-16 09:49:23,2014-05-16 09:49:23,2014-05-18 17:04:03,2014-05-18 17:04:03,,
banana-slugs-2014/GlucoseAmigo,closed,152,505cb833a42a4ea83ad49f185ced25d64007c47a,README.md,modified,32,0,Qt-dev,2014-04-27 19:12:07,2014-04-27 19:12:07,2014-04-28 09:07:57,2014-04-28 09:07:57,,
banana-slugs-2014/GlucoseAmigo,closed,149,40003ab11ed3cd5ce1afcec5240af26ef9eeb77d,app/views/records/_show.html.erb,modified,1,1,trekkie4life,2014-03-28 02:00:06,2014-03-28 02:00:06,2014-03-28 04:47:13,2014-03-28 04:47:13,,
banana-slugs-2014/GlucoseAmigo,closed,148,004d539578edda530083508a25a77e40f79569fa,app/assets/images/blurry-blue-glass-medium.jpg,modified,0,0,chriswoodrich,2014-03-28 00:30:07,2014-03-28 00:30:07,2014-03-28 00:47:10,2014-03-28 00:47:10,,
banana-slugs-2014/GlucoseAmigo,closed,148,3fe16871f47bcab6a05d9b721fbebcb2bc9d6e3b,app/assets/stylesheets/application.css,modified,29,5,chriswoodrich,2014-03-28 00:30:07,2014-03-28 00:30:07,2014-03-28 00:47:10,2014-03-28 00:47:10,,
banana-slugs-2014/GlucoseAmigo,closed,148,500c7ac6f62f6810fb0b3e84de0e1946a4cd0654,app/views/diabetics/_edit.html.erb,modified,1,0,chriswoodrich,2014-03-28 00:30:07,2014-03-28 00:30:07,2014-03-28 00:47:10,2014-03-28 00:47:10,,
banana-slugs-2014/GlucoseAmigo,closed,147,1c8e984b6274892e4329598c00988edbaebe28d8,.travis.yml,modified,17,9,chriswoodrich,2014-03-28 00:27:38,2014-03-28 00:27:38,2014-03-28 00:47:57,2014-03-28 00:47:57,,
banana-slugs-2014/GlucoseAmigo,closed,146,abbf23bbc071763fee0047c40083ee51b6ddd4ae,app/views/records/_form.html.erb,modified,1,1,Qt-dev,2014-03-28 00:12:20,2014-03-28 00:12:20,2014-03-28 00:12:57,2014-03-28 00:12:57,,
banana-slugs-2014/GlucoseAmigo,closed,145,9b672f6d7c59fd93043587483ea2c706c6ba8f42,.gitignore,modified,1,0,chriswoodrich,2014-03-28 00:11:04,2014-03-28 00:11:04,2014-03-28 00:47:31,NA,,
banana-slugs-2014/GlucoseAmigo,closed,145,7503da29f9139f00707fc4c3263cbc9038d0a6c5,app/assets/javascripts/graph.js,modified,0,1,chriswoodrich,2014-03-28 00:11:04,2014-03-28 00:11:04,2014-03-28 00:47:31,NA,,
banana-slugs-2014/GlucoseAmigo,closed,145,fb3367189f7911420ee86e640dba5b2c1543ab61,app/controllers/graphs_controller.rb,modified,4,1,chriswoodrich,2014-03-28 00:11:04,2014-03-28 00:11:04,2014-03-28 00:47:31,NA,,
banana-slugs-2014/GlucoseAmigo,closed,145,d251ca7fdbce0f23b4665e44f3c0049d8d5c776e,spec/features/dashboard_spec.rb,modified,0,9,chriswoodrich,2014-03-28 00:11:04,2014-03-28 00:11:04,2014-03-28 00:47:31,NA,,
banana-slugs-2014/GlucoseAmigo,closed,144,7503da29f9139f00707fc4c3263cbc9038d0a6c5,app/assets/javascripts/graph.js,modified,0,1,c14jcdj,2014-03-27 17:25:32,2014-03-27 17:25:32,2014-03-27 17:54:23,2014-03-27 17:54:23,,
banana-slugs-2014/GlucoseAmigo,closed,144,fb3367189f7911420ee86e640dba5b2c1543ab61,app/controllers/graphs_controller.rb,modified,4,1,c14jcdj,2014-03-27 17:25:32,2014-03-27 17:25:32,2014-03-27 17:54:23,2014-03-27 17:54:23,,
banana-slugs-2014/GlucoseAmigo,closed,144,d251ca7fdbce0f23b4665e44f3c0049d8d5c776e,spec/features/dashboard_spec.rb,modified,0,9,c14jcdj,2014-03-27 17:25:32,2014-03-27 17:25:32,2014-03-27 17:54:23,2014-03-27 17:54:23,,
banana-slugs-2014/GlucoseAmigo,closed,143,1371b2620fcc3aad9a86a52c32726bfa2f0b9ba4,app/controllers/diabetics_controller.rb,modified,0,1,c14jcdj,2014-03-27 16:37:33,2014-03-27 16:37:33,2014-03-27 17:30:03,2014-03-27 17:30:03,,
