Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
gitlabhq/gitlabhq,open,10493,bc84baf7f4a1024d854e7108e311f0dd48b2d14c,db/migrate/20160610201627_migrate_users_notification_level.rb,modified,0,2,NULL,2018-08-25 15:01:01,2018-08-25 15:01:01,0,0,,
gitlabhq/gitlabhq,open,10492,61e98d20ea464505232c34986d6a3d11d05abbdd,vendor/gitlab-ci-yml/Auto-DevOps.gitlab-ci.yml,modified,1,1,AhmedAliGokhy,2018-08-18 05:58:29,2018-08-18 05:58:29,0,0,,
gitlabhq/gitlabhq,open,10491,886eab033bdaeba19887513e2b2b701e6bf20327,app/views/admin/groups/show.html.haml,modified,1,1,kanewinter,2018-08-17 10:00:14,2018-08-17 10:00:14,0,0,,
gitlabhq/gitlabhq,open,10491,39867bb78841e04cf21c9c2744cff1cdbbfd64ea,app/views/admin/projects/show.html.haml,modified,1,1,kanewinter,2018-08-17 10:00:14,2018-08-17 10:00:14,0,0,,
gitlabhq/gitlabhq,open,10485,ad62ee54b172e35de06517e79a8ee9b77a754a96,app/assets/stylesheets/pages/boards.scss,modified,1,0,benjaminchen,2018-04-18 12:25:22,2018-04-18 12:25:22,0,0,,
gitlabhq/gitlabhq,open,10482,cd2acc665bcefb32bf0118a76851f2624ca0240e,app/views/doorkeeper/authorized_applications/index.html.haml,modified,0,1,oimyounis,2018-03-29 06:10:19,2018-03-29 06:10:19,0,0,,
gitlabhq/gitlabhq,open,10477,cb962b735e44c8a067cd55132837ac615f946659,lib/gitlab/diff/parallel_diff.rb,modified,0,1,josephzidell,2018-02-16 17:34:46,2018-02-16 17:34:46,0,0,,
gitlabhq/gitlabhq,open,10476,e519ccd74f9f4e628f57512dda9952b51c823f5b,app/views/layouts/_piwik.html.haml,modified,3,3,ABaldwinHunter,2018-02-15 10:04:10,2018-02-15 10:04:10,0,0,,
gitlabhq/gitlabhq,open,10466,dc8992e2393849eceb61b4f86bc292c0a2ada33d,doc/customization/libravatar.md,modified,2,22,r00t0vi4,2018-01-25 04:25:16,2018-01-25 04:25:16,0,0,,
gitlabhq/gitlabhq,open,10454,3b2a8424719233712ca3dddb0e1181253a5cc40a,app/assets/stylesheets/framework/dropdowns.scss,modified,1,0,benyanke,2017-10-17 13:29:06,2017-10-17 13:29:06,0,0,,
gitlabhq/gitlabhq,closed,10495,50d85f58d69507095a853e3220dac8a4d601c4b5,.babelrc,removed,0,25,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,27caf378b99401bb80c5279bd61587f5e17b2170,.babelrc.js,added,38,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,fe0d5f5dce37f983cf77beb85687df1af5bc8a14,.eslintrc.yml,modified,18,58,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,7faa6c7bb90dd1b27d9b88b896c9fdff133139a5,.flayignore,removed,0,16,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,f1c41c9bb76cd2d6e6749e51e5a8680a2ad67b70,.gitattributes,added,1,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,82b3d08f7a88f2370c7f15ca70aaa480e1c7bed9,.gitignore,modified,4,1,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,c652b6c75e2e34ac8376e4857104e030500b3820,.gitlab-ci.yml,modified,110,50,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,a4b773b15a9d2d91fa9927306e3c9d8bd8114229,.gitlab/CODEOWNERS,added,20,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,b33ed5bcaa846468e86578fdc0a5b18afa989134,.gitlab/issue_templates/Documentation.md,added,54,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,c4065d3c4eae4ae772f2e90b635f3adc35ef51e5,.gitlab/issue_templates/Feature proposal.md,renamed,0,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,5676656793dab1ebc18e7d688100c3c5ec82be82,.gitlab/issue_templates/Research proposal.md,renamed,0,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,0c878dbf64c119e9e75d27933f42564b83253d77,.gitlab/issue_templates/Security Developer Workflow.md,removed,0,70,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,64b54b171f7d5b891aa52528f574a5168129d624,.gitlab/issue_templates/Security developer workflow.md,added,71,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,b4a6d2bd3b4b6de1906eb659bb404a598d476138,.gitlab/merge_request_templates/Change documentation location.md,added,32,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,1c4f30d93202eb1b13f327e37fa08e04a9e3c312,.gitlab/merge_request_templates/Database Changes.md,removed,0,50,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,354393b60e08fefa74c1c03f8514be8fdeb4fcbc,.gitlab/merge_request_templates/Database changes.md,added,58,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,8b7e7119790c5ec093557fef501d28cf65b855ab,.gitlab/merge_request_templates/Documentation.md,modified,20,16,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,bad918ef35d196f0c5cae22fe5eaa4f3709371ae,.haml-lint.yml,modified,49,3,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,dba04c1e1786b2c5f953ebf2c24c6fcc615c2d9a,.nvmrc,modified,1,1,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
