Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
gitlabhq/gitlabhq,closed,10495,f1fbb96ce6115a9a6db5708081b97078f801f73d,.gitlab/issue_templates/Acceptance_Testing.md,added,100,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10495,db8e30c419c6b7130e9f95d640cdc8dd08ed985d,.gitlab/issue_templates/Test plan.md,added,96,0,NULL,2018-10-10 06:26:50,2018-10-10 06:26:50,2018-10-22 06:56:31,NA,,
gitlabhq/gitlabhq,closed,10385,75f8b73019555ee8af9ba3a5e8e3ddde3f9d2ae8,app/assets/javascripts/boards/test_utils/simulate_drag.js,added,119,0,abbotllp,2016-08-30 10:33:02,2016-08-30 10:33:02,2016-08-30 10:44:18,NA,,
gitlabhq/gitlabhq,closed,9430,c5666d49e61d3cbc939f9ed6d56e404459b050a2,lib/tasks/test.rake,modified,1,1,bbodenmiller,2015-07-03 08:53:28,2015-07-03 08:53:28,2015-07-06 13:50:37,2015-07-06 13:50:37,,
gitlabhq/gitlabhq,closed,9214,e85e58751e781ced2603aa0ea0310531b861d76b,app/services/test_hook_service.rb,modified,1,1,kylekatarnls,2015-04-27 14:37:54,2015-04-27 14:37:54,2015-05-08 14:17:01,2015-05-08 14:17:01,,
gitlabhq/gitlabhq,closed,9068,21ec2c01cb86a43c6223a41f95bf87c540a713aa,app/services/test_hook_service.rb,modified,1,1,amaurymedeiros,2015-03-31 21:57:52,2015-03-31 21:57:52,2015-05-11 08:49:32,NA,,
gitlabhq/gitlabhq,closed,9044,44d70e741b2500df892b820e5d38f3629227cfeb,spec/support/test_env.rb,modified,7,1,rspeicher,2015-03-27 23:58:29,2015-03-27 23:58:29,2015-03-29 10:40:56,2015-03-29 10:40:56,,
gitlabhq/gitlabhq,closed,8782,2d5e7addcd3ebe1b6d3dc5661e962c6790415370,config/environments/test.rb,modified,1,1,jvanbaarsen,2015-02-12 12:48:42,2015-02-12 12:48:42,2015-02-24 07:47:23,2015-02-24 07:47:23,,
gitlabhq/gitlabhq,closed,8774,f869488d8d87178e29acafe4d1e96ff0a2f4226d,spec/support/test_env.rb,modified,20,14,skv-headless,2015-02-10 22:10:19,2015-02-10 22:10:19,2015-02-18 06:09:10,2015-02-18 06:09:10,,
gitlabhq/gitlabhq,closed,8644,e85e58751e781ced2603aa0ea0310531b861d76b,app/services/test_hook_service.rb,modified,1,1,chulkilee,2015-01-24 00:22:08,2015-01-24 00:22:08,2015-04-27 08:22:33,2015-04-27 08:22:33,,
gitlabhq/gitlabhq,closed,8340,eb665b8b61875d349c845ef20a912b94d523a06b,spec/support/test_env.rb,modified,51,2,bladealslayer,2014-11-18 10:38:52,2014-11-18 10:38:52,2014-11-18 13:00:56,2014-11-18 13:00:56,,
gitlabhq/gitlabhq,closed,8131,8b9695349a57175b3b9c079eecaa62a107838ae5,spec/support/test_env.rb,modified,51,2,cirosantilli,2014-10-22 08:59:02,2014-10-22 08:59:02,2014-11-18 10:39:04,NA,,
gitlabhq/gitlabhq,closed,8079,31f2c8235cd7ac5a410f9d3aff27ac1c425dc259,lib/tasks/test.rake,modified,3,1,cirosantilli,2014-10-18 13:26:16,2014-10-18 13:26:16,2014-10-18 13:26:54,NA,,
gitlabhq/gitlabhq,closed,8078,b48012081dc7968e9811a01115d991067834f7f5,lib/tasks/test.rake,modified,3,1,cirosantilli,2014-10-18 13:23:47,2014-10-18 13:23:47,2014-10-18 13:24:18,NA,,
gitlabhq/gitlabhq,closed,8077,b48012081dc7968e9811a01115d991067834f7f5,lib/tasks/test.rake,modified,3,1,cirosantilli,2014-10-18 13:16:24,2014-10-18 13:16:24,2014-10-18 13:18:32,NA,,
gitlabhq/gitlabhq,closed,8076,b48012081dc7968e9811a01115d991067834f7f5,lib/tasks/test.rake,modified,3,1,cirosantilli,2014-10-18 13:12:42,2014-10-18 13:12:42,2014-10-18 13:15:26,NA,,
gitlabhq/gitlabhq,closed,8075,f6fc7272c7bd7847befd0c01aa6f0f880495310a,spec/support/test_env.rb,modified,55,2,cirosantilli,2014-10-18 13:04:58,2014-10-18 13:04:58,2014-10-18 13:05:41,NA,,
gitlabhq/gitlabhq,closed,8074,0bcabbfad59e4fa41ab2d273d11f703fec868805,lib/tasks/test.rake,modified,1,1,cirosantilli,2014-10-18 12:53:56,2014-10-18 12:53:56,2014-10-18 12:54:31,NA,,
gitlabhq/gitlabhq,closed,8073,0bcabbfad59e4fa41ab2d273d11f703fec868805,lib/tasks/test.rake,modified,1,1,cirosantilli,2014-10-18 12:44:14,2014-10-18 12:44:14,2014-10-18 12:53:06,NA,,
gitlabhq/gitlabhq,closed,8051,0bcabbfad59e4fa41ab2d273d11f703fec868805,lib/tasks/test.rake,modified,1,1,mr-vinn,2014-10-15 19:48:01,2014-10-15 19:48:01,2014-10-18 18:04:13,NA,,
gitlabhq/gitlabhq,closed,7998,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,TEST,added,0,0,cirosantilli,2014-10-08 18:28:02,2014-10-08 18:28:02,2014-10-08 18:34:55,NA,,
gitlabhq/gitlabhq,closed,7929,583f4a876da9c652b525f85b3d267b7eb76adb44,lib/tasks/test.rake,modified,1,1,cirosantilli,2014-10-01 09:07:16,2014-10-01 09:07:16,2014-10-01 09:08:09,2014-10-01 09:08:09,,
gitlabhq/gitlabhq,closed,7903,e6db410fb1cad0f43978e7cd5c2e08994a2659f4,spec/support/test_env.rb,modified,39,6,cirosantilli,2014-09-29 19:59:13,2014-09-29 19:59:13,2014-11-05 13:22:37,2014-11-05 13:22:37,,
gitlabhq/gitlabhq,closed,7873,5f55871dc4a67870345593d3d57df3b7a701a8b7,spec/support/test_env.rb,modified,14,5,seuros,2014-09-27 08:16:17,2014-09-27 08:16:17,2014-09-29 16:49:59,2014-09-29 16:49:59,,
gitlabhq/gitlabhq,closed,7823,4b0a3856f89b48ae806ef55f44b53e9bdf97aab3,spec/support/test_env.rb,modified,6,4,cirosantilli,2014-09-22 19:14:16,2014-09-22 19:14:16,2014-09-24 09:58:10,2014-09-24 09:58:10,,
gitlabhq/gitlabhq,closed,7532,5bb2891c7d9eb34993153ba0923c6d9cc291c618,app/interactors/hooks/test.rb,added,14,0,duk3luk3,2014-08-18 13:25:45,2014-08-18 13:25:45,2014-10-24 18:56:06,NA,,
gitlabhq/gitlabhq,closed,7393,b6b1ef29b51840cc4038c9681d07be6381652d71,app/services/test_hook_service.rb,modified,3,0,j0k3r,2014-07-29 09:52:57,2014-07-29 09:52:57,2014-08-11 09:41:35,2014-08-11 09:41:35,,
gitlabhq/gitlabhq,closed,7355,26bdab1248ff8686608bf7911ce626d4d2bfc0b8,spec/support/test_env.rb,modified,10,10,larkly,2014-07-22 17:35:10,2014-07-22 17:35:10,2014-07-28 09:07:43,NA,,
gitlabhq/gitlabhq,closed,7266,0bcabbfad59e4fa41ab2d273d11f703fec868805,lib/tasks/test.rake,modified,1,1,minorOffense,2014-07-06 17:31:20,2014-07-06 17:31:20,2014-10-18 20:26:02,NA,,
gitlabhq/gitlabhq,closed,7170,c01b00bd1c0141d54273e9080d8ddfed80aee8f5,lib/tasks/gitlab/test.rake,modified,1,1,snowzjx,2014-06-21 09:27:40,2014-06-21 09:27:40,2014-06-30 07:41:06,2014-06-30 07:41:06,,
gitlabhq/gitlabhq,closed,6594,d00decf61217f3e32758029b929e0b0c90d97326,spec/support/test_env.rb,modified,1,3,rspeicher,2014-03-22 19:59:16,2014-03-22 19:59:16,2014-03-24 12:58:35,2014-03-24 12:58:35,,
gitlabhq/gitlabhq,closed,6527,e2c3f648ccfa0937a803aa3026ad4ff0d998a707,spec/support/test_env.rb,modified,1,1,MrKeiKun,2014-03-13 21:32:36,2014-03-13 21:32:36,2014-03-14 09:03:29,2014-03-14 09:03:29,,
gitlabhq/gitlabhq,closed,6467,5285e9245150c71f2e3eb3ce554a1c8307081ccd,features/support/test_ss.ods,added,0,0,mojavelinux,2014-03-04 16:04:30,2014-03-04 16:04:30,2014-05-30 21:30:43,NA,,
gitlabhq/gitlabhq,closed,5805,3860dc5c74c588a42fc70056b5d9e5f968746585,config/environments/test.rb,modified,0,3,jvanbaarsen,2013-12-09 17:42:07,2013-12-09 17:42:07,2013-12-09 21:20:17,2013-12-09 21:20:17,,
gitlabhq/gitlabhq,closed,5780,3860dc5c74c588a42fc70056b5d9e5f968746585,config/environments/test.rb,modified,0,3,Rovanion,2013-12-06 19:52:49,2013-12-06 19:52:49,2013-12-09 17:32:15,NA,,
gitlabhq/gitlabhq,closed,5500,5c6f96abc1bae29ea4a8865089fa2d9618dfde32,spec/support/test_env.rb,modified,4,4,jojosch,2013-10-31 19:01:01,2013-10-31 19:01:01,2013-11-05 08:30:45,2013-11-05 08:30:45,,
gitlabhq/gitlabhq,closed,5344,6bb5ce608f60f7c6d96c8468bdcb1283f16b807d,spec/support/test_env.rb,modified,5,0,jojosch,2013-10-16 05:50:54,2013-10-16 05:50:54,2013-10-17 06:30:44,2013-10-17 06:30:44,,
gitlabhq/gitlabhq,closed,5005,63eda6c7d0603a6613dc9e54dfa5d0672bf1fdd7,app/contexts/test_hook_context.rb,removed,0,7,Shuro,2013-09-06 07:41:03,2013-09-06 07:41:03,2014-04-04 12:04:24,NA,,
gitlabhq/gitlabhq,closed,4306,d185e3974569d8025549bc3ac93cf1bae227aae3,app/contexts/projects/test_hook_context.rb,added,9,0,zzet,2013-06-13 20:22:32,2013-06-13 20:22:32,2014-01-16 07:42:39,NA,,
gitlabhq/gitlabhq,closed,3089,c648e6598672462a4f4e66b6b09b619af1454c97,app/contexts/test_hook_context.rb,modified,1,1,fdiary,2013-02-26 15:01:50,2013-02-26 15:01:50,2013-02-26 21:04:51,NA,,
gitlabhq/gitlabhq,closed,1981,b626986299ba6830068ef83eb9f001bfcb049bae,config/environments/test.rb,modified,2,10,barendt,2012-11-13 23:09:22,2012-11-13 23:09:22,2012-11-19 06:34:27,2012-11-19 06:34:27,,
gitlabhq/gitlabhq,closed,1608,18fc37cde0caeb6dce9f38e3d9291eefb9bb6ecb,db/seeds/test.rb,renamed,0,0,rspeicher,2012-10-02 15:34:53,2012-10-02 15:34:53,2012-10-09 06:20:19,NA,,
gitlabhq/gitlabhq,closed,1607,18fc37cde0caeb6dce9f38e3d9291eefb9bb6ecb,db/fixtures/test/001_repo.rb,removed,0,23,NARKOZ,2012-10-02 12:14:46,2012-10-02 12:14:46,2012-10-02 13:20:59,NA,,
gitlabhq/gitlabhq,closed,1567,f5816e42b7fb68b7f807b0b4f13b64f813544a11,config/environments/test.rb,modified,3,0,rspeicher,2012-09-26 18:28:40,2012-09-26 18:28:40,2012-09-26 20:05:55,2012-09-26 20:05:55,,
gitlabhq/gitlabhq,closed,1566,f5816e42b7fb68b7f807b0b4f13b64f813544a11,config/environments/test.rb,modified,3,0,NARKOZ,2012-09-26 18:20:58,2012-09-26 18:20:58,2012-09-26 18:28:23,NA,,
gitlabhq/gitlabhq,closed,1323,67d4e7bfbde5c4c50d8145d58181da64717c2e5a,db/fixtures/test/001_repo.rb,modified,22,14,AlexDenisov,2012-08-29 01:31:34,2012-08-29 01:31:34,2012-08-29 05:57:16,2012-08-29 05:57:16,,
