Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
rails/rails,open,34892,36c006a09bbdf7a6ce54b4cb9dc5b2ac8013c44d,activesupport/test/constantize_test_cases.rb,modified,4,0,gmcgibbon,2019-01-07 19:29:08,2019-01-07 19:29:08,0,0,,
rails/rails,open,34891,1c53362bac204f1cdd0610e57d1855aab64df164,activerecord/test/cases/finder_test.rb,modified,9,0,kbrock,2019-01-07 19:09:56,2019-01-07 19:09:56,0,0,,
rails/rails,open,34891,acba3a4504bcf3351068537fbb3ea60103cb9f52,activerecord/test/support/stubs/strong_parameters.rb,added,15,0,kbrock,2019-01-07 19:09:56,2019-01-07 19:09:56,0,0,,
rails/rails,open,34890,c88162bf58b40d3c1451782f4852090a3cc8730b,activejob/test/cases/exceptions_test.rb,modified,78,87,gmcgibbon,2019-01-07 17:25:48,2019-01-07 17:25:48,0,0,,
rails/rails,open,34890,112d6720062154b7ebaad247b88062cbd5a46984,activejob/test/jobs/retry_job.rb,modified,7,1,gmcgibbon,2019-01-07 17:25:48,2019-01-07 17:25:48,0,0,,
rails/rails,open,34885,4750093c5cb85ef1dca972830cee042e0f6cdc52,actionpack/test/controller/render_test.rb,modified,10,0,rosa,2019-01-06 22:56:32,2019-01-06 22:56:32,0,0,,
rails/rails,open,34884,0b91fffefa338dd4c52062be105dd21fcf287582,railties/test/generators/api_app_generator_test.rb,modified,1,1,y-yagi,2019-01-06 17:22:06,2019-01-06 17:22:06,0,0,,
rails/rails,open,34884,cf2be7117ae9b3fb8a0b144d9125d4b440b2385a,railties/test/generators/app_generator_test.rb,modified,1,1,y-yagi,2019-01-06 17:22:06,2019-01-06 17:22:06,0,0,,
rails/rails,open,34884,4bdf4311fc6dde65baaf3a09e67821bb20e635b0,railties/test/generators/shared_generator_tests.rb,modified,1,1,y-yagi,2019-01-06 17:22:06,2019-01-06 17:22:06,0,0,,
rails/rails,open,34845,ac3bf32df56aa104d547b1d577d77f278909c2bf,actioncable/lib/action_cable/connection/test_case.rb,added,241,0,chiaraani,2019-01-02 20:12:34,2019-01-02 20:12:34,0,0,,
rails/rails,open,34845,76cfb2c07c3d008c103685f931caca4b960bcb42,actioncable/test/connection/test_case_test.rb,added,192,0,chiaraani,2019-01-02 20:12:34,2019-01-02 20:12:34,0,0,,
rails/rails,open,34843,f91fdaad579a978e2dd1359e2e2fb2f43ee09504,actionview/test/activerecord/multifetch_cache_test.rb,modified,20,2,christianblais,2019-01-02 18:24:42,2019-01-02 18:24:42,0,0,,
rails/rails,open,34843,24ebebbb10b6e2f5132cbc0dc42933c7a44341ab,activerecord/test/cases/associations/belongs_to_associations_test.rb,modified,24,2,christianblais,2019-01-02 18:24:42,2019-01-02 18:24:42,0,0,,
rails/rails,open,34843,1524ace9f64746b1bb3023acba82f5c90b3de30b,activerecord/test/cases/associations/cascaded_eager_loading_test.rb,modified,66,8,christianblais,2019-01-02 18:24:42,2019-01-02 18:24:42,0,0,,
rails/rails,open,34843,b262a0fa7f42f60858d4c88f2159aa0226368951,activerecord/test/cases/associations/eager_load_nested_include_test.rb,modified,89,59,christianblais,2019-01-02 18:24:42,2019-01-02 18:24:42,0,0,,
